defname	name	danger	maxdam	armor	str	magery
c_llama_ethereal	ethereal llama	0.000	2	1	2	0.0
c_ostard_ethereal	ethereal ostard	0.000	2	1	2	0.0
c_kirin_ethereal	ethereal ki-rin	0.000	2	1	2	0.0
c_unicorn_ethereal	ethereal unicorn	0.000	2	1	2	0.0
c_ridgeback_ethereal	ethereal ridgeback	0.000	2	1	2	0.0
c_swamp_dragon_ethereal	ethereal swamp dragon	0.000	2	1	2	0.0
c_giant_beetle_ethereal	ethereal giant beetle	0.000	2	1	2	0.0
c_turkey	Turkey	0.001	2	1	10	0.0
c_rat	Rat	0.004	2	6	9	0.0
c_man	Man	0.005	4	0	0	0.0
c_woman	Woman	0.005	4	0	0	0.0
c_elf_male	Elf Male	0.005	4	0	0	0.0
c_elf_female	Elf Female	0.005	4	0	0	0.0
c_gargoyle_male	Gargoyle Male	0.005	4	0	0	0.0
c_gargoyle_female	Gargoyle Female	0.005	4	0	0	0.0
c_man_gm	GM	0.005	4	0	0	0.0
c_crane	Crane	0.005	1	5	35	0.0
c_grubber	grubber	0.006	2	5	20	0.0
c_sheep_woolly	Sheep	0.006	2	6	19	0.0
c_sheep_shorn	Sheep	0.006	2	6	19	0.0
c_squirrel	Squirrel	0.007	2	10	10	0.0
c_goat	Goat	0.014	4	10	19	0.0
c_pig	Pig	0.016	4	12	20	0.0
c_cow_bw	Cow	0.016	4	10	30	0.0
c_bullfrog	Bull Frog	0.017	2	8	70	0.0
c_slime_corrosive	Corrosive Slime	0.017	5	5	35	0.0
c_slime	Slime	0.019	5	8	34	0.0
c_snake	Snake	0.020	4	16	34	0.0
c_boar	Boar	0.021	6	10	25	0.0
c_chicken_lizard	chicken lizard	0.025	5	0	95	0.0
c_bird_crow	Crow	0.026	9	10	4	0.0
c_llama	Llama	0.026	5	16	49	0.0
c_skittering_hopper	skittering hopper	0.027	5	12	65	0.0
c_horse_palomino	horse	0.027	4	18	65	0.0
c_dog	Dog	0.027	7	12	37	0.0
c_horse_tan	Horse	0.028	4	9	98	0.0
c_horse_brown_dk	Horse	0.028	4	9	98	0.0
c_horse_gray	Horse	0.028	4	9	98	0.0
c_horse_brown_lt	Horse	0.028	4	9	98	0.0
c_coconut_crab_small	Coconut crab	0.028	4	9	98	0.0
c_coconut_crab_large	Coconut crab	0.028	4	9	98	0.0
c_war_boar_mount	War Boar	0.028	4	9	98	0.0
c_capybara_mount	Capybara	0.028	4	9	98	0.0
c_capybara_baby	Capybara baby	0.028	4	9	98	0.0
c_rabbit_doom	Doom Rabbit	0.028	4	9	98	0.0
c_rabbit_doom_baby	Doom Rabbit baby	0.028	4	9	98	0.0
c_dog_newfoundland	Newfoundland Dog	0.028	4	9	98	0.0
c_dog_malamut	Alaskan Malamut Dog	0.028	4	9	98	0.0
c_dog_dane	Great Dane Dog	0.028	4	9	98	0.0
