item	provenance	npc_policy	is_raw	evidence
i_wool	ANIMAL_HARVESTED	WORLD_GATHERED	0	ENGINE CClientTarg.cpp:1878; sphere.ini:399 WoolGrowthTime=30
i_yarn_ball	WORLD_PROCESSED	WORLD_PROCESSED	0	ENGINE CClientTarg.cpp:2066
i_thread	WORLD_PROCESSED	WORLD_PROCESSED	0	ENGINE CClientTarg.cpp:2075
i_cloth_bolt	WORLD_PROCESSED	PLAYER_MARKET_GOOD	0	ENGINE CClientTarg.cpp:2230
i_cloth	WORLD_PROCESSED	WORLD_PROCESSED	0	ENGINE CItem.cpp:4287; SCRIPT i_cloth_bolt RESOURCES=50 i_cloth
i_sash	PLAYER_CRAFTED	PLAYER_CRAFTED	0	SCRIPT sm_cloth_misc; i_sash SKILLMAKE=Tailoring 4.5
i_robe	PLAYER_CRAFTED	PLAYER_CRAFTED	0	SCRIPT i_robe SKILLMAKE=Tailoring 59.0
i_hide	PVM_DROP	WORLD_GATHERED	0	ENGINE CCharUse.cpp:49 Use_CarveCorpse; SCRIPT c_cow_brown RESOURCES=8 i_ribs_raw,12 i_hide
i_hides_cut	WORLD_PROCESSED	WORLD_PROCESSED	0	ENGINE CClientTarg.cpp:2159 (IT_HIDE -> TDATA1)
i_leather_tunic	PLAYER_CRAFTED	PLAYER_CRAFTED	0	SCRIPT sm_leather_armor; SKILLMAKE=Tailoring 70.5,Armslore 10.0
i_ore_iron	WORLD_GATHERED	WORLD_GATHERED	0	SCRIPT core/regiontypes.scp r_default_rock 50.0 mr_iron; regionresources.scp mr_iron SKILL=1.0,30.0
i_ingot_iron	WORLD_PROCESSED	PLAYER_MARKET_GOOD	0	ENGINE CCharSkill.cpp:1154 iResourceQty=1; TDATA1=20.0 TDATA2=50.0; failure loses up to half
i_dagger	PLAYER_CRAFTED	PLAYER_CRAFTED	0	ENGINE CClientUse.cpp:1273 LayerFind(LAYER_HAND1), :1282 IsItemTypeNear(IT_FORGE,3); SCRIPT i_dagger SKILLMAKE=Blacksmithing 0.0
i_spear_short	PLAYER_CRAFTED	UNKNOWN	0	SCRIPT i_spear_short SKILLMAKE=Blacksmithing 45.3; REVOLUTION forum 59111 band 70.1-100
i_log	WORLD_GATHERED	WORLD_GATHERED	0	SCRIPT r_default_tree 40.0 mr_tree; mr_tree REAPAMOUNT=1,3 SKILL=1.0,80.0
i_board	PLAYER_CRAFTED	PLAYER_CRAFTED	0	SCRIPT sm_carpentry; i_board SKILLMAKE=Carpentry 0.0
i_parchment	PLAYER_CRAFTED	PLAYER_CRAFTED	0	SCRIPT sm_wood_misc; i_parchment SKILLMAKE=Carpentry 25.7
i_scroll_blank	PLAYER_CRAFTED	REVOLUTION_NPC_VERIFIED	0	SCRIPT sm_wood_misc; i_scroll_blank SKILLMAKE=Carpentry 25.7
i_club	PLAYER_CRAFTED	UNKNOWN	0	SCRIPT def_carpentry.scp:41 menu entry; SKILLMAKE and log count UNKNOWN; buyer tm_vend.scp:1710 VENDOR_B_WEAPONS_BLUNT {10 15}
i_model_ship	PLAYER_CRAFTED	UNKNOWN	0	SCRIPT i_model_ship SKILLMAKE=carpentry 95.0; REVOLUTION forum 59111 band 95-100
i_arrow_shaft	PLAYER_CRAFTED	UNKNOWN	0	SCRIPT sm_bowcraft; i_arrow_shaft SKILLMAKE=9.8 Bowcraft; REVOLUTION forum 59111 band 0-100 Shaft
i_arrow	PLAYER_MARKET	PLAYER_MARKET_GOOD	0	SCRIPT i_arrow SKILLMAKE=Bowcraft 0.0; REVOLUTION cooperative category 08.11.2008
i_bow	PLAYER_CRAFTED	UNKNOWN	0	SCRIPT i_bow SKILLMAKE=Bowcraft 30.0
i_gears	PLAYER_CRAFTED	PLAYER_CRAFTED	0	SCRIPT sm_tinker; i_gears SKILLMAKE=Tinkering 14.7
i_lockpick	PLAYER_CRAFTED	PLAYER_CRAFTED	0	SCRIPT i_lockpick SKILLMAKE=Tinkering 48.5; REVOLUTION forum 59111 band 42.1-100
i_tinker_tools	PLAYER_CRAFTED	BASIC_CRAFT_TOOL	0	SCRIPT i_tinker_tools SKILLMAKE=TINKERING 35.0
i_pickaxe	PLAYER_CRAFTED	BASIC_CRAFT_TOOL	0	SCRIPT i_pickaxe SKILLMAKE=Tinkering 40.0
i_barrel_tap	PLAYER_CRAFTED	UNKNOWN	0	SCRIPT i_barrel_tap SKILLMAKE=Tinkering 52.0
i_barrel_hoops	PLAYER_CRAFTED	UNKNOWN	0	SCRIPT i_barrel_hoops SKILLMAKE=Tinkering 42.0
i_keg_potion	PLAYER_MARKET	PLAYER_MARKET_GOOD	0	SCRIPT i_keg_potion SKILLMAKE=TINKERING 65.0, capacity 100; REVOLUTION cooperative 'potion kegleri (dolu olmalı)' 08.11.2008
i_sewing_kit	PLAYER_CRAFTED	BASIC_CRAFT_TOOL	0	SCRIPT i_sewing_kit SKILLMAKE=Tinkering 18.8,t_tinker_tools,Tailoring 18.8
i_scissors	PLAYER_CRAFTED	BASIC_CRAFT_TOOL	0	SCRIPT i_scissors SKILLMAKE=Tinkering 14.5
i_pen_and_ink	PLAYER_CRAFTED	BASIC_CRAFT_TOOL	0	SCRIPT i_pen_and_ink SKILLMAKE=Tinkering 44.1 -- the scribe's tool is a TINKER product
i_bottle_empty	PLAYER_CRAFTED	REVOLUTION_NPC_VERIFIED	0	SCRIPT i_bottle_empty SKILLMAKE=Alchemy 25.0,t_glassblowing_tool
i_potion_heal	PLAYER_CRAFTED	BASIC_HEALING	0	SCRIPT SKILLMAKE=ALCHEMY 15.1; REVOLUTION guide band 15.1-25.1 Heal
i_potion_poison	PLAYER_CRAFTED	UNKNOWN	0	SCRIPT i_potion_Poison SKILLMAKE=ALCHEMY 15.1,t_mortar; RESOURCES=2 i_reag_nightshade,1 i_bottle_empty
i_potion_cure	PLAYER_CRAFTED	UNKNOWN	0	SCRIPT SKILLMAKE=ALCHEMY 25.1; REVOLUTION guide band 25.1-35.1 Cure
i_potion_agilitygreat	PLAYER_CRAFTED	UNKNOWN	0	SCRIPT SKILLMAKE=ALCHEMY 35.1; REVOLUTION guide band 35.1-55.1 Gr. Agility
i_potion_healgreat	PLAYER_CRAFTED	UNKNOWN	0	SCRIPT SKILLMAKE=ALCHEMY 55.1; REVOLUTION guide band 55.1-65.1 Gr. Heal
i_potion_curegreat	PLAYER_CRAFTED	UNKNOWN	0	SCRIPT SKILLMAKE=ALCHEMY 65.1; REVOLUTION guide band 65.1-90.1 Gr. Cure
i_potion_poisonless	PLAYER_CRAFTED	UNKNOWN	0	SCRIPT i_potion_PoisonLess SKILLMAKE=ALCHEMY 0,t_mortar; RESOURCES=1 i_reag_nightshade,1 i_bottle_empty
