spell	defname	name	circle	minskill	mana	flags	reagents
1	s_clumsy	Clumsy	1	100	4	spellflag_dir_anim|spellflag_targ_char|spellflag_harm|spellflag_fx_targ|spellflag_nounparalyze	i_reag_blood_moss,i_reag_nightshade
2	s_create_food	Create Food	1	100	4	spellflag_playeronly	i_reag_garlic,i_reag_ginseng,i_reag_mandrake_root
3	s_feeblemind	Feeblemind	1	100	4	spellflag_dir_anim|spellflag_targ_char|spellflag_harm|spellflag_fx_targ|spellflag_nounparalyze|spellflag_curse	i_reag_ginseng,i_reag_nightshade
4	s_heal	Heal	1	100	4	spellflag_dir_anim|spellflag_targ_char|spellflag_fx_targ|spellflag_good|spellflag_playeronly|spellflag_heal	i_reag_garlic,i_reag_ginseng,i_reag_spider_silk
5	s_magic_arrow	Magic Arrow	1	100	4	spellflag_dir_anim|spellflag_targ_char|spellflag_harm|spellflag_damage|spellflag_fx_bolt|spellflag_resist	i_reag_sulfur_ash
6	s_night_sight	Night Sight	1	100	4	spellflag_dir_anim|spellflag_targ_char|spellflag_fx_targ|spellflag_good|spellflag_playeronly	i_reag_spider_silk,i_reag_sulfur_ash
7	s_reactive_armor	Reactive Armor	1	100	4	spellflag_dir_anim|spellflag_targ_char|spellflag_fx_targ|spellflag_good	i_reag_garlic,i_reag_spider_silk,i_reag_sulfur_ash
8	s_weaken	Weaken	1	100	4	spellflag_dir_anim|spellflag_targ_char|spellflag_harm|spellflag_fx_targ|spellflag_nounparalyze|spellflag_curse	i_reag_garlic,i_reag_nightshade
9	s_agility	Agility	2	200	6	spellflag_dir_anim|spellflag_targ_char|spellflag_fx_targ|spellflag_good|spellflag_playeronly|spellflag_bless	i_reag_blood_moss,i_reag_mandrake_root
10	s_cunning	Cunning	2	200	6	spellflag_dir_anim|spellflag_targ_char|spellflag_fx_targ|spellflag_good|spellflag_playeronly|spellflag_bless	i_reag_mandrake_root,i_reag_nightshade
11	s_cure	Cure	2	200	6	spellflag_dir_anim|spellflag_targ_char|spellflag_fx_targ|spellflag_good|spellflag_playeronly	i_reag_garlic,i_reag_ginseng
12	s_harm	Harm	2	200	6	spellflag_dir_anim|spellflag_targ_char|spellflag_harm|spellflag_damage|spellflag_fx_targ|spellflag_resist	i_reag_nightshade,i_reag_spider_silk
13	s_magic_trap	Magic Trap	2	200	6	spellflag_dir_anim|spellflag_targ_item|spellflag_playeronly	i_reag_garlic,i_reag_spider_silk,i_reag_sulfur_ash
14	s_magic_untrap	Magic Untrap	2	200	6	spellflag_dir_anim|spellflag_targ_item|spellflag_playeronly	i_reag_blood_moss,i_reag_sulfur_ash
15	s_protection	Protection	2	200	6	spellflag_dir_anim|spellflag_targ_char|spellflag_fx_targ|spellflag_good|spellflag_playeronly|spellflag_bless	i_reag_garlic,i_reag_ginseng,i_reag_sulfur_ash
16	s_strength	Strength	2	200	6	spellflag_dir_anim|spellflag_targ_char|spellflag_fx_targ|spellflag_good|spellflag_playeronly|spellflag_bless	i_reag_mandrake_root,i_reag_nightshade
17	s_bless	Bless	3	300	9	spellflag_dir_anim|spellflag_targ_obj|spellflag_fx_targ|spellflag_good|spellflag_playeronly|spellflag_bless	i_reag_garlic,i_reag_mandrake_root
18	s_fireball	Fireball	3	300	9	spellflag_dir_anim|spellflag_targ_obj|spellflag_harm|spellflag_damage|spellflag_fx_bolt|spellflag_resist	i_reag_black_pearl
19	s_magic_lock	Magic Lock	3	300	9	spellflag_dir_anim|spellflag_targ_item|spellflag_playeronly	i_reag_blood_moss,i_reag_garlic,i_reag_sulfur_ash
20	s_poison	Poison	3	300	9	spellflag_dir_anim|spellflag_targ_obj|spellflag_harm|spellflag_fx_targ|spellflag_resist|spellflag_tick	i_reag_nightshade
21	s_telekinesis	Telekinesis	3	300	9	spellflag_dir_anim|spellflag_targ_obj|spellflag_fx_targ|spellflag_playeronly	i_reag_blood_moss,i_reag_mandrake_root
22	s_teleport	Teleport	3	300	9	spellflag_dir_anim|spellflag_targ_xyz|spellflag_playeronly	i_reag_blood_moss,i_reag_mandrake_root
23	s_unlock	Magic Unlock	3	300	9	spellflag_dir_anim|spellflag_targ_item|spellflag_fx_targ|spellflag_playeronly	i_reag_blood_moss,i_reag_sulfur_ash
24	s_wall_of_stone	Wall of Stone	3	300	9	spellflag_dir_anim|spellflag_targ_xyz|spellflag_harm|spellflag_damage|spellflag_fx_targ|spellflag_field|spellflag_playeronly|spellflag_nounparalyze	i_reag_blood_moss,i_reag_garlic
25	s_archcure	Arch Cure	4	400	11	spellflag_fx_targ|spellflag_good|spellflag_playeronly|spellflag_area	i_reag_garlic,i_reag_ginseng,i_reag_mandrake_root
26	s_archprotection	Arch Protection	4	400	11	spellflag_fx_targ|spellflag_good|spellflag_playeronly|spellflag_area|spellflag_bless	i_reag_garlic,i_reag_ginseng,i_reag_mandrake_root,i_reag_sulfur_ash
27	s_curse	Curse	4	400	11	spellflag_dir_anim|spellflag_targ_obj|spellflag_harm|spellflag_fx_targ|spellflag_nounparalyze|spellflag_curse	i_reag_garlic,i_reag_nightshade,i_reag_sulfur_ash
28	s_fire_field	Fire Field	4	400	11	spellflag_dir_anim|spellflag_targ_xyz|spellflag_harm|spellflag_damage|spellflag_fx_targ|spellflag_field|spellflag_playeronly	i_reag_black_pearl,i_reag_spider_silk,i_reag_sulfur_ash
29	s_greater_heal	Greater Heal	4	400	11	spellflag_dir_anim|spellflag_targ_char|spellflag_fx_targ|spellflag_good|spellflag_playeronly|spellflag_heal	i_reag_garlic,i_reag_ginseng,i_reag_mandrake_root,i_reag_spider_silk
30	s_lightning	Lightning	4	400	11	spellflag_dir_anim|spellflag_targ_obj|spellflag_fx_targ|spellflag_harm|spellflag_damage|spellflag_resist	i_reag_mandrake_root,i_reag_sulfur_ash
31	s_mana_drain	Mana Drain	4	400	11	spellflag_dir_anim|spellflag_targ_char|spellflag_harm|spellflag_fx_targ|spellflag_resist	i_reag_black_pearl,i_reag_mandrake_root,i_reag_spider_silk
32	s_recall	Recall	4	400	11	spellflag_targ_item|spellflag_playeronly	i_reag_black_pearl,i_reag_blood_moss,i_reag_mandrake_root
33	s_blade_spirits	Blade Spirit	5	500	18	spellflag_dir_anim|spellflag_targ_xyz|spellflag_summon	i_reag_black_pearl,i_reag_mandrake_root,i_reag_nightshade
34	s_dispel_field	Dispel Field	5	500	14	spellflag_dir_anim|spellflag_targ_item|spellflag_playeronly	i_reag_black_pearl,i_reag_garlic,i_reag_spider_silk,i_reag_sulfur_ash
35	s_incognito	Incognito	5	500	14	spellflag_playeronly	i_reag_blood_moss,i_reag_garlic,i_reag_nightshade
36	s_magic_reflection	Magic Reflection	5	500	14	spellflag_dir_anim|spellflag_targ_char|spellflag_fx_targ|spellflag_good|spellflag_playeronly|spellflag_bless	i_reag_garlic,i_reag_mandrake_root,i_reag_spider_silk
37	s_mind_blast	Mind Blast	5	500	14	spellflag_dir_anim|spellflag_targ_char|spellflag_harm|spellflag_damage|spellflag_fx_targ|spellflag_resist|spellflag_nounparalyze	i_reag_black_pearl,i_reag_mandrake_root,i_reag_nightshade,i_reag_sulfur_ash
38	s_paralyze	Paralyze	5	500	14	spellflag_dir_anim|spellflag_targ_char|spellflag_harm|spellflag_fx_targ|spellflag_resist|spellflag_nounparalyze	i_reag_garlic,i_reag_mandrake_root,i_reag_spider_silk
39	s_poison_field	Poison Field	5	500	14	spellflag_dir_anim|spellflag_targ_xyz|spellflag_harm|spellflag_fx_targ|spellflag_field|spellflag_playeronly|spellflag_tick	i_reag_black_pearl,i_reag_nightshade,i_reag_spider_silk
40	s_summon_creature	Summon Creature	5	500	18	spellflag_dir_anim|spellflag_summon|spellflag_playeronly	i_reag_blood_moss,i_reag_mandrake_root,i_reag_spider_silk
41	s_dispel	Dispel	6	600	20	spellflag_dir_anim|spellflag_targ_char	i_reag_garlic,i_reag_mandrake_root,i_reag_sulfur_ash
42	s_energy_bolt	Energy Bolt	6	600	20	spellflag_dir_anim|spellflag_targ_obj|spellflag_harm|spellflag_damage|spellflag_fx_bolt|spellflag_resist	i_reag_black_pearl,i_reag_nightshade
43	s_explosion	Explosion	6	600	20	spellflag_dir_anim|spellflag_targ_obj|spellflag_harm|spellflag_damage|spellflag_fx_targ|spellflag_resist	i_reag_blood_moss,i_reag_mandrake_root
44	s_invisibility	Invisibility	6	600	20	spellflag_dir_anim|spellflag_targ_char|spellflag_good|spellflag_playeronly	i_reag_blood_moss,i_reag_nightshade
45	s_mark	Mark	6	600	20	spellflag_targ_item|spellflag_playeronly	i_reag_black_pearl,i_reag_blood_moss,i_reag_mandrake_root
46	s_mass_curse	Mass Curse	6	600	20	spellflag_harm|spellflag_fx_targ|spellflag_playeronly|spellflag_area|spellflag_nounparalyze|spellflag_curse	i_reag_garlic,i_reag_mandrake_root,i_reag_nightshade,i_reag_sulfur_ash
47	s_paralyzation_field	Paralyze Field	6	600	20	spellflag_dir_anim|spellflag_targ_xyz|spellflag_harm|spellflag_damage|spellflag_fx_targ|spellflag_field|spellflag_playeronly|spellflag_nounparalyze	i_reag_black_pearl,i_reag_ginseng,i_reag_spider_silk
48	s_reveal	Reveal	6	600	20	spellflag_area	i_reag_blood_moss,i_reag_sulfur_ash
49	s_chain_lightning	Chain Lightning	7	700	40	spellflag_dir_anim|spellflag_targ_xyz|spellflag_harm|spellflag_damage|spellflag_area|spellflag_resist|spellflag_playeronly	i_reag_black_pearl,i_reag_blood_moss,i_reag_mandrake_root,i_reag_sulfur_ash
50	s_energy_field	Energy Field	7	700	40	spellflag_dir_anim|spellflag_targ_xyz|spellflag_harm|spellflag_damage|spellflag_fx_targ|spellflag_field|spellflag_playeronly|spellflag_nounparalyze	i_reag_black_pearl,i_reag_mandrake_root,i_reag_spider_silk,i_reag_sulfur_ash
