x	y	map	count	radius	label	defname	taming_req
6074	1459	0	19	44	Alligator x19	c_alligator	47.1
575	1097	0	15	13	Sheep x15	c_sheep_woolly	11.1
670	934	0	15	19	Sheep x15	c_sheep_woolly	11.1
671	1180	0	15	19	Sheep x15	c_sheep_woolly	11.1
1318	1815	0	14	17	Cow x14	c_cow_bw	11.1
3766	1115	0	13	20	Dog x13	c_dog	15.3
3775	1108	0	13	25	Rat x13	c_rat	0.9
4447	1439	0	10	22	Timber Wolf x10	c_wolf_timber	23.1
5773	3158	0	9	9	Dog x9	c_dog	15.3
4498	1463	0	8	30	Timber Wolf x8	c_wolf_timber	23.1
4452	1385	0	7	21	Timber Wolf x7	c_wolf_timber	23.1
4504	1427	0	7	14	Timber Wolf x7	c_wolf_timber	23.1
5161	3912	0	7	7	Sheep x7	c_sheep_woolly	11.1
1650	1563	0	6	3	Rat x6	c_rat	0.9
5711	1377	0	6	10	hell hound x6	c_hellhound	85.5
5790	3938	0	6	24	Zostrich x6	c_ostard_frenzied	77.1
6053	1458	0	6	13	Bull Frog x6	c_bullfrog	23.1
6473	74	0	6	5	Rat x6	c_rat	0.9
5568	2339	0	5	21	white wolf x5	c_wolf_white	65.0
5568	2355	0	5	14	Polar Bear x5	c_bear_polar	35.1
5650	1364	0	5	2	hell hound x5	c_hellhound	85.5
5695	3243	0	5	17	Rat x5	c_rat	0.9
5735	3445	0	5	7	Panther x5	c_panther	53.1
1024	1670	0	4	3	Timber Wolf x4	c_wolf_timber	23.1
1414	3750	0	4	11	Rat x4	c_rat	0.9
1563	1542	0	4	6	Dog x4	c_dog	15.3
2465	520	0	4	6	Rat x4	c_rat	0.9
3730	2634	0	4	4	Rat x4	c_rat	0.9
3761	2191	0	4	9	Rat x4	c_rat	0.9
5218	3925	0	4	12	Bull x4	c_bull_brown_dk	71.1
5347	3448	0	4	7	Horse x4	c_horse_brown_dk	29.1
5351	3443	0	4	14	Llama x4	c_llama	35.1
5817	2367	0	4	2	Polar Bear x4	c_bear_polar	35.1
5817	2367	0	4	1	Walrus x4	c_walrus	35.1
5817	2367	0	4	2	white wolf x4	c_wolf_white	65.0
5903	2406	0	4	7	Walrus x4	c_walrus	35.1
6077	1486	0	4	19	Bull Frog x4	c_bullfrog	23.1
6103	1464	0	4	13	Bull Frog x4	c_bullfrog	23.1
6295	878	0	4	9	Rat x4	c_rat	0.9
6512	849	0	4	8	Alligator x4	c_alligator	47.1
206	1444	0	3	9	dire wolf x3	c_wolf_dire	80.0
214	1406	0	3	11	Cougar x3	c_cougar	50.0
808	752	0	3	8	Pig x3	c_pig	11.1
840	1282	0	3	8	grey wolf x3	c_wolf_grey	50.0
844	1280	0	3	4	Pig x3	c_pig	11.1
1018	507	0	3	7	Black Bear x3	c_bear_black	35.1
1185	3602	0	3	7	Cow x3	c_cow_bw	11.1
1280	2056	0	3	4	Boar x3	c_boar	29.1
1886	2746	0	3	3	Dog x3	c_dog	15.3
1948	2670	0	3	2	Dog x3	c_dog	15.3
1994	2712	0	3	1	Dog x3	c_dog	15.3
2057	1051	0	3	10	Alligator x3	c_alligator	47.1
2190	1988	0	3	12	Pig x3	c_pig	11.1
2226	1163	0	3	11	Rat x3	c_rat	0.9
2447	420	0	3	13	Crow x3	c_bird_crow	10.0
2683	2240	0	3	5	Rat x3	c_rat	0.9
2865	813	0	3	6	Rat x3	c_rat	0.9
2895	702	0	3	11	Crow x3	c_bird_crow	10.0
3014	3460	0	3	13	Dog x3	c_dog	15.3
3117	525	0	3	11	Pig x3	c_pig	11.1
3661	2475	0	3	13	Crow x3	c_bird_crow	10.0
3750	2098	0	3	7	Dog x3	c_dog	15.3
4075	301	0	3	10	Snow Leopard x3	c_leopard_snow	50.0
4487	1381	0	3	5	Bull Frog x3	c_bullfrog	23.1
4513	1103	0	3	14	grey wolf x3	c_wolf_grey	50.0
4615	1452	0	3	11	Great Hart x3	c_great_hart	59.1
5167	3928	0	3	4	Cow x3	c_cow_bw	11.1
5167	3929	0	3	2	Bull x3	c_bull_brown_dk	71.1
5204	3890	0	3	10	Bull x3	c_bull_brown_dk	71.1
5315	1333	0	3	7	giant rat x3	c_rat_giant	25.0
5326	3943	0	3	3	Rat x3	c_rat	0.9
5327	3943	0	3	3	Crow x3	c_bird_crow	10.0
5332	1346	0	3	7	dire wolf x3	c_wolf_dire	80.0
5332	3939	0	3	1	Dog x3	c_dog	15.3
5352	3447	0	3	6	Great Hart x3	c_great_hart	59.1
5356	3382	0	3	10	Brown Bear x3	c_bear_brown	41.1
5489	3628	0	3	4	Llama x3	c_llama	35.1
5502	3618	0	3	10	Brown Bear x3	c_bear_brown	41.1
5536	3917	0	3	4	Llama x3	c_llama	35.1
5539	3918	0	3	5	Forest Ostard x3	c_ostard_forest	29.1
5569	2357	0	3	10	Walrus x3	c_walrus	35.1
5722	3934	0	3	2	Black Bear x3	c_bear_black	35.1
5729	3233	0	3	7	Rat x3	c_rat	0.9
5766	3209	0	3	12	Rat x3	c_rat	0.9
5902	2404	0	3	5	Polar Bear x3	c_bear_polar	35.1
5903	2409	0	3	7	white wolf x3	c_wolf_white	65.0
5945	3456	0	3	10	Alligator x3	c_alligator	47.1
5964	66	0	3	6	hell hound x3	c_hellhound	85.5
6044	3434	0	3	15	Alligator x3	c_alligator	47.1
6057	1453	0	3	7	Rat x3	c_rat	0.9
6079	1483	0	3	4	Alligator x3	c_alligator	47.1
6101	1471	0	3	14	Rat x3	c_rat	0.9
6172	142	0	3	4	Boar x3	c_boar	29.1
6186	32	0	3	4	Dog x3	c_dog	15.3
6186	106	0	3	12	Snake x3	c_snake	59.1
6254	121	0	3	13	Pig x3	c_pig	11.1
6263	117	0	3	11	Dog x3	c_dog	15.3
7063	351	0	3	3	Crow x3	c_bird_crow	10.0
7083	372	0	3	11	Crow x3	c_bird_crow	10.0
415	1322	0	2	1	Black Bear x2	c_bear_black	35.1
447	2063	0	2	1	Boar x2	c_boar	29.1
453	972	0	2	3	Dog x2	c_dog	15.3
527	958	0	2	6	Rat x2	c_rat	0.9
584	2183	0	2	2	Rat x2	c_rat	0.9
608	2160	0	2	5	Dog x2	c_dog	15.3
613	974	0	2	6	Dog x2	c_dog	15.3
625	2223	0	2	7	Dog x2	c_dog	15.3
659	2171	0	2	7	Dog x2	c_dog	15.3
716	704	0	2	7	Cougar x2	c_cougar	50.0
722	729	0	2	2	Cow x2	c_cow_bw	11.1
777	837	0	2	6	Pig x2	c_pig	11.1
787	801	0	2	7	Bull x2	c_bull_brown_dk	71.1
806	1156	0	2	5	Bull x2	c_bull_brown_lt	71.1
809	2164	0	2	3	Sheep x2	c_sheep_woolly	11.1
826	2270	0	2	7	Sheep x2	c_sheep_woolly	11.1
832	1288	0	2	1	Cougar x2	c_cougar	50.0
835	1572	0	2	6	Panther x2	c_panther	53.1
836	1631	0	2	3	Boar x2	c_boar	29.1
840	1285	0	2	5	Cow x2	c_cow_bw	11.1
848	1796	0	2	7	Boar x2	c_boar	29.1
860	1096	0	2	4	Panther x2	c_panther	53.1
876	1197	0	2	7	Brown Bear x2	c_bear_brown	41.1
882	1040	0	2	8	Eagle x2	c_eagle	17.1
894	730	0	2	7	Sheep x2	c_sheep_woolly	11.1
897	1593	0	2	7	Boar x2	c_boar	29.1
907	1639	0	2	6	Black Bear x2	c_bear_black	35.1
913	838	0	2	7	Panther x2	c_panther	53.1
921	2096	0	2	6	Bull x2	c_bull_brown_lt	71.1
930	1749	0	2	5	Cow x2	c_cow_bw	11.1
933	661	0	2	1	Panther x2	c_panther	53.1
937	2043	0	2	1	Grizzly Bear x2	c_bear_grizzly	59.1
961	508	0	2	3	Cow x2	c_cow_bw	11.1
963	2384	0	2	5	Cougar x2	c_cougar	50.0
966	508	0	2	4	Panther x2	c_panther	53.1
967	511	0	2	6	Brown Bear x2	c_bear_brown	41.1
976	664	0	2	8	Grizzly Bear x2	c_bear_grizzly	59.1
979	911	0	2	7	Eagle x2	c_eagle	17.1
980	2676	0	2	2	Eagle x2	c_eagle	17.1
984	511	0	2	2	Pig x2	c_pig	11.1
988	1347	0	2	6	Goat x2	c_goat	11.1
1003	323	0	2	5	dire wolf x2	c_wolf_dire	80.0
1009	1799	0	2	3	Goat x2	c_goat	11.1
1011	1242	0	2	8	Boar x2	c_boar	29.1
1017	508	0	2	3	Bull x2	c_bull_brown_lt	71.1
1018	1816	0	2	4	Cow x2	c_cow_bw	11.1
1024	1682	0	2	2	Cougar x2	c_cougar	50.0
1024	1683	0	2	5	Eagle x2	c_eagle	17.1
1024	1720	0	2	2	Goat x2	c_goat	11.1
1024	1720	0	2	6	Timber Wolf x2	c_wolf_timber	23.1
1027	2313	0	2	6	Goat x2	c_goat	11.1
1031	1721	0	2	8	Sheep x2	c_sheep_woolly	11.1
1038	2387	0	2	3	Goat x2	c_goat	11.1
1041	803	0	2	4	Sheep x2	c_sheep_woolly	11.1
1085	2440	0	2	4	Black Bear x2	c_bear_black	35.1
1107	2057	0	2	7	Panther x2	c_panther	53.1
1111	2835	0	2	7	Alligator x2	c_alligator	47.1
1113	2862	0	2	3	Snake x2	c_snake	59.1
1127	3579	0	2	7	Sheep x2	c_sheep_woolly	11.1
1168	813	0	2	5	Eagle x2	c_eagle	17.1
1176	3609	0	2	2	Sheep x2	c_sheep_woolly	11.1
1191	1636	0	2	4	Rat x2	c_rat	0.9
1201	958	0	2	2	Cougar x2	c_cougar	50.0
1208	2367	0	2	1	grey wolf x2	c_wolf_grey	50.0
1211	1752	0	2	5	Dog x2	c_dog	15.3
1238	1452	0	2	6	Brown Bear x2	c_bear_brown	41.1
1257	1582	0	2	8	Dog x2	c_dog	15.3
1280	2058	0	2	5	Black Bear x2	c_bear_black	35.1
1308	2175	0	2	7	Panther x2	c_panther	53.1
1337	2325	0	2	3	Cow x2	c_cow_bw	11.1
1341	2050	0	2	2	Brown Bear x2	c_bear_brown	41.1
1343	2060	0	2	4	Cougar x2	c_cougar	50.0
1343	2066	0	2	6	Sheep x2	c_sheep_woolly	11.1
1360	2342	0	2	8	Grizzly Bear x2	c_bear_grizzly	59.1
1386	1314	0	2	2	Sheep x2	c_sheep_woolly	11.1
1407	2642	0	2	6	Bull x2	c_bull_brown_lt	71.1
1407	2647	0	2	3	Panther x2	c_panther	53.1
1441	1753	0	2	3	Rat x2	c_rat	0.9
1467	2463	0	2	8	Eagle x2	c_eagle	17.1
1549	2236	0	2	6	Bull x2	c_bull_brown_lt	71.1
1572	855	0	2	8	Pig x2	c_pig	11.1
1601	2364	0	2	3	Cougar x2	c_cougar	50.0
1652	2547	0	2	5	Cougar x2	c_cougar	50.0
1667	261	0	2	8	dire wolf x2	c_wolf_dire	80.0
1671	803	0	2	5	Grizzly Bear x2	c_bear_grizzly	59.1
1684	2786	0	2	5	Black Bear x2	c_bear_black	35.1
1690	2427	0	2	4	Boar x2	c_boar	29.1
1731	2587	0	2	6	Brown Bear x2	c_bear_brown	41.1
1735	711	0	2	8	grey wolf x2	c_wolf_grey	50.0
1743	1373	0	2	2	dire wolf x2	c_wolf_dire	80.0
1769	1458	0	2	4	Cougar x2	c_cougar	50.0
1777	1469	0	2	5	Grizzly Bear x2	c_bear_grizzly	59.1
1823	1353	0	2	7	Bull x2	c_bull_brown_lt	71.1
1825	2984	0	2	6	Sheep x2	c_sheep_woolly	11.1
1838	1246	0	2	6	dire wolf x2	c_wolf_dire	80.0
1844	1484	0	2	5	Timber Wolf x2	c_wolf_timber	23.1
1855	1346	0	2	7	Sheep x2	c_sheep_woolly	11.1
1887	2742	0	2	1	Rat x2	c_rat	0.9
1949	3117	0	2	7	Goat x2	c_goat	11.1
1972	2739	0	2	6	Rat x2	c_rat	0.9
1977	2721	0	2	1	Dog x2	c_dog	15.3
1990	2868	0	2	5	Rat x2	c_rat	0.9
1991	1033	0	2	4	Alligator x2	c_alligator	47.1
2003	988	0	2	4	Alligator x2	c_alligator	47.1
2061	2288	0	2	8	Snake x2	c_snake	59.1
2124	681	0	2	8	Cougar x2	c_cougar	50.0
2127	2113	0	2	4	Timber Wolf x2	c_wolf_timber	23.1
2147	3973	0	2	4	Alligator x2	c_alligator	47.1
2166	3973	0	2	4	Snake x2	c_snake	59.1
2187	1980	0	2	4	Bull x2	c_bull_brown_lt	71.1
2197	1976	0	2	7	Grizzly Bear x2	c_bear_grizzly	59.1
2204	1984	0	2	1	Great Hart x2	c_great_hart	59.1
2241	1217	0	2	5	Dog x2	c_dog	15.3
2305	888	0	2	7	grey wolf x2	c_wolf_grey	50.0
2308	873	0	2	7	Great Hart x2	c_great_hart	59.1
2318	895	0	2	7	Pig x2	c_pig	11.1
2360	779	0	2	4	Sheep x2	c_sheep_woolly	11.1
2361	3453	0	2	6	Alligator x2	c_alligator	47.1
2384	1162	0	2	4	Brown Bear x2	c_bear_brown	41.1
2386	1190	0	2	7	Cougar x2	c_cougar	50.0
2399	3431	0	2	3	Snake x2	c_snake	59.1
2452	985	0	2	7	Boar x2	c_boar	29.1
2463	1013	0	2	6	Grizzly Bear x2	c_bear_grizzly	59.1
2478	1085	0	2	6	Brown Bear x2	c_bear_brown	41.1
2494	426	0	2	2	Rat x2	c_rat	0.9
2506	3993	0	2	8	Snake x2	c_snake	59.1
2557	1126	0	2	4	Goat x2	c_goat	11.1
2644	2150	0	2	6	Dog x2	c_dog	15.3
2650	2137	0	2	2	Rat x2	c_rat	0.9
2660	890	0	2	5	Pig x2	c_pig	11.1
2680	832	0	2	1	Great Hart x2	c_great_hart	59.1
2680	835	0	2	7	grey wolf x2	c_wolf_grey	50.0
2682	895	0	2	5	Cow x2	c_cow_bw	11.1
2684	1006	0	2	7	Timber Wolf x2	c_wolf_timber	23.1
2686	558	0	2	5	Horse x2	c_horse_brown_dk	29.1
2687	883	0	2	1	grey wolf x2	c_wolf_grey	50.0
2687	1063	0	2	4	Great Hart x2	c_great_hart	59.1
2700	1026	0	2	4	Boar x2	c_boar	29.1
2723	497	0	2	7	Cow x2	c_cow_bw	11.1
2739	2058	0	2	1	Pig x2	c_pig	11.1
2768	2296	0	2	4	Horse x2	c_horse_gray	29.1
2783	1989	0	2	7	Timber Wolf x2	c_wolf_timber	23.1
2819	3514	0	2	4	Goat x2	c_goat	11.1
2835	455	0	2	4	Boar x2	c_boar	29.1
2883	643	0	2	5	Dog x2	c_dog	15.3
2889	722	0	2	4	Rat x2	c_rat	0.9
2910	895	0	2	1	Dog x2	c_dog	15.3
2923	580	0	2	5	Cow x2	c_cow_bw	11.1
2934	3371	0	2	6	Rat x2	c_rat	0.9
2945	3606	0	2	7	Alligator x2	c_alligator	47.1
2946	2143	0	2	6	Sheep x2	c_sheep_woolly	11.1
2953	947	0	2	5	Rat x2	c_rat	0.9
2966	3365	0	2	1	Dog x2	c_dog	15.3
2980	3388	0	2	8	Dog x2	c_dog	15.3
3100	505	0	2	4	Black Bear x2	c_bear_black	35.1
3241	405	0	2	3	Timber Wolf x2	c_wolf_timber	23.1
3250	563	0	2	7	Cow x2	c_cow_bw	11.1
3377	612	0	2	4	grey wolf x2	c_wolf_grey	50.0
3543	2495	0	2	7	Brown Bear x2	c_bear_brown	41.1
3578	2542	0	2	7	Sheep x2	c_sheep_woolly	11.1
3582	2843	0	2	5	Black Bear x2	c_bear_black	35.1
3583	2437	0	2	6	Black Bear x2	c_bear_black	35.1
3616	2603	0	2	8	Dog x2	c_dog	15.3
3663	2529	0	2	4	Rat x2	c_rat	0.9
3670	2219	0	2	6	Dog x2	c_dog	15.3
3690	1095	0	2	2	Dog x2	c_dog	15.3
3694	2756	0	2	3	Black Bear x2	c_bear_black	35.1
3717	2098	0	2	5	Rat x2	c_rat	0.9
3723	2709	0	2	5	Pig x2	c_pig	11.1
