item	vendor_class	npc_purchase_allowed	authenticity_gap	reason
i_pet_horse_pack	REVOLUTION_NPC_VERIFIED	1	0	a dated Revolution update records an NPC selling this
i_pet_llama_pack	REVOLUTION_NPC_VERIFIED	1	0	a dated Revolution update records an NPC selling this
i_cloth_bolt	PLAYER_MARKET_GOOD	1	0	a player-market good with a documented NPC floor (guide: sell to other players OR to vendors)
i_ingot_iron	PLAYER_MARKET_GOOD	1	0	a player-market good with a documented NPC floor (guide: sell to other players OR to vendors)
i_arrow	PLAYER_MARKET_GOOD	1	0	a player-market good with a documented NPC floor (guide: sell to other players OR to vendors)
i_xbolt	PLAYER_MARKET_GOOD	1	0	a player-market good with a documented NPC floor (guide: sell to other players OR to vendors)
i_keg_potion	PLAYER_MARKET_GOOD	1	0	a player-market good with a documented NPC floor (guide: sell to other players OR to vendors)
i_spellbook	PLAYER_MARKET_GOOD	1	0	a player-market good with a documented NPC floor (guide: sell to other players OR to vendors)
i_spellbook_runebook	PLAYER_MARKET_GOOD	1	0	a player-market good with a documented NPC floor (guide: sell to other players OR to vendors)
i_shovel	BASIC_CRAFT_TOOL	1	0	a basic craft tool: a tool is not a resource, it shortcuts no chain, and without a purchasable first tool the craft tree cannot be bootstrapped at all
i_pickaxe	BASIC_CRAFT_TOOL	1	0	a basic craft tool: a tool is not a resource, it shortcuts no chain, and without a purchasable first tool the craft tree cannot be bootstrapped at all
i_hatchet	BASIC_CRAFT_TOOL	1	0	a basic craft tool: a tool is not a resource, it shortcuts no chain, and without a purchasable first tool the craft tree cannot be bootstrapped at all
i_axe	BASIC_CRAFT_TOOL	1	0	a basic craft tool: a tool is not a resource, it shortcuts no chain, and without a purchasable first tool the craft tree cannot be bootstrapped at all
i_scissors	BASIC_CRAFT_TOOL	1	0	a basic craft tool: a tool is not a resource, it shortcuts no chain, and without a purchasable first tool the craft tree cannot be bootstrapped at all
i_sewing_kit	BASIC_CRAFT_TOOL	1	0	a basic craft tool: a tool is not a resource, it shortcuts no chain, and without a purchasable first tool the craft tree cannot be bootstrapped at all
i_tongs	BASIC_CRAFT_TOOL	1	0	a basic craft tool: a tool is not a resource, it shortcuts no chain, and without a purchasable first tool the craft tree cannot be bootstrapped at all
i_hammer_smith	BASIC_CRAFT_TOOL	1	0	a basic craft tool: a tool is not a resource, it shortcuts no chain, and without a purchasable first tool the craft tree cannot be bootstrapped at all
i_tinker_tools	BASIC_CRAFT_TOOL	1	0	a basic craft tool: a tool is not a resource, it shortcuts no chain, and without a purchasable first tool the craft tree cannot be bootstrapped at all
i_bread_loaf	BASIC_FOOD	1	0	basic food: a character with hunger enabled must be able to eat, and Revolution's cooking economy shows food was not an income good
i_food_bread_fr	BASIC_FOOD	1	0	basic food: a character with hunger enabled must be able to eat, and Revolution's cooking economy shows food was not an income good
i_ribs_cooked	BASIC_FOOD	1	0	basic food: a character with hunger enabled must be able to eat, and Revolution's cooking economy shows food was not an income good
i_food_cookies	BASIC_FOOD	1	0	basic food: a character with hunger enabled must be able to eat, and Revolution's cooking economy shows food was not an income good
i_saw	BASIC_CRAFT_TOOL	1	0	a basic craft tool: a tool is not a resource, it shortcuts no chain, and without a purchasable first tool the craft tree cannot be bootstrapped at all
i_mortar_pestle	BASIC_CRAFT_TOOL	1	0	a basic craft tool: a tool is not a resource, it shortcuts no chain, and without a purchasable first tool the craft tree cannot be bootstrapped at all
i_fishing_pole	BASIC_CRAFT_TOOL	1	0	a basic craft tool: a tool is not a resource, it shortcuts no chain, and without a purchasable first tool the craft tree cannot be bootstrapped at all
i_pen_and_ink	BASIC_CRAFT_TOOL	1	0	a basic craft tool: a tool is not a resource, it shortcuts no chain, and without a purchasable first tool the craft tree cannot be bootstrapped at all
i_ore_iron	WORLD_GATHERED	0	0	a gathering skill produces this; go and get it
i_log	WORLD_GATHERED	0	0	a gathering skill produces this; go and get it
i_wool	WORLD_GATHERED	0	0	a gathering skill produces this; go and get it
i_cotton	WORLD_GATHERED	0	0	a gathering skill produces this; go and get it
i_flax_bundle	WORLD_GATHERED	0	0	a gathering skill produces this; go and get it
i_hide	WORLD_GATHERED	0	0	a gathering skill produces this; go and get it
i_feather	WORLD_GATHERED	0	0	a gathering skill produces this; go and get it
i_fish_big_1	WORLD_GATHERED	0	0	a gathering skill produces this; go and get it
i_fish_big_2	WORLD_GATHERED	0	0	a gathering skill produces this; go and get it
i_fish_big_3	WORLD_GATHERED	0	0	a gathering skill produces this; go and get it
i_fish_big_4	WORLD_GATHERED	0	0	a gathering skill produces this; go and get it
i_fish_small	WORLD_GATHERED	0	0	a gathering skill produces this; go and get it
i_fish_cut_cooked	WORLD_PROCESSED	0	0	a station produces this; go and process it
i_yarn_ball	WORLD_PROCESSED	0	0	a station produces this; go and process it
i_thread	WORLD_PROCESSED	0	0	a station produces this; go and process it
i_cloth	WORLD_PROCESSED	0	0	a station produces this; go and process it
i_hides_cut	WORLD_PROCESSED	0	0	a station produces this; go and process it
i_fish_cut_raw	WORLD_PROCESSED	0	0	a station produces this; go and process it
i_board	PLAYER_CRAFTED	0	0	a player craft produces this; craft it or buy from a player
i_gears	PLAYER_CRAFTED	0	0	a player craft produces this; craft it or buy from a player
i_nails	PLAYER_CRAFTED	0	0	a player craft produces this; craft it or buy from a player
i_lockpick	PLAYER_CRAFTED	0	0	a player craft produces this; craft it or buy from a player
i_dagger	PLAYER_CRAFTED	0	0	a player craft produces this; craft it or buy from a player
i_sash	PLAYER_CRAFTED	0	0	a player craft produces this; craft it or buy from a player
i_robe	PLAYER_CRAFTED	0	0	a player craft produces this; craft it or buy from a player
i_leather_tunic	PLAYER_CRAFTED	0	0	a player craft produces this; craft it or buy from a player
i_parchment	PLAYER_CRAFTED	0	0	a player craft produces this; craft it or buy from a player
i_rune_marker	STOCK_SPHERE_ONLY	0	0	on a stock Sphere vendor with no Revolution evidence
i_reag_black_pearl	REVOLUTION_NPC_VERIFIED	1	0	a dated Revolution update records an NPC selling this
i_reag_blood_moss	REVOLUTION_NPC_VERIFIED	1	0	a dated Revolution update records an NPC selling this
