body_hex	body_dec	anim_class	actions	max_frames	best_action	dirs
0x20	32	monster	9	10	22	5
0x22	34	monster	9	10	22	5
0x54	84	monster	10	10	22	5
0xDE	222	animal	13	6	21	5
0xE0	224	animal	20	6	21	5
0xE3	227	animal	13	6	21	5
0xE5	229	animal	8	6	34	5
0xEB	235	animal	9	6	34	5
0xEC	236	animal	22	6	21	5
0x120	288	animal	9	6	34	5
0x121	289	animal	22	6	21	5
0x18E	398	animal	9	10	26	5
0x18F	399	animal	22	10	13	5
0x194	404	human	35	10	0	5
0x195	405	human	35	10	0	5
0x196	406	human	35	10	0	5
0x197	407	human	35	10	0	5
0x198	408	human	35	10	0	5
0x199	409	human	35	10	0	5
0x19A	410	human	35	10	0	5
0x19B	411	human	35	10	0	5
0x19C	412	human	35	10	0	5
0x19D	413	human	35	10	0	5
0x19E	414	human	35	10	0	5
0x19F	415	human	35	10	0	5
0x1A0	416	human	35	10	0	5
0x1A1	417	human	35	10	0	5
0x1A2	418	human	35	10	0	5
0x1A3	419	human	35	10	0	5
0x1AE	430	human	35	10	0	5
0x1AF	431	human	35	10	0	5
0x1B2	434	human	35	10	0	5
0x1B3	435	human	35	10	0	5
0x1BF	447	human	35	10	0	5
0x1C0	448	human	35	10	0	5
0x1C1	449	human	35	10	0	5
0x1C7	455	human	35	10	0	5
0x1D1	465	human	35	10	0	5
0x1D2	466	human	35	10	0	5
0x1D4	468	human	35	10	0	5
0x1D5	469	human	35	10	0	5
0x1DC	476	human	35	10	0	5
0x1DD	477	human	35	10	0	5
0x1DF	479	human	35	10	0	5
0x1E0	480	human	35	10	0	5
0x1EA	490	human	35	10	0	5
0x1EC	492	human	35	10	0	5
0x1F4	500	human	35	10	0	5
0x1F5	501	human	35	10	0	5
0x1F6	502	human	35	10	0	5
0x1F7	503	human	35	10	0	5
0x1F8	504	human	35	10	0	5
0x1F9	505	human	35	10	0	5
0x209	521	human	35	10	0	5
0x20B	523	human	35	10	0	5
0x20D	525	human	35	10	0	5
0x20F	527	human	35	10	0	5
0x210	528	human	35	10	0	5
0x211	529	human	35	10	0	5
0x212	530	human	35	10	0	5
0x21A	538	human	35	10	0	5
0x21C	540	human	35	10	0	5
0x21E	542	human	35	10	0	5
0x21F	543	human	35	10	0	5
0x220	544	human	35	10	0	5
0x221	545	human	35	10	0	5
0x222	546	human	35	10	0	5
0x224	548	human	35	10	0	5
0x225	549	human	35	10	0	5
0x226	550	human	35	10	0	5
0x22A	554	human	35	10	0	5
0x22B	555	human	35	10	0	5
0x22C	556	human	35	10	0	5
0x22D	557	human	35	10	0	5
0x230	560	human	35	10	0	5
0x231	561	human	35	10	0	5
0x232	562	human	35	10	0	5
0x233	563	human	35	10	0	5
0x234	564	human	35	10	0	5
0x235	565	human	35	10	0	5
0x23D	573	human	35	10	0	5
0x240	576	human	35	10	0	5
0x241	577	human	35	10	0	5
0x242	578	human	35	10	0	5
0x243	579	human	35	10	0	5
0x244	580	human	35	10	0	5
0x245	581	human	35	10	0	5
0x246	582	human	35	10	0	5
0x263	611	human	35	10	0	5
0x264	612	human	35	10	0	5
0x265	613	human	35	10	0	5
0x266	614	human	35	10	0	5
0x267	615	human	35	10	0	5
0x268	616	human	35	10	0	5
0x269	617	human	35	10	0	5
0x26A	618	human	35	10	0	5
0x26B	619	human	34	10	0	5
0x26C	620	human	35	10	0	5
0x26D	621	human	35	10	0	5
0x26E	622	human	34	10	0	5
0x26F	623	human	35	10	0	5
0x270	624	human	35	10	0	5
0x271	625	human	35	10	0	5
0x272	626	human	35	10	0	5
0x273	627	human	35	10	0	5
0x274	628	human	35	10	0	5
0x275	629	human	33	10	0	5
0x276	630	human	35	10	0	5
0x277	631	human	35	10	0	5
0x279	633	human	35	10	0	5
0x27A	634	human	35	10	0	5
0x27B	635	human	35	10	0	5
0x27C	636	human	35	10	0	5
0x27E	638	human	33	10	0	5
0x27F	639	human	35	10	0	5
0x280	640	human	35	10	0	5
0x281	641	human	35	10	0	5
0x282	642	human	35	10	0	5
0x283	643	human	35	10	0	5
0x284	644	human	35	10	0	5
0x285	645	human	35	10	0	5
0x286	646	human	35	10	0	5
0x288	648	human	35	10	0	5
0x289	649	human	35	10	0	5
