start: Dorvar is a fisher and lives in Skara Brae -> starting city index 7
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[00:32:10.093] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:32:11.392] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:32:12.654] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:32:15.516] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:32:16.797] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:32:18.134] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:32:22.495] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:32:23.833] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:32:25.205] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:32:30.980] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:32:32.304] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:32:33.648] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:32:33.710] WARN  [g_Dorvar] [travel] route exhausted at (616,2184,0); trying to reach (600,2168,0) to get somewhere routable (escape 1/3)
[00:32:41.970] WARN  [g_Dorvar] [travel] route exhausted at (600,2168,0); trying to reach (584,2152,0) to get somewhere routable (escape 2/3)
[00:32:49.972] WARN  [g_Dorvar] [travel] route exhausted at (584,2152,0); trying to reach (568,2136,0) to get somewhere routable (escape 3/3)
[00:32:59.631] WARN  [g_Dorvar] [bot] no path to (584,2144) avoiding 0 block(s); stopping (search 473120.4us)
[00:32:59.631] WARN  [g_Dorvar] [bot] start (568,2136,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 280 item(s), 10 mobile(s))
[00:33:01.497] WARN  [g_Dorvar] [bot] no path to (584,2144) avoiding 0 block(s); stopping (search 510615.6us)
[00:33:01.497] WARN  [g_Dorvar] [bot] start (568,2136,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 280 item(s), 9 mobile(s))
[00:33:03.333] WARN  [g_Dorvar] [bot] no path to (584,2144) avoiding 0 block(s); stopping (search 519978.0us)
[00:33:03.333] WARN  [g_Dorvar] [bot] start (568,2136,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 280 item(s), 9 mobile(s))
[00:33:06.766] WARN  [g_Dorvar] [bot] no path to (584,2144) avoiding 0 block(s); stopping (search 517909.7us)
[00:33:06.766] WARN  [g_Dorvar] [bot] start (568,2136,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 280 item(s), 11 mobile(s))
[00:33:08.525] WARN  [g_Dorvar] [bot] no path to (584,2144) avoiding 0 block(s); stopping (search 455010.9us)
[00:33:08.525] WARN  [g_Dorvar] [bot] start (568,2136,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 280 item(s), 11 mobile(s))
[00:33:10.327] WARN  [g_Dorvar] [bot] no path to (584,2144) avoiding 0 block(s); stopping (search 510069.7us)
[00:33:10.327] WARN  [g_Dorvar] [bot] start (568,2136,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 280 item(s), 11 mobile(s))
[00:33:15.167] WARN  [g_Dorvar] [bot] no path to (584,2144) avoiding 0 block(s); stopping (search 474834.6us)
[00:33:15.167] WARN  [g_Dorvar] [bot] start (568,2136,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 280 item(s), 10 mobile(s))
[00:33:16.915] WARN  [g_Dorvar] [bot] no path to (584,2144) avoiding 0 block(s); stopping (search 464765.3us)
[00:33:16.915] WARN  [g_Dorvar] [bot] start (568,2136,0) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 280 item(s), 10 mobile(s))
