start: Draver is a miner_smith and lives in Minoc -> starting city index 1
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[13:16:00.122] WARN  [g_Draver] [0x21] move REJECTED seq=53; server says (2555,501,1) facing=0
[13:16:00.858] WARN  [g_Draver] [0x21] move REJECTED seq=0; server says (2555,501,1) facing=0
[13:16:01.915] WARN  [g_Draver] [0x21] move REJECTED seq=3; server says (2556,501,0) facing=0
[13:16:02.664] WARN  [g_Draver] [0x21] move REJECTED seq=0; server says (2556,501,0) facing=0
[13:16:11.224] WARN  [g_Draver] [0x21] move REJECTED seq=11; server says (2556,499,0) facing=5
[13:16:11.956] WARN  [g_Draver] [0x21] move REJECTED seq=0; server says (2556,499,0) facing=5
[13:16:12.506] WARN  [g_Draver] [0x21] move REJECTED seq=1; server says (2556,499,0) facing=4
[13:16:13.244] WARN  [g_Draver] [0x21] move REJECTED seq=0; server says (2556,499,0) facing=4
[13:17:23.707] WARN  [g_Draver] [0x21] move REJECTED seq=52; server says (2555,501,1) facing=0
[13:17:24.443] WARN  [g_Draver] [0x21] move REJECTED seq=0; server says (2555,501,1) facing=0
[13:17:25.457] WARN  [g_Draver] [0x21] move REJECTED seq=3; server says (2556,501,0) facing=0
[13:17:26.208] WARN  [g_Draver] [0x21] move REJECTED seq=0; server says (2556,501,0) facing=0
[13:17:34.222] WARN  [g_Draver] [0x21] move REJECTED seq=10; server says (2556,499,0) facing=5
[13:17:34.959] WARN  [g_Draver] [0x21] move REJECTED seq=0; server says (2556,499,0) facing=5
[13:17:35.527] WARN  [g_Draver] [0x21] move REJECTED seq=1; server says (2556,499,0) facing=4
[13:17:36.272] WARN  [g_Draver] [0x21] move REJECTED seq=0; server says (2556,499,0) facing=4
[13:18:46.326] WARN  [g_Draver] [0x21] move REJECTED seq=52; server says (2555,501,1) facing=0
[13:18:47.075] WARN  [g_Draver] [0x21] move REJECTED seq=0; server says (2555,501,1) facing=0
[13:18:48.213] WARN  [g_Draver] [0x21] move REJECTED seq=3; server says (2556,501,0) facing=0
[13:18:48.969] WARN  [g_Draver] [0x21] move REJECTED seq=0; server says (2556,501,0) facing=0
[13:18:57.570] WARN  [g_Draver] [0x21] move REJECTED seq=12; server says (2556,499,0) facing=5
[13:18:58.307] WARN  [g_Draver] [0x21] move REJECTED seq=0; server says (2556,499,0) facing=5
[13:18:58.877] WARN  [g_Draver] [0x21] move REJECTED seq=1; server says (2556,499,0) facing=4
[13:18:59.635] WARN  [g_Draver] [0x21] move REJECTED seq=0; server says (2556,499,0) facing=4
[13:19:44.072] WARN  [g_Draver] [0x21] move REJECTED seq=6; server says (2503,560,0) facing=5
[13:19:44.072] WARN  [g_Draver] [bot] 0x20 resync; aborting path
