start: Aelia is a tailor and lives in Britain -> starting city index 2
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[00:19:49.687] WARN  [mk3_Aelia] [bot] 0x20 resync; aborting path
[00:19:53.978] WARN  [mk3_Aelia] [bot] no path to (1471,1612) avoiding 0 block(s); stopping (search 1265931.2us)
[00:19:53.978] WARN  [mk3_Aelia] [bot] start (1475,1612,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 109 item(s), 9 mobile(s))
[00:19:55.314] WARN  [mk3_Aelia] [bot] no path to (1471,1612) avoiding 0 block(s); stopping (search 454.7us)
[00:19:55.314] WARN  [mk3_Aelia] [bot] start (1475,1612,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 109 item(s), 7 mobile(s))
[00:19:56.528] WARN  [mk3_Aelia] [bot] no path to (1471,1612) avoiding 0 block(s); stopping (search 293.7us)
[00:19:56.528] WARN  [mk3_Aelia] [bot] start (1475,1612,20) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 109 item(s), 7 mobile(s))
[00:20:00.905] WARN  [mk3_Aelia] [bot] no path to (1471,1612) avoiding 0 block(s); stopping (search 1555469.5us)
[00:20:00.905] WARN  [mk3_Aelia] [bot] start (1475,1612,20) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 109 item(s), 7 mobile(s))
[00:20:03.834] WARN  [mk3_Aelia] [bot] no path to (1471,1612) avoiding 0 block(s); stopping (search 1683775.1us)
[00:20:03.835] WARN  [mk3_Aelia] [bot] start (1475,1612,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 109 item(s), 7 mobile(s))
[00:20:09.975] WARN  [mk3_Aelia] [bot] no path to (1471,1612) avoiding 0 block(s); stopping (search 1834064.7us)
[00:20:09.975] WARN  [mk3_Aelia] [bot] start (1475,1612,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 109 item(s), 5 mobile(s))
[00:20:16.814] WARN  [mk3_Aelia] [0x21] move REJECTED seq=20; server says (1481,1610,20) facing=7
[00:20:16.829] WARN  [mk3_Aelia] [bot] 0x20 resync; aborting path
[00:20:27.058] WARN  [mk3_Aelia] [bot] 0x20 resync; aborting path
[00:20:32.821] WARN  [mk3_Aelia] [bot] no path to (1449,1616) avoiding 0 block(s); stopping (search 2604210.2us)
[00:20:32.821] WARN  [mk3_Aelia] [bot] start (1453,1613,20) exits: open=3 terrain=3 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 165 item(s), 8 mobile(s))
[00:20:36.683] WARN  [mk3_Aelia] [bot] no path to (1449,1616) avoiding 0 block(s); stopping (search 2506075.0us)
[00:20:36.683] WARN  [mk3_Aelia] [bot] start (1453,1613,20) exits: open=3 terrain=3 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 165 item(s), 8 mobile(s))
[00:20:42.383] WARN  [mk3_Aelia] [bot] no path to (1449,1616) avoiding 0 block(s); stopping (search 2833074.2us)
[00:20:42.383] WARN  [mk3_Aelia] [bot] start (1453,1613,20) exits: open=2 terrain=3 mobile=3 dynamic=0 door=0 blacklist=0 (overlay saw 165 item(s), 8 mobile(s))
[00:20:46.064] WARN  [mk3_Aelia] [bot] no path to (1449,1616) avoiding 0 block(s); stopping (search 2370457.1us)
[00:20:46.065] WARN  [mk3_Aelia] [bot] start (1453,1613,20) exits: open=2 terrain=3 mobile=3 dynamic=0 door=0 blacklist=0 (overlay saw 165 item(s), 8 mobile(s))
[00:20:52.669] WARN  [mk3_Aelia] [bot] no path to (1449,1616) avoiding 0 block(s); stopping (search 2263372.8us)
[00:20:52.669] WARN  [mk3_Aelia] [bot] start (1453,1613,20) exits: open=3 terrain=3 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 165 item(s), 11 mobile(s))
[00:20:56.328] WARN  [mk3_Aelia] [bot] no path to (1449,1616) avoiding 0 block(s); stopping (search 2332111.8us)
[00:20:56.328] WARN  [mk3_Aelia] [bot] start (1453,1613,20) exits: open=3 terrain=3 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 165 item(s), 11 mobile(s))
[00:21:05.223] WARN  [mk3_Aelia] [bot] no path to (1449,1616) avoiding 0 block(s); stopping (search 3013712.8us)
[00:21:05.223] WARN  [mk3_Aelia] [bot] start (1453,1613,20) exits: open=3 terrain=3 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 165 item(s), 9 mobile(s))
[00:21:09.390] WARN  [mk3_Aelia] [bot] no path to (1449,1616) avoiding 0 block(s); stopping (search 2827731.1us)
[00:21:09.390] WARN  [mk3_Aelia] [bot] start (1453,1613,20) exits: open=3 terrain=3 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 165 item(s), 9 mobile(s))
[00:21:17.015] WARN  [mk3_Aelia] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[00:21:27.105] WARN  [mk3_Aelia] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[00:21:37.193] WARN  [mk3_Aelia] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[00:21:37.439] WARN  [mk3_Aelia] [bot] no path to (1416,1640) avoiding 0 block(s); stopping (search 257.8us)
[00:21:37.439] WARN  [mk3_Aelia] [bot] start (1453,1613,20) exits: open=2 terrain=3 mobile=3 dynamic=0 door=0 blacklist=0 (overlay saw 165 item(s), 12 mobile(s))
[00:21:38.797] WARN  [mk3_Aelia] [bot] no path to (1416,1640) avoiding 0 block(s); stopping (search 228.1us)
[00:21:38.797] WARN  [mk3_Aelia] [bot] start (1453,1613,20) exits: open=2 terrain=3 mobile=3 dynamic=0 door=0 blacklist=0 (overlay saw 165 item(s), 12 mobile(s))
[00:21:40.088] WARN  [mk3_Aelia] [bot] no path to (1416,1640) avoiding 0 block(s); stopping (search 236.3us)
[00:21:40.088] WARN  [mk3_Aelia] [bot] start (1453,1613,20) exits: open=3 terrain=3 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 165 item(s), 12 mobile(s))
[00:21:42.999] WARN  [mk3_Aelia] [bot] no path to (1464,1640) avoiding 0 block(s); stopping (search 212.6us)
[00:21:42.999] WARN  [mk3_Aelia] [bot] start (1453,1613,20) exits: open=3 terrain=3 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 165 item(s), 12 mobile(s))
[00:21:44.352] WARN  [mk3_Aelia] [bot] no path to (1464,1640) avoiding 0 block(s); stopping (search 202.1us)
[00:21:44.352] WARN  [mk3_Aelia] [bot] start (1453,1613,20) exits: open=3 terrain=3 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 165 item(s), 12 mobile(s))
[00:21:45.702] WARN  [mk3_Aelia] [bot] no path to (1464,1640) avoiding 0 block(s); stopping (search 227.0us)
[00:21:45.702] WARN  [mk3_Aelia] [bot] start (1453,1613,20) exits: open=3 terrain=3 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 165 item(s), 13 mobile(s))
[00:21:52.555] WARN  [mk3_Aelia] [0x21] move REJECTED seq=11; server says (1460,1612,20) facing=3
[00:21:52.570] WARN  [mk3_Aelia] [bot] 0x20 resync; aborting path
[00:21:54.038] WARN  [mk3_Aelia] [0x21] move REJECTED seq=1; server says (1460,1612,20) facing=3
[00:21:54.041] WARN  [mk3_Aelia] [bot] 0x20 resync; aborting path
[00:22:19.447] WARN  [mk3_Aelia] [bot] 0x20 resync; aborting path
[00:22:42.395] WARN  [mk3_Aelia] [0x21] move REJECTED seq=12; server says (1438,1693,0) facing=5
[00:22:42.396] WARN  [mk3_Aelia] [bot] 0x20 resync; aborting path
[00:23:04.422] WARN  [mk3_Aelia] [bot] watchdog: oldest move unacked 5s; aborting path
[00:23:04.594] WARN  [mk3_Aelia] [0x22] unsolicited ack seq=26
[00:24:46.519] WARN  [mk3_Aelia] [bot] THREAT (HP 24 -> 19): halting travel (TODO engage/flee/recall)
[00:24:49.664] WARN  [mk3_Aelia] [bot] THREAT (HP 19 -> 14): halting travel (TODO engage/flee/recall)
[00:24:49.664] WARN  [mk3_Aelia] [ACTION_RESULT] use_object rejected (0ms) You can't reach that.
[00:24:58.336] WARN  [mk3_Aelia] [action] use_object superseded by use_object
