start: Amara is a tailor and lives in Britain -> starting city index 2
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[00:19:51.329] WARN  [mk3_Amara] [bot] 0x20 resync; aborting path
[00:19:55.711] WARN  [mk3_Amara] [bot] no path to (1471,1612) avoiding 0 block(s); stopping (search 1280302.4us)
[00:19:55.711] WARN  [mk3_Amara] [bot] start (1476,1611,20) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 108 item(s), 10 mobile(s))
[00:19:58.302] WARN  [mk3_Amara] [bot] no path to (1471,1612) avoiding 0 block(s); stopping (search 1313397.2us)
[00:19:58.302] WARN  [mk3_Amara] [bot] start (1476,1611,20) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 108 item(s), 8 mobile(s))
[00:20:01.182] WARN  [mk3_Amara] [bot] no path to (1471,1612) avoiding 0 block(s); stopping (search 1615430.4us)
[00:20:01.182] WARN  [mk3_Amara] [bot] start (1476,1611,20) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 108 item(s), 8 mobile(s))
[00:20:05.682] WARN  [mk3_Amara] [bot] no path to (1471,1612) avoiding 0 block(s); stopping (search 1664906.8us)
[00:20:05.682] WARN  [mk3_Amara] [bot] start (1476,1611,20) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 108 item(s), 8 mobile(s))
[00:20:08.437] WARN  [mk3_Amara] [bot] no path to (1471,1612) avoiding 0 block(s); stopping (search 1481455.7us)
[00:20:08.437] WARN  [mk3_Amara] [bot] start (1476,1611,20) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 108 item(s), 6 mobile(s))
[00:20:14.658] WARN  [mk3_Amara] [bot] no path to (1471,1612) avoiding 0 block(s); stopping (search 1949594.6us)
[00:20:14.658] WARN  [mk3_Amara] [bot] start (1476,1611,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 108 item(s), 7 mobile(s))
[00:20:17.706] WARN  [mk3_Amara] [bot] no path to (1471,1612) avoiding 0 block(s); stopping (search 1750831.4us)
[00:20:17.706] WARN  [mk3_Amara] [bot] start (1476,1611,20) exits: open=3 terrain=3 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 108 item(s), 7 mobile(s))
[00:20:25.269] WARN  [mk3_Amara] [bot] no path to (1450,1617) avoiding 0 block(s); stopping (search 652.7us)
[00:20:25.269] WARN  [mk3_Amara] [bot] start (1471,1612,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 113 item(s), 10 mobile(s))
[00:20:29.126] WARN  [mk3_Amara] [0x21] move REJECTED seq=11; server says (1478,1611,20) facing=3
[00:20:29.129] WARN  [mk3_Amara] [bot] 0x20 resync; aborting path
[00:20:41.463] WARN  [mk3_Amara] [bot] 0x20 resync; aborting path
[00:20:47.380] WARN  [mk3_Amara] [bot] no path to (1450,1616) avoiding 0 block(s); stopping (search 2775135.5us)
[00:20:47.380] WARN  [mk3_Amara] [bot] start (1455,1614,20) exits: open=4 terrain=2 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 158 item(s), 8 mobile(s))
[00:20:59.545] WARN  [mk3_Amara] [bot] no path to (1422,1654) avoiding 0 block(s); stopping (search 486.7us)
[00:20:59.545] WARN  [mk3_Amara] [bot] start (1450,1616,20) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 169 item(s), 11 mobile(s))
[00:21:00.911] WARN  [mk3_Amara] [bot] no path to (1422,1654) avoiding 0 block(s); stopping (search 491.3us)
[00:21:00.911] WARN  [mk3_Amara] [bot] start (1450,1616,20) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 169 item(s), 11 mobile(s))
[00:21:02.262] WARN  [mk3_Amara] [bot] no path to (1422,1654) avoiding 0 block(s); stopping (search 521.4us)
[00:21:02.262] WARN  [mk3_Amara] [bot] start (1450,1616,20) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 169 item(s), 11 mobile(s))
[00:21:05.147] WARN  [mk3_Amara] [bot] no path to (1422,1654) avoiding 0 block(s); stopping (search 555.0us)
[00:21:05.147] WARN  [mk3_Amara] [bot] start (1450,1616,20) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 169 item(s), 9 mobile(s))
[00:21:06.492] WARN  [mk3_Amara] [bot] no path to (1422,1654) avoiding 0 block(s); stopping (search 506.8us)
[00:21:06.492] WARN  [mk3_Amara] [bot] start (1450,1616,20) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 169 item(s), 9 mobile(s))
[00:21:07.824] WARN  [mk3_Amara] [bot] no path to (1422,1654) avoiding 0 block(s); stopping (search 573.5us)
[00:21:07.824] WARN  [mk3_Amara] [bot] start (1450,1616,20) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 169 item(s), 9 mobile(s))
[00:21:12.235] WARN  [mk3_Amara] [bot] no path to (1422,1654) avoiding 0 block(s); stopping (search 475.2us)
[00:21:12.235] WARN  [mk3_Amara] [bot] start (1450,1616,20) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 169 item(s), 10 mobile(s))
[00:21:13.586] WARN  [mk3_Amara] [bot] no path to (1422,1654) avoiding 0 block(s); stopping (search 503.9us)
[00:21:13.586] WARN  [mk3_Amara] [bot] start (1450,1616,20) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 169 item(s), 10 mobile(s))
[00:21:14.942] WARN  [mk3_Amara] [bot] no path to (1422,1654) avoiding 0 block(s); stopping (search 442.5us)
[00:21:14.942] WARN  [mk3_Amara] [bot] start (1450,1616,20) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 169 item(s), 10 mobile(s))
[00:21:20.815] WARN  [mk3_Amara] [bot] no path to (1422,1654) avoiding 0 block(s); stopping (search 401.9us)
[00:21:20.815] WARN  [mk3_Amara] [bot] start (1450,1616,20) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 169 item(s), 10 mobile(s))
[00:21:22.168] WARN  [mk3_Amara] [bot] no path to (1422,1654) avoiding 0 block(s); stopping (search 563.0us)
[00:21:22.168] WARN  [mk3_Amara] [bot] start (1450,1616,20) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 169 item(s), 10 mobile(s))
