start: Castor is a fencer and lives in Trinsic -> starting city index 4
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[00:21:06.887] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:21:08.174] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:21:09.511] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:21:12.355] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:21:13.725] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:21:15.001] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:21:19.295] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:21:20.614] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:21:21.905] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:21:27.717] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:21:29.005] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:21:30.345] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:21:30.407] WARN  [mk3_Castor] [travel] route exhausted at (1911,2805,0); trying to reach (1896,2808,0) to get somewhere routable (escape 1/3)
[00:21:41.842] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:21:43.194] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:21:44.488] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:21:47.301] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:21:48.642] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:21:49.937] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:21:54.269] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:21:55.617] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:21:56.887] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:22:02.706] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:22:03.958] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:22:05.252] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:22:05.314] WARN  [mk3_Castor] [travel] route exhausted at (1896,2808,0); trying to reach (1896,2824,6) to get somewhere routable (escape 2/3)
[00:22:18.301] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:22:19.665] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:22:20.977] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:22:23.789] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:22:25.150] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:22:26.447] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:22:30.822] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:22:32.128] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:22:33.392] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:22:39.195] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:22:40.483] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:22:41.823] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:22:41.884] WARN  [mk3_Castor] [travel] route exhausted at (1896,2824,6); trying to reach (1880,2808,10) to get somewhere routable (escape 3/3)
[00:22:48.762] WARN  [mk3_Castor] [bot] 0x20 resync; aborting path
[00:22:51.936] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:22:53.217] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:22:54.596] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:22:57.463] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:22:58.726] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:22:59.991] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:23:04.423] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:23:05.715] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:23:07.071] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:23:12.964] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:23:14.261] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:23:15.603] WARN  [mk3_Castor] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[00:23:15.665] WARN  [mk3_Castor] [travel] route exhausted at (1883,2807,10); trying to reach (1896,2808,0) to get somewhere routable (escape 1/3)
