start: Cyras is a lumberjack_swordsman and lives in Britain -> starting city index 2
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[00:19:37.055] WARN  [mk3_Cyras] [bot] 0x20 resync; aborting path
[00:19:41.885] WARN  [mk3_Cyras] [bot] no path to (1470,1614) avoiding 0 block(s); stopping (search 1666372.7us)
[00:19:41.885] WARN  [mk3_Cyras] [bot] start (1475,1613,20) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 109 item(s), 7 mobile(s))
[00:19:44.403] WARN  [mk3_Cyras] [bot] no path to (1470,1614) avoiding 0 block(s); stopping (search 1256312.7us)
[00:19:44.403] WARN  [mk3_Cyras] [bot] start (1475,1613,20) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 109 item(s), 8 mobile(s))
[00:19:50.501] WARN  [mk3_Cyras] [0x21] move REJECTED seq=1; server says (1470,1614,20) facing=0
[00:19:50.502] WARN  [mk3_Cyras] [bot] no path to (1450,1617) avoiding 0 block(s); stopping (search 101.3us)
[00:19:50.502] WARN  [mk3_Cyras] [bot] start (1470,1614,20) exits: open=3 terrain=4 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 119 item(s), 8 mobile(s))
[00:20:01.840] WARN  [mk3_Cyras] [0x21] move REJECTED seq=44; server says (1479,1612,20) facing=1
[00:20:01.842] WARN  [mk3_Cyras] [bot] 0x20 resync; aborting path
[00:20:12.922] WARN  [mk3_Cyras] [0x21] move REJECTED seq=33; server says (1460,1611,20) facing=5
[00:20:12.936] WARN  [mk3_Cyras] [bot] 0x20 resync; aborting path
[00:20:16.107] WARN  [mk3_Cyras] [bot] no path to (1450,1617) avoiding 0 block(s); stopping (search 1924608.9us)
[00:20:16.107] WARN  [mk3_Cyras] [bot] start (1460,1611,20) exits: open=6 terrain=1 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 148 item(s), 10 mobile(s))
[00:20:19.468] WARN  [mk3_Cyras] [bot] no path to (1450,1617) avoiding 0 block(s); stopping (search 2036777.4us)
[00:20:19.468] WARN  [mk3_Cyras] [bot] start (1460,1611,20) exits: open=6 terrain=1 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 148 item(s), 10 mobile(s))
[00:20:25.957] WARN  [mk3_Cyras] [bot] no path to (1450,1617) avoiding 0 block(s); stopping (search 2176517.9us)
[00:20:25.957] WARN  [mk3_Cyras] [bot] start (1460,1611,20) exits: open=6 terrain=1 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 148 item(s), 11 mobile(s))
[00:20:29.511] WARN  [mk3_Cyras] [bot] no path to (1450,1617) avoiding 0 block(s); stopping (search 2325543.2us)
[00:20:29.511] WARN  [mk3_Cyras] [bot] start (1460,1611,20) exits: open=6 terrain=1 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 148 item(s), 11 mobile(s))
[00:20:37.533] WARN  [mk3_Cyras] [bot] no path to (1450,1617) avoiding 0 block(s); stopping (search 2256033.0us)
[00:20:37.533] WARN  [mk3_Cyras] [bot] start (1460,1611,20) exits: open=6 terrain=1 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 148 item(s), 12 mobile(s))
[00:20:41.587] WARN  [mk3_Cyras] [bot] no path to (1450,1617) avoiding 0 block(s); stopping (search 2762160.4us)
[00:20:41.587] WARN  [mk3_Cyras] [bot] start (1460,1611,20) exits: open=5 terrain=1 mobile=1 dynamic=0 door=1 blacklist=0 (overlay saw 148 item(s), 12 mobile(s))
[00:20:41.649] WARN  [mk3_Cyras] [travel] route exhausted at (1460,1611,20); trying to reach (1448,1608,20) to get somewhere routable (escape 1/3)
[00:20:44.247] WARN  [mk3_Cyras] [bot] no path to (1448,1608) avoiding 0 block(s); stopping (search 2574090.2us)
[00:20:44.247] WARN  [mk3_Cyras] [bot] start (1460,1611,20) exits: open=6 terrain=1 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 148 item(s), 12 mobile(s))
[00:20:44.308] WARN  [mk3_Cyras] [travel] route exhausted at (1460,1611,20); trying to reach (1464,1624,20) to get somewhere routable (escape 2/3)
[00:20:50.584] WARN  [mk3_Cyras] [bot] no path to (1450,1617) avoiding 0 block(s); stopping (search 2319646.8us)
[00:20:50.584] WARN  [mk3_Cyras] [bot] start (1464,1624,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 148 item(s), 11 mobile(s))
[00:21:00.417] WARN  [mk3_Cyras] [0x21] move REJECTED seq=21; server says (1456,1614,20) facing=6
[00:21:03.168] WARN  [mk3_Cyras] [bot] no path to (1450,1617) avoiding 0 block(s); stopping (search 2731444.8us)
[00:21:03.168] WARN  [mk3_Cyras] [bot] start (1456,1614,20) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 154 item(s), 12 mobile(s))
[00:21:08.759] WARN  [mk3_Cyras] [bot] no path to (1450,1617) avoiding 0 block(s); stopping (search 2745149.3us)
[00:21:08.759] WARN  [mk3_Cyras] [bot] start (1456,1614,20) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 154 item(s), 11 mobile(s))
[00:21:12.679] WARN  [mk3_Cyras] [bot] no path to (1450,1617) avoiding 0 block(s); stopping (search 2615886.4us)
[00:21:12.679] WARN  [mk3_Cyras] [bot] start (1456,1614,20) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 154 item(s), 12 mobile(s))
[00:21:19.802] WARN  [mk3_Cyras] [bot] no path to (1450,1617) avoiding 0 block(s); stopping (search 2759874.1us)
[00:21:19.802] WARN  [mk3_Cyras] [bot] start (1456,1614,20) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 154 item(s), 12 mobile(s))
[00:21:24.030] WARN  [mk3_Cyras] [bot] no path to (1450,1617) avoiding 0 block(s); stopping (search 2897650.0us)
[00:21:24.030] WARN  [mk3_Cyras] [bot] start (1456,1614,20) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 154 item(s), 12 mobile(s))
[00:21:32.511] WARN  [mk3_Cyras] [bot] no path to (1450,1617) avoiding 0 block(s); stopping (search 2603836.5us)
[00:21:32.511] WARN  [mk3_Cyras] [bot] start (1456,1614,20) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 154 item(s), 13 mobile(s))
[00:21:36.119] WARN  [mk3_Cyras] [bot] no path to (1450,1617) avoiding 0 block(s); stopping (search 2301390.2us)
[00:21:36.119] WARN  [mk3_Cyras] [bot] start (1456,1614,20) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 154 item(s), 13 mobile(s))
[00:21:41.517] WARN  [mk3_Cyras] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 2133247.6us)
[00:21:41.517] WARN  [mk3_Cyras] [bot] start (1456,1614,20) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 154 item(s), 12 mobile(s))
[00:21:45.397] WARN  [mk3_Cyras] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 2611345.2us)
[00:21:45.397] WARN  [mk3_Cyras] [bot] start (1456,1614,20) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 154 item(s), 12 mobile(s))
[00:21:50.795] WARN  [mk3_Cyras] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 2552029.1us)
[00:21:50.795] WARN  [mk3_Cyras] [bot] start (1456,1614,20) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 154 item(s), 12 mobile(s))
[00:21:54.561] WARN  [mk3_Cyras] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 2440634.0us)
[00:21:54.561] WARN  [mk3_Cyras] [bot] start (1456,1614,20) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 154 item(s), 12 mobile(s))
[00:22:00.717] WARN  [mk3_Cyras] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 1851777.2us)
[00:22:00.717] WARN  [mk3_Cyras] [bot] start (1456,1614,20) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 154 item(s), 12 mobile(s))
[00:22:04.082] WARN  [mk3_Cyras] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 2085787.3us)
[00:22:04.082] WARN  [mk3_Cyras] [bot] start (1456,1614,20) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 154 item(s), 10 mobile(s))
[00:22:12.218] WARN  [mk3_Cyras] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 2374985.2us)
[00:22:12.218] WARN  [mk3_Cyras] [bot] start (1456,1614,20) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 154 item(s), 7 mobile(s))
[00:22:15.905] WARN  [mk3_Cyras] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 2413130.9us)
[00:22:15.905] WARN  [mk3_Cyras] [bot] start (1456,1614,20) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 154 item(s), 7 mobile(s))
[00:22:15.967] WARN  [mk3_Cyras] [travel] route exhausted at (1456,1614,20); trying to reach (1448,1608,20) to get somewhere routable (escape 1/3)
[00:22:30.884] WARN  [mk3_Cyras] [0x21] move REJECTED seq=31; server says (1460,1612,20) facing=3
[00:22:30.900] WARN  [mk3_Cyras] [bot] 0x20 resync; aborting path
