start: Draver is a miner_smith and lives in Minoc -> starting city index 1
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[00:20:16.551] WARN  [mk3_Draver] [bot] 0x20 resync; aborting path
[00:20:22.570] WARN  [mk3_Draver] [bot] no path to (2578,599) avoiding 0 block(s); stopping (search 2853317.4us)
[00:20:22.570] WARN  [mk3_Draver] [bot] start (2580,603,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 488 item(s), 6 mobile(s))
[00:20:37.563] WARN  [mk3_Draver] [0x21] move REJECTED seq=47; server says (2552,598,0) facing=7
[00:20:38.273] WARN  [mk3_Draver] [0x21] move REJECTED seq=0; server says (2552,598,0) facing=7
[00:20:38.334] WARN  [mk3_Draver] [bot] no path to (2552,598) avoiding 1 block(s); stopping (search 0.4us)
[00:20:38.334] WARN  [mk3_Draver] [bot] start (2552,598,0) exits: open=6 terrain=1 mobile=0 dynamic=0 door=0 blacklist=1 (overlay saw 488 item(s), 3 mobile(s))
[00:21:05.817] WARN  [mk3_Draver] [bot] no path to (2471,564) avoiding 0 block(s); stopping (search 3322616.4us)
[00:21:05.817] WARN  [mk3_Draver] [bot] start (2488,584,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 526 item(s), 5 mobile(s))
[00:21:10.462] WARN  [mk3_Draver] [bot] no path to (2471,564) avoiding 0 block(s); stopping (search 3300122.4us)
[00:21:10.462] WARN  [mk3_Draver] [bot] start (2488,584,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 526 item(s), 5 mobile(s))
[00:21:16.719] WARN  [mk3_Draver] [bot] no path to (2471,564) avoiding 0 block(s); stopping (search 3396639.5us)
[00:21:16.719] WARN  [mk3_Draver] [bot] start (2488,584,0) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 526 item(s), 6 mobile(s))
[00:21:21.215] WARN  [mk3_Draver] [bot] no path to (2471,564) avoiding 0 block(s); stopping (search 3171766.0us)
[00:21:21.215] WARN  [mk3_Draver] [bot] start (2488,584,0) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 526 item(s), 6 mobile(s))
[00:21:28.700] WARN  [mk3_Draver] [bot] no path to (2471,564) avoiding 0 block(s); stopping (search 3124133.1us)
[00:21:28.700] WARN  [mk3_Draver] [bot] start (2488,584,0) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 526 item(s), 7 mobile(s))
[00:21:33.213] WARN  [mk3_Draver] [bot] no path to (2471,564) avoiding 0 block(s); stopping (search 3171583.5us)
[00:21:33.213] WARN  [mk3_Draver] [bot] start (2488,584,0) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 526 item(s), 7 mobile(s))
