start: Falen is a full_crafter and lives in Minoc -> starting city index 1
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[00:20:31.286] WARN  [mk3_Falen] [bot] 0x20 resync; aborting path
[00:21:33.906] WARN  [mk3_Falen] [bot] 0x20 resync; aborting path
[00:21:39.948] WARN  [mk3_Falen] [bot] no path to (2579,596) avoiding 0 block(s); stopping (search 2839562.9us)
[00:21:39.948] WARN  [mk3_Falen] [bot] start (2573,603,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 502 item(s), 7 mobile(s))
[00:21:44.411] WARN  [mk3_Falen] [bot] no path to (2579,596) avoiding 0 block(s); stopping (search 3151136.2us)
[00:21:44.411] WARN  [mk3_Falen] [bot] start (2573,603,0) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 502 item(s), 6 mobile(s))
[00:21:50.136] WARN  [mk3_Falen] [bot] no path to (2579,596) avoiding 0 block(s); stopping (search 2868373.9us)
[00:21:50.136] WARN  [mk3_Falen] [bot] start (2573,603,0) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 502 item(s), 6 mobile(s))
[00:21:54.131] WARN  [mk3_Falen] [bot] no path to (2579,596) avoiding 0 block(s); stopping (search 2693586.4us)
[00:21:54.131] WARN  [mk3_Falen] [bot] start (2573,603,0) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 502 item(s), 6 mobile(s))
[00:22:51.057] WARN  [mk3_Falen] [bot] no path to (2468,565) avoiding 0 block(s); stopping (search 2184280.5us)
[00:22:51.057] WARN  [mk3_Falen] [bot] start (2486,570,5) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 551 item(s), 7 mobile(s))
