start: Ghalor is a full_crafter and lives in Minoc -> starting city index 1
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[00:20:28.192] WARN  [mk3_Ghalor] [bot] 0x20 resync; aborting path
[00:20:33.400] WARN  [mk3_Ghalor] [bot] no path to (2472,567) avoiding 0 block(s); stopping (search 2634051.9us)
[00:20:33.400] WARN  [mk3_Ghalor] [bot] start (2475,569,5) exits: open=3 terrain=3 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 412 item(s), 5 mobile(s))
[00:20:43.207] WARN  [mk3_Ghalor] [bot] no path to (2473,569) avoiding 0 block(s); stopping (search 2984790.2us)
[00:20:43.207] WARN  [mk3_Ghalor] [bot] start (2472,567,5) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 412 item(s), 5 mobile(s))
[00:20:49.096] WARN  [mk3_Ghalor] [bot] no path to (2473,569) avoiding 0 block(s); stopping (search 3027806.2us)
[00:20:49.096] WARN  [mk3_Ghalor] [bot] start (2472,567,5) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 412 item(s), 5 mobile(s))
[00:20:55.823] WARN  [mk3_Ghalor] [bot] no path to (2473,569) avoiding 0 block(s); stopping (search 2343521.3us)
[00:20:55.823] WARN  [mk3_Ghalor] [bot] start (2472,567,5) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 412 item(s), 5 mobile(s))
[00:21:04.838] WARN  [mk3_Ghalor] [bot] no path to (2473,569) avoiding 0 block(s); stopping (search 3147500.9us)
[00:21:04.838] WARN  [mk3_Ghalor] [bot] start (2472,567,5) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 412 item(s), 4 mobile(s))
[00:22:09.722] WARN  [mk3_Ghalor] [bot] 0x20 resync; aborting path
[00:22:15.519] WARN  [mk3_Ghalor] [bot] no path to (2578,597) avoiding 0 block(s); stopping (search 2689952.2us)
[00:22:15.520] WARN  [mk3_Ghalor] [bot] start (2573,603,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 505 item(s), 6 mobile(s))
[00:22:19.263] WARN  [mk3_Ghalor] [bot] no path to (2578,597) avoiding 0 block(s); stopping (search 2482425.0us)
[00:22:19.264] WARN  [mk3_Ghalor] [bot] start (2573,603,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 505 item(s), 5 mobile(s))
[00:22:39.563] WARN  [mk3_Ghalor] [0x21] move REJECTED seq=7; server says (2549,587,0) facing=5
