start: Halain is a lumberjack_swordsman and lives in Britain -> starting city index 2
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[00:19:30.663] WARN  [mk3_Halain] [bot] 0x20 resync; aborting path
[00:19:35.372] WARN  [mk3_Halain] [bot] no path to (1470,1614) avoiding 0 block(s); stopping (search 1585509.3us)
[00:19:35.373] WARN  [mk3_Halain] [bot] start (1476,1611,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 108 item(s), 7 mobile(s))
[00:19:38.454] WARN  [mk3_Halain] [bot] no path to (1470,1614) avoiding 0 block(s); stopping (search 1777250.4us)
[00:19:38.454] WARN  [mk3_Halain] [bot] start (1476,1611,20) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 108 item(s), 7 mobile(s))
[00:19:43.127] WARN  [mk3_Halain] [bot] no path to (1470,1614) avoiding 0 block(s); stopping (search 1816916.6us)
[00:19:43.127] WARN  [mk3_Halain] [bot] start (1476,1611,20) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 108 item(s), 9 mobile(s))
[00:19:55.037] WARN  [mk3_Halain] [0x21] move REJECTED seq=25; server says (1480,1611,20) facing=0
[00:20:05.621] WARN  [mk3_Halain] [bot] 0x20 resync; aborting path
[00:20:10.550] WARN  [mk3_Halain] [bot] no path to (1449,1616) avoiding 0 block(s); stopping (search 1814392.0us)
[00:20:10.550] WARN  [mk3_Halain] [bot] start (1454,1614,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 160 item(s), 6 mobile(s))
[00:20:13.872] WARN  [mk3_Halain] [bot] no path to (1449,1616) avoiding 0 block(s); stopping (search 1996920.2us)
[00:20:13.873] WARN  [mk3_Halain] [bot] start (1454,1614,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 160 item(s), 7 mobile(s))
[00:20:18.833] WARN  [mk3_Halain] [bot] no path to (1449,1616) avoiding 0 block(s); stopping (search 2091966.0us)
[00:20:18.833] WARN  [mk3_Halain] [bot] start (1454,1614,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 160 item(s), 7 mobile(s))
[00:20:22.649] WARN  [mk3_Halain] [bot] no path to (1449,1616) avoiding 0 block(s); stopping (search 2459575.6us)
[00:20:22.649] WARN  [mk3_Halain] [bot] start (1454,1614,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 160 item(s), 6 mobile(s))
[00:20:29.266] WARN  [mk3_Halain] [bot] no path to (1449,1616) avoiding 0 block(s); stopping (search 2265068.8us)
[00:20:29.266] WARN  [mk3_Halain] [bot] start (1454,1614,20) exits: open=6 terrain=1 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 160 item(s), 8 mobile(s))
[00:20:33.172] WARN  [mk3_Halain] [bot] no path to (1449,1616) avoiding 0 block(s); stopping (search 2556980.4us)
[00:20:33.172] WARN  [mk3_Halain] [bot] start (1454,1614,20) exits: open=6 terrain=1 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 160 item(s), 8 mobile(s))
[00:20:38.981] WARN  [mk3_Halain] [bot] no path to (1449,1616) avoiding 0 block(s); stopping (search 940.4us)
[00:20:38.981] WARN  [mk3_Halain] [bot] start (1454,1614,20) exits: open=5 terrain=1 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 160 item(s), 8 mobile(s))
[00:20:43.072] WARN  [mk3_Halain] [bot] no path to (1449,1616) avoiding 0 block(s); stopping (search 2769239.7us)
[00:20:43.072] WARN  [mk3_Halain] [bot] start (1454,1614,20) exits: open=5 terrain=1 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 160 item(s), 8 mobile(s))
[00:20:43.119] WARN  [mk3_Halain] [travel] route exhausted at (1454,1614,20); trying to reach (1448,1624,20) to get somewhere routable (escape 1/3)
[00:20:43.164] WARN  [mk3_Halain] [bot] no path to (1448,1624) avoiding 0 block(s); stopping (search 552.0us)
[00:20:43.164] WARN  [mk3_Halain] [bot] start (1454,1614,20) exits: open=4 terrain=1 mobile=3 dynamic=0 door=0 blacklist=0 (overlay saw 160 item(s), 8 mobile(s))
[00:20:43.224] WARN  [mk3_Halain] [travel] route exhausted at (1454,1614,20); trying to reach (1464,1608,20) to get somewhere routable (escape 2/3)
[00:20:43.287] WARN  [mk3_Halain] [bot] no path to (1464,1608) avoiding 0 block(s); stopping (search 357.9us)
[00:20:43.287] WARN  [mk3_Halain] [bot] start (1454,1614,20) exits: open=4 terrain=1 mobile=3 dynamic=0 door=0 blacklist=0 (overlay saw 160 item(s), 8 mobile(s))
[00:20:43.347] WARN  [mk3_Halain] [travel] route exhausted at (1454,1614,20); trying to reach (1464,1624,20) to get somewhere routable (escape 3/3)
[00:20:43.407] WARN  [mk3_Halain] [bot] no path to (1464,1624) avoiding 0 block(s); stopping (search 561.6us)
[00:20:43.407] WARN  [mk3_Halain] [bot] start (1454,1614,20) exits: open=4 terrain=1 mobile=3 dynamic=0 door=0 blacklist=0 (overlay saw 160 item(s), 8 mobile(s))
[00:20:43.591] WARN  [mk3_Halain] [bot] no path to (1449,1616) avoiding 0 block(s); stopping (search 405.3us)
[00:20:43.591] WARN  [mk3_Halain] [bot] start (1454,1614,20) exits: open=4 terrain=1 mobile=3 dynamic=0 door=0 blacklist=0 (overlay saw 160 item(s), 8 mobile(s))
[00:20:56.328] WARN  [mk3_Halain] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[00:20:57.644] WARN  [mk3_Halain] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[00:20:58.928] WARN  [mk3_Halain] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[00:21:01.831] WARN  [mk3_Halain] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[00:21:03.168] WARN  [mk3_Halain] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[00:21:04.501] WARN  [mk3_Halain] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[00:21:08.805] WARN  [mk3_Halain] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[00:21:10.111] WARN  [mk3_Halain] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[00:21:11.372] WARN  [mk3_Halain] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[00:21:17.138] WARN  [mk3_Halain] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[00:21:18.485] WARN  [mk3_Halain] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[00:21:19.863] WARN  [mk3_Halain] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[00:21:19.924] WARN  [mk3_Halain] [travel] route exhausted at (1449,1616,20); trying to reach (1448,1608,20) to get somewhere routable (escape 1/3)
[00:21:19.987] WARN  [mk3_Halain] [bot] no path to (1448,1608) avoiding 0 block(s); stopping (search 616.7us)
[00:21:19.987] WARN  [mk3_Halain] [bot] start (1449,1616,20) exits: open=5 terrain=0 mobile=1 dynamic=2 door=0 blacklist=0 (overlay saw 168 item(s), 11 mobile(s))
[00:21:20.048] WARN  [mk3_Halain] [travel] route exhausted at (1449,1616,20); trying to reach (1464,1608,20) to get somewhere routable (escape 2/3)
[00:21:20.110] WARN  [mk3_Halain] [bot] no path to (1464,1608) avoiding 0 block(s); stopping (search 487.1us)
