start: Illyria is a mage and lives in Nujel'm -> starting city index 2
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[00:20:26.155] WARN  [mk3_Illyria] [bot] 0x20 resync; aborting path
[00:20:31.947] WARN  [mk3_Illyria] [bot] no path to (1472,1614) avoiding 0 block(s); stopping (search 2677281.1us)
[00:20:31.947] WARN  [mk3_Illyria] [bot] start (1476,1612,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 108 item(s), 7 mobile(s))
[00:20:35.712] WARN  [mk3_Illyria] [bot] no path to (1472,1614) avoiding 0 block(s); stopping (search 2522749.4us)
[00:20:35.712] WARN  [mk3_Illyria] [bot] start (1476,1612,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 108 item(s), 7 mobile(s))
[00:20:39.284] WARN  [mk3_Illyria] [bot] no path to (1473,1611) avoiding 0 block(s); stopping (search 2082801.3us)
[00:20:39.284] WARN  [mk3_Illyria] [bot] start (1476,1612,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 108 item(s), 7 mobile(s))
[00:21:02.046] WARN  [mk3_Illyria] [bot] 0x20 resync; aborting path
[00:21:07.147] WARN  [mk3_Illyria] [bot] no path to (1486,1549) avoiding 0 block(s); stopping (search 2532269.8us)
[00:21:07.147] WARN  [mk3_Illyria] [bot] start (1489,1555,30) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 253 item(s), 4 mobile(s))
[00:21:08.525] WARN  [mk3_Illyria] [bot] goal (1486,1549) is not walkable; skipping A* and stopping
[00:21:11.308] WARN  [mk3_Illyria] [bot] goal (1486,1549) is not walkable; skipping A* and stopping
[00:21:12.647] WARN  [mk3_Illyria] [bot] goal (1486,1549) is not walkable; skipping A* and stopping
[00:21:13.923] WARN  [mk3_Illyria] [bot] goal (1486,1549) is not walkable; skipping A* and stopping
[00:21:22.983] WARN  [mk3_Illyria] [bot] no path to (1489,1548) avoiding 0 block(s); stopping (search 2901042.2us)
[00:21:22.983] WARN  [mk3_Illyria] [bot] start (1486,1549,35) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 268 item(s), 4 mobile(s))
