start: Ithion is a fisher and lives in Skara Brae -> starting city index 7
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[00:20:01.703] WARN  [mk3_Ithion] [bot] no path to (617,2221) avoiding 0 block(s); stopping (search 494006.7us)
[00:20:01.704] WARN  [mk3_Ithion] [bot] start (618,2234,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 63 item(s), 10 mobile(s))
[00:20:05.928] WARN  [mk3_Ithion] [bot] no path to (618,2218) avoiding 0 block(s); stopping (search 593923.7us)
[00:20:05.928] WARN  [mk3_Ithion] [bot] start (624,2225,0) exits: open=7 terrain=0 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 99 item(s), 10 mobile(s))
[00:20:09.559] WARN  [mk3_Ithion] [bot] 0x20 resync; aborting path
[00:20:13.472] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 711801.0us)
[00:20:13.472] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 103 item(s), 8 mobile(s))
[00:20:15.470] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 699648.9us)
[00:20:15.470] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 103 item(s), 8 mobile(s))
[00:20:17.581] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 757962.0us)
[00:20:17.581] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 103 item(s), 8 mobile(s))
[00:20:21.327] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 849868.1us)
[00:20:21.327] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=6 terrain=1 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 103 item(s), 9 mobile(s))
[00:20:23.326] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 687269.6us)
[00:20:23.326] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 103 item(s), 9 mobile(s))
[00:20:25.435] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 812549.6us)
[00:20:25.435] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=5 terrain=1 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 103 item(s), 9 mobile(s))
[00:20:30.780] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 986065.4us)
[00:20:30.780] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 103 item(s), 9 mobile(s))
[00:20:33.003] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 889103.8us)
[00:20:33.003] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 103 item(s), 10 mobile(s))
[00:20:35.271] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 941723.7us)
[00:20:35.271] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 103 item(s), 10 mobile(s))
[00:20:42.107] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 1019537.4us)
[00:20:42.107] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 103 item(s), 10 mobile(s))
[00:20:44.292] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 862235.3us)
[00:20:44.292] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 103 item(s), 10 mobile(s))
[00:20:46.674] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 1102152.6us)
[00:20:46.674] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=6 terrain=1 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 103 item(s), 10 mobile(s))
[00:20:47.841] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 1089053.4us)
[00:20:47.841] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 103 item(s), 10 mobile(s))
[00:20:49.896] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 749029.5us)
