start: Lyra is a scribe and lives in Moonglow -> starting city index 3
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[00:20:19.819] WARN  [mk3_Lyra] [bot] 0x20 resync; aborting path
[00:20:24.857] WARN  [mk3_Lyra] [bot] no path to (4391,1081) avoiding 0 block(s); stopping (search 1897339.8us)
[00:20:24.857] WARN  [mk3_Lyra] [bot] start (4397,1088,0) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 165 item(s), 10 mobile(s))
[00:20:30.597] WARN  [mk3_Lyra] [bot] no path to (4390,1084) avoiding 0 block(s); stopping (search 2395218.2us)
[00:20:30.597] WARN  [mk3_Lyra] [bot] start (4395,1085,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 168 item(s), 10 mobile(s))
[00:20:35.591] WARN  [mk3_Lyra] [ACTION_RESULT] move_item server_failure (15ms) item 0x4000C629 landed in 0x4000C91D, not the destination 0x4000C63D
[00:20:44.644] WARN  [mk3_Lyra] [ACTION_RESULT] move_item timeout (no server confirmation)
[00:20:44.644] WARN  [mk3_Lyra] [ITEM] drag of 0x4000C627 abandoned after timeout
[00:20:47.242] WARN  [mk3_Lyra] [ACTION_RESULT] move_item server_failure (31ms) item 0x4000C5F5 landed in 0x4000C91D, not the destination 0x4000C63D
[00:20:52.454] WARN  [mk3_Lyra] [bot] no path to (4392,1110) avoiding 0 block(s); stopping (search 1420.6us)
[00:20:52.454] WARN  [mk3_Lyra] [bot] start (4390,1084,0) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 176 item(s), 12 mobile(s))
[00:20:53.819] WARN  [mk3_Lyra] [bot] no path to (4392,1110) avoiding 0 block(s); stopping (search 1564.7us)
[00:20:53.819] WARN  [mk3_Lyra] [bot] start (4390,1084,0) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 176 item(s), 12 mobile(s))
[00:20:55.163] WARN  [mk3_Lyra] [bot] no path to (4392,1110) avoiding 0 block(s); stopping (search 1542.4us)
[00:20:55.163] WARN  [mk3_Lyra] [bot] start (4390,1084,0) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 176 item(s), 12 mobile(s))
[00:20:58.066] WARN  [mk3_Lyra] [bot] no path to (4424,1112) avoiding 0 block(s); stopping (search 1781.6us)
[00:20:58.066] WARN  [mk3_Lyra] [bot] start (4390,1084,0) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 176 item(s), 12 mobile(s))
[00:20:59.448] WARN  [mk3_Lyra] [bot] no path to (4424,1112) avoiding 0 block(s); stopping (search 1583.6us)
[00:20:59.448] WARN  [mk3_Lyra] [bot] start (4390,1084,0) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 176 item(s), 12 mobile(s))
[00:21:00.832] WARN  [mk3_Lyra] [bot] no path to (4424,1112) avoiding 0 block(s); stopping (search 1584.3us)
[00:21:00.832] WARN  [mk3_Lyra] [bot] start (4390,1084,0) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 176 item(s), 12 mobile(s))
[00:21:05.252] WARN  [mk3_Lyra] [bot] no path to (4376,1112) avoiding 0 block(s); stopping (search 1567.3us)
[00:21:05.252] WARN  [mk3_Lyra] [bot] start (4390,1084,0) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 176 item(s), 12 mobile(s))
[00:21:06.628] WARN  [mk3_Lyra] [bot] no path to (4376,1112) avoiding 0 block(s); stopping (search 1610.7us)
[00:21:06.628] WARN  [mk3_Lyra] [bot] start (4390,1084,0) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 176 item(s), 12 mobile(s))
[00:21:07.975] WARN  [mk3_Lyra] [bot] no path to (4376,1112) avoiding 0 block(s); stopping (search 1606.9us)
[00:21:07.975] WARN  [mk3_Lyra] [bot] start (4390,1084,0) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 176 item(s), 12 mobile(s))
[00:21:13.878] WARN  [mk3_Lyra] [bot] no path to (4424,1096) avoiding 0 block(s); stopping (search 1655.7us)
[00:21:13.878] WARN  [mk3_Lyra] [bot] start (4390,1084,0) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 176 item(s), 12 mobile(s))
[00:21:15.247] WARN  [mk3_Lyra] [bot] no path to (4424,1096) avoiding 0 block(s); stopping (search 1645.4us)
[00:21:15.247] WARN  [mk3_Lyra] [bot] start (4390,1084,0) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 176 item(s), 12 mobile(s))
[00:21:16.581] WARN  [mk3_Lyra] [bot] no path to (4424,1096) avoiding 0 block(s); stopping (search 1669.4us)
