start: Odessa is a merchant_tinker and lives in Britain -> starting city index 2
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[00:20:14.393] WARN  [mk3_Odessa] [bot] 0x20 resync; aborting path
[00:20:19.497] WARN  [mk3_Odessa] [bot] no path to (1471,1613) avoiding 0 block(s); stopping (search 1974156.2us)
[00:20:19.497] WARN  [mk3_Odessa] [bot] start (1475,1612,20) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 109 item(s), 7 mobile(s))
[00:20:37.870] WARN  [mk3_Odessa] [bot] 0x20 resync; aborting path
[00:20:43.589] WARN  [mk3_Odessa] [bot] no path to (1449,1616) avoiding 0 block(s); stopping (search 2704215.7us)
[00:20:43.589] WARN  [mk3_Odessa] [bot] start (1454,1613,20) exits: open=5 terrain=0 mobile=3 dynamic=0 door=0 blacklist=0 (overlay saw 164 item(s), 8 mobile(s))
[00:20:47.856] WARN  [mk3_Odessa] [bot] no path to (1449,1616) avoiding 0 block(s); stopping (search 2942512.2us)
[00:20:47.856] WARN  [mk3_Odessa] [bot] start (1454,1613,20) exits: open=4 terrain=0 mobile=4 dynamic=0 door=0 blacklist=0 (overlay saw 164 item(s), 8 mobile(s))
[00:20:53.051] WARN  [mk3_Odessa] [bot] no path to (1449,1616) avoiding 0 block(s); stopping (search 2289598.9us)
[00:20:53.051] WARN  [mk3_Odessa] [bot] start (1454,1613,20) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 164 item(s), 11 mobile(s))
[00:20:56.678] WARN  [mk3_Odessa] [bot] no path to (1449,1616) avoiding 0 block(s); stopping (search 2344519.4us)
[00:20:56.678] WARN  [mk3_Odessa] [bot] start (1454,1613,20) exits: open=5 terrain=0 mobile=3 dynamic=0 door=0 blacklist=0 (overlay saw 164 item(s), 10 mobile(s))
[00:21:03.993] WARN  [mk3_Odessa] [bot] no path to (1449,1616) avoiding 0 block(s); stopping (search 3018591.0us)
[00:21:03.993] WARN  [mk3_Odessa] [bot] start (1454,1613,20) exits: open=5 terrain=0 mobile=3 dynamic=0 door=0 blacklist=0 (overlay saw 164 item(s), 11 mobile(s))
[00:21:07.899] WARN  [mk3_Odessa] [bot] no path to (1449,1616) avoiding 0 block(s); stopping (search 2590936.9us)
[00:21:07.899] WARN  [mk3_Odessa] [bot] start (1454,1613,20) exits: open=5 terrain=0 mobile=3 dynamic=0 door=0 blacklist=0 (overlay saw 164 item(s), 10 mobile(s))
[00:21:16.952] WARN  [mk3_Odessa] [bot] no path to (1449,1616) avoiding 0 block(s); stopping (search 3185737.9us)
[00:21:16.952] WARN  [mk3_Odessa] [bot] start (1454,1613,20) exits: open=5 terrain=0 mobile=3 dynamic=0 door=0 blacklist=0 (overlay saw 164 item(s), 11 mobile(s))
[00:21:20.600] WARN  [mk3_Odessa] [ACTION_RESULT] vendor_buy rejected (0ms) You can't reach the Vendor
[00:21:21.090] WARN  [mk3_Odessa] [bot] no path to (1449,1616) avoiding 0 block(s); stopping (search 2840838.6us)
[00:21:21.090] WARN  [mk3_Odessa] [bot] start (1454,1613,20) exits: open=4 terrain=0 mobile=4 dynamic=0 door=0 blacklist=0 (overlay saw 164 item(s), 12 mobile(s))
[00:21:29.605] WARN  [mk3_Odessa] [ACTION_RESULT] vendor_buy rejected (0ms) You can't reach the Vendor
[00:21:38.608] WARN  [mk3_Odessa] [ACTION_RESULT] vendor_buy rejected (0ms) You can't reach the Vendor
[00:21:47.652] WARN  [mk3_Odessa] [ACTION_RESULT] vendor_buy rejected (17ms) You can't reach the Vendor
[00:21:56.672] WARN  [mk3_Odessa] [ACTION_RESULT] vendor_buy rejected (1ms) You can't reach the Vendor
[00:22:05.713] WARN  [mk3_Odessa] [ACTION_RESULT] vendor_buy rejected (0ms) You can't reach the Vendor
[00:22:14.718] WARN  [mk3_Odessa] [ACTION_RESULT] vendor_buy rejected (0ms) You can't reach the Vendor
[00:22:23.742] WARN  [mk3_Odessa] [ACTION_RESULT] vendor_buy rejected (15ms) You can't reach the Vendor
[00:22:32.758] WARN  [mk3_Odessa] [ACTION_RESULT] vendor_buy rejected (0ms) You can't reach the Vendor
[00:22:41.763] WARN  [mk3_Odessa] [ACTION_RESULT] vendor_buy rejected (1ms) You can't reach the Vendor
[00:22:50.780] WARN  [mk3_Odessa] [ACTION_RESULT] vendor_buy rejected (0ms) You can't reach the Vendor
[00:22:57.649] WARN  [mk3_Odessa] [0x21] move REJECTED seq=10; server says (1460,1612,20) facing=3
[00:22:57.664] WARN  [mk3_Odessa] [bot] 0x20 resync; aborting path
[00:22:59.232] WARN  [mk3_Odessa] [0x21] move REJECTED seq=1; server says (1460,1612,20) facing=3
[00:22:59.248] WARN  [mk3_Odessa] [bot] 0x20 resync; aborting path
[00:23:32.313] WARN  [mk3_Odessa] [0x21] move REJECTED seq=34; server says (1439,1693,0) facing=7
[00:23:32.328] WARN  [mk3_Odessa] [bot] 0x20 resync; aborting path
