start: Rhea is a tamer and lives in Britain -> starting city index 2
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[00:20:48.634] WARN  [mk3_Rhea] [ACTION_RESULT] use_item_on timeout (no server confirmation)
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[00:20:59.883] WARN  [mk3_Rhea] [bot] 0x20 resync; aborting path
[00:21:11.016] WARN  [mk3_Rhea] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[00:21:16.828] WARN  [mk3_Rhea] [0x21] move REJECTED seq=6; server says (1479,1612,20) facing=1
[00:21:16.843] WARN  [mk3_Rhea] [bot] 0x20 resync; aborting path
[00:21:30.390] WARN  [mk3_Rhea] [0x21] move REJECTED seq=37; server says (1456,1614,20) facing=6
[00:21:30.408] WARN  [mk3_Rhea] [bot] 0x20 resync; aborting path
[00:21:35.746] WARN  [mk3_Rhea] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 2189149.4us)
[00:21:35.746] WARN  [mk3_Rhea] [bot] start (1456,1614,20) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 154 item(s), 13 mobile(s))
[00:21:39.500] WARN  [mk3_Rhea] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 2391541.5us)
[00:21:39.500] WARN  [mk3_Rhea] [bot] start (1456,1614,20) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 154 item(s), 13 mobile(s))
[00:21:45.150] WARN  [mk3_Rhea] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 2809469.2us)
[00:21:45.150] WARN  [mk3_Rhea] [bot] start (1456,1614,20) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 154 item(s), 12 mobile(s))
[00:21:48.840] WARN  [mk3_Rhea] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 2357582.9us)
