start: Selene is a alchemist and lives in Magincia -> starting city index 5
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[00:20:04.926] WARN  [mk3_Selene] [bot] 0x20 resync; aborting path
[00:20:09.069] WARN  [mk3_Selene] [bot] no path to (3688,2224) avoiding 0 block(s); stopping (search 999790.0us)
[00:20:09.069] WARN  [mk3_Selene] [bot] start (3690,2232,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 7 item(s), 8 mobile(s))
[00:20:11.212] WARN  [mk3_Selene] [bot] no path to (3688,2224) avoiding 0 block(s); stopping (search 838531.5us)
[00:20:11.212] WARN  [mk3_Selene] [bot] start (3690,2232,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 7 item(s), 8 mobile(s))
[00:20:13.564] WARN  [mk3_Selene] [bot] no path to (3688,2224) avoiding 0 block(s); stopping (search 1013522.1us)
[00:20:13.564] WARN  [mk3_Selene] [bot] start (3690,2232,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 7 item(s), 8 mobile(s))
[00:20:17.428] WARN  [mk3_Selene] [bot] no path to (3688,2224) avoiding 0 block(s); stopping (search 994857.4us)
[00:20:17.428] WARN  [mk3_Selene] [bot] start (3690,2232,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 7 item(s), 8 mobile(s))
[00:20:19.741] WARN  [mk3_Selene] [bot] no path to (3688,2224) avoiding 0 block(s); stopping (search 1003878.3us)
[00:20:19.741] WARN  [mk3_Selene] [bot] start (3690,2232,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 7 item(s), 9 mobile(s))
[00:20:22.431] WARN  [mk3_Selene] [bot] no path to (3688,2224) avoiding 0 block(s); stopping (search 1340473.9us)
[00:20:22.431] WARN  [mk3_Selene] [bot] start (3690,2232,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 7 item(s), 9 mobile(s))
[00:20:27.974] WARN  [mk3_Selene] [bot] no path to (3691,2225) avoiding 0 block(s); stopping (search 1077900.2us)
[00:20:27.974] WARN  [mk3_Selene] [bot] start (3690,2232,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 7 item(s), 10 mobile(s))
[00:20:35.193] WARN  [mk3_Selene] [bot] no path to (3696,2220) avoiding 0 block(s); stopping (search 1298117.3us)
[00:20:35.193] WARN  [mk3_Selene] [bot] start (3691,2225,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 8 item(s), 9 mobile(s))
[00:20:37.593] WARN  [mk3_Selene] [bot] no path to (3696,2220) avoiding 0 block(s); stopping (search 1078704.8us)
[00:20:37.593] WARN  [mk3_Selene] [bot] start (3691,2225,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 8 item(s), 9 mobile(s))
[00:20:40.416] WARN  [mk3_Selene] [bot] no path to (3696,2220) avoiding 0 block(s); stopping (search 1500431.2us)
