start: Serena is a merchant_tinker and lives in Britain -> starting city index 2
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[00:20:16.474] WARN  [mk3_Serena] [bot] 0x20 resync; aborting path
[00:20:21.984] WARN  [mk3_Serena] [bot] no path to (1472,1614) avoiding 0 block(s); stopping (search 2370067.0us)
[00:20:21.984] WARN  [mk3_Serena] [bot] start (1476,1613,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 108 item(s), 8 mobile(s))
[00:20:25.450] WARN  [mk3_Serena] [bot] no path to (1472,1614) avoiding 0 block(s); stopping (search 2179294.8us)
[00:20:25.450] WARN  [mk3_Serena] [bot] start (1476,1613,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 108 item(s), 8 mobile(s))
[00:20:30.965] WARN  [mk3_Serena] [bot] no path to (1472,1614) avoiding 0 block(s); stopping (search 2689469.6us)
[00:20:30.965] WARN  [mk3_Serena] [bot] start (1476,1613,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 108 item(s), 7 mobile(s))
[00:20:34.719] WARN  [mk3_Serena] [bot] no path to (1472,1614) avoiding 0 block(s); stopping (search 2477346.7us)
[00:20:34.719] WARN  [mk3_Serena] [bot] start (1476,1613,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 108 item(s), 7 mobile(s))
[00:20:39.223] WARN  [mk3_Serena] [bot] no path to (1473,1611) avoiding 0 block(s); stopping (search 2085761.5us)
[00:20:39.223] WARN  [mk3_Serena] [bot] start (1476,1613,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 108 item(s), 7 mobile(s))
[00:20:54.079] WARN  [mk3_Serena] [bot] 0x20 resync; aborting path
[00:20:59.727] WARN  [mk3_Serena] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 2489360.3us)
[00:20:59.727] WARN  [mk3_Serena] [bot] start (1455,1614,20) exits: open=5 terrain=2 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 156 item(s), 10 mobile(s))
[00:21:03.993] WARN  [mk3_Serena] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 3013696.3us)
[00:21:03.993] WARN  [mk3_Serena] [bot] start (1455,1614,20) exits: open=4 terrain=2 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 156 item(s), 12 mobile(s))
[00:21:09.802] WARN  [mk3_Serena] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 2945761.1us)
[00:21:09.802] WARN  [mk3_Serena] [bot] start (1455,1614,20) exits: open=4 terrain=2 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 156 item(s), 11 mobile(s))
[00:21:13.446] WARN  [mk3_Serena] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 2320740.8us)
[00:21:13.446] WARN  [mk3_Serena] [bot] start (1455,1614,20) exits: open=4 terrain=2 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 156 item(s), 12 mobile(s))
[00:21:20.600] WARN  [mk3_Serena] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 2846051.0us)
[00:21:20.600] WARN  [mk3_Serena] [bot] start (1455,1614,20) exits: open=4 terrain=2 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 156 item(s), 12 mobile(s))
[00:21:24.782] WARN  [mk3_Serena] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 2859813.4us)
[00:21:24.782] WARN  [mk3_Serena] [bot] start (1455,1614,20) exits: open=4 terrain=2 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 156 item(s), 12 mobile(s))
[00:21:33.368] WARN  [mk3_Serena] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 2757437.6us)
[00:21:33.368] WARN  [mk3_Serena] [bot] start (1455,1614,20) exits: open=4 terrain=2 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 156 item(s), 13 mobile(s))
[00:21:37.069] WARN  [mk3_Serena] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 2358428.3us)
[00:21:37.069] WARN  [mk3_Serena] [bot] start (1455,1614,20) exits: open=4 terrain=2 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 156 item(s), 13 mobile(s))
[00:21:39.562] WARN  [mk3_Serena] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 2423210.6us)
[00:21:39.562] WARN  [mk3_Serena] [bot] start (1455,1614,20) exits: open=4 terrain=2 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 156 item(s), 13 mobile(s))
[00:21:43.489] WARN  [mk3_Serena] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 2593867.4us)
[00:21:43.489] WARN  [mk3_Serena] [bot] start (1455,1614,20) exits: open=4 terrain=2 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 156 item(s), 12 mobile(s))
[00:21:48.659] WARN  [mk3_Serena] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 2310806.7us)
[00:21:48.659] WARN  [mk3_Serena] [bot] start (1455,1614,20) exits: open=4 terrain=2 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 156 item(s), 12 mobile(s))
[00:21:52.352] WARN  [mk3_Serena] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 2397194.0us)
[00:21:52.352] WARN  [mk3_Serena] [bot] start (1455,1614,20) exits: open=4 terrain=2 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 156 item(s), 12 mobile(s))
[00:21:58.628] WARN  [mk3_Serena] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 1989800.8us)
[00:21:58.628] WARN  [mk3_Serena] [bot] start (1455,1614,20) exits: open=4 terrain=2 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 156 item(s), 13 mobile(s))
[00:22:01.978] WARN  [mk3_Serena] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 2041652.5us)
[00:22:01.978] WARN  [mk3_Serena] [bot] start (1455,1614,20) exits: open=4 terrain=2 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 156 item(s), 12 mobile(s))
[00:22:09.953] WARN  [mk3_Serena] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 2112053.3us)
[00:22:09.953] WARN  [mk3_Serena] [bot] start (1455,1614,20) exits: open=4 terrain=2 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 156 item(s), 8 mobile(s))
[00:22:13.420] WARN  [mk3_Serena] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 2110682.9us)
[00:22:13.420] WARN  [mk3_Serena] [bot] start (1455,1614,20) exits: open=4 terrain=2 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 156 item(s), 7 mobile(s))
[00:22:16.104] WARN  [mk3_Serena] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 2456201.8us)
[00:22:16.104] WARN  [mk3_Serena] [bot] start (1455,1614,20) exits: open=4 terrain=2 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 156 item(s), 7 mobile(s))
[00:22:19.509] WARN  [mk3_Serena] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 2087425.2us)
[00:22:19.509] WARN  [mk3_Serena] [bot] start (1455,1614,20) exits: open=4 terrain=2 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 156 item(s), 6 mobile(s))
[00:22:24.161] WARN  [mk3_Serena] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 1774999.5us)
[00:22:24.161] WARN  [mk3_Serena] [bot] start (1455,1614,20) exits: open=4 terrain=2 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 156 item(s), 6 mobile(s))
[00:22:27.493] WARN  [mk3_Serena] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 2039031.7us)
[00:22:27.493] WARN  [mk3_Serena] [bot] start (1455,1614,20) exits: open=4 terrain=2 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 156 item(s), 6 mobile(s))
[00:22:33.822] WARN  [mk3_Serena] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 2027691.4us)
[00:22:33.822] WARN  [mk3_Serena] [bot] start (1455,1614,20) exits: open=4 terrain=2 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 156 item(s), 7 mobile(s))
