start: Vorar is a lumberjack_swordsman and lives in Britain -> starting city index 2
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[00:19:27.824] WARN  [mk3_Vorar] [bot] 0x20 resync; aborting path
[00:19:32.153] WARN  [mk3_Vorar] [bot] no path to (1470,1614) avoiding 0 block(s); stopping (search 1290570.6us)
[00:19:32.153] WARN  [mk3_Vorar] [bot] start (1474,1612,20) exits: open=6 terrain=1 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 112 item(s), 6 mobile(s))
[00:19:35.063] WARN  [mk3_Vorar] [bot] no path to (1470,1614) avoiding 0 block(s); stopping (search 1611204.5us)
[00:19:35.063] WARN  [mk3_Vorar] [bot] start (1474,1612,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 112 item(s), 6 mobile(s))
[00:19:38.038] WARN  [mk3_Vorar] [bot] no path to (1470,1614) avoiding 0 block(s); stopping (search 1656565.3us)
[00:19:38.038] WARN  [mk3_Vorar] [bot] start (1474,1612,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 112 item(s), 6 mobile(s))
[00:19:42.808] WARN  [mk3_Vorar] [bot] no path to (1470,1614) avoiding 0 block(s); stopping (search 1929623.7us)
[00:19:42.808] WARN  [mk3_Vorar] [bot] start (1474,1612,20) exits: open=6 terrain=1 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 112 item(s), 6 mobile(s))
[00:19:47.594] WARN  [mk3_Vorar] [bot] no path to (1450,1617) avoiding 0 block(s); stopping (search 41.9us)
[00:19:47.594] WARN  [mk3_Vorar] [bot] start (1470,1614,20) exits: open=4 terrain=4 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 119 item(s), 9 mobile(s))
[00:19:54.547] WARN  [mk3_Vorar] [0x21] move REJECTED seq=25; server says (1478,1611,20) facing=3
[00:19:54.548] WARN  [mk3_Vorar] [bot] 0x20 resync; aborting path
[00:20:07.499] WARN  [mk3_Vorar] [bot] 0x20 resync; aborting path
[00:20:12.248] WARN  [mk3_Vorar] [bot] no path to (1449,1616) avoiding 0 block(s); stopping (search 1585713.4us)
[00:20:12.248] WARN  [mk3_Vorar] [bot] start (1454,1612,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 167 item(s), 6 mobile(s))
[00:20:15.502] WARN  [mk3_Vorar] [bot] no path to (1449,1616) avoiding 0 block(s); stopping (search 1973006.3us)
[00:20:15.502] WARN  [mk3_Vorar] [bot] start (1454,1612,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 167 item(s), 6 mobile(s))
[00:20:20.512] WARN  [mk3_Vorar] [bot] no path to (1449,1616) avoiding 0 block(s); stopping (search 2129392.4us)
[00:20:20.512] WARN  [mk3_Vorar] [bot] start (1454,1612,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 167 item(s), 6 mobile(s))
[00:20:23.996] WARN  [mk3_Vorar] [bot] no path to (1449,1616) avoiding 0 block(s); stopping (search 2188773.4us)
[00:20:23.996] WARN  [mk3_Vorar] [bot] start (1454,1612,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 167 item(s), 8 mobile(s))
[00:20:31.058] WARN  [mk3_Vorar] [bot] no path to (1449,1616) avoiding 0 block(s); stopping (search 2718252.7us)
[00:20:31.058] WARN  [mk3_Vorar] [bot] start (1454,1612,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 167 item(s), 7 mobile(s))
[00:20:34.966] WARN  [mk3_Vorar] [bot] no path to (1449,1616) avoiding 0 block(s); stopping (search 2545338.7us)
[00:20:34.966] WARN  [mk3_Vorar] [bot] start (1454,1612,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 167 item(s), 8 mobile(s))
[00:20:43.467] WARN  [mk3_Vorar] [bot] no path to (1449,1616) avoiding 0 block(s); stopping (search 2693651.7us)
[00:20:43.467] WARN  [mk3_Vorar] [bot] start (1454,1612,20) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 167 item(s), 8 mobile(s))
[00:20:47.657] WARN  [mk3_Vorar] [bot] no path to (1449,1616) avoiding 0 block(s); stopping (search 2870531.1us)
[00:20:47.657] WARN  [mk3_Vorar] [bot] start (1454,1612,20) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 167 item(s), 8 mobile(s))
[00:20:55.134] WARN  [mk3_Vorar] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[00:21:05.223] WARN  [mk3_Vorar] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[00:21:15.326] WARN  [mk3_Vorar] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[00:21:15.526] WARN  [mk3_Vorar] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[00:21:16.830] WARN  [mk3_Vorar] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[00:21:18.104] WARN  [mk3_Vorar] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[00:21:20.969] WARN  [mk3_Vorar] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[00:21:22.276] WARN  [mk3_Vorar] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[00:21:23.538] WARN  [mk3_Vorar] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[00:21:27.903] WARN  [mk3_Vorar] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[00:21:29.208] WARN  [mk3_Vorar] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[00:21:30.531] WARN  [mk3_Vorar] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[00:21:36.456] WARN  [mk3_Vorar] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[00:21:37.747] WARN  [mk3_Vorar] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[00:21:39.042] WARN  [mk3_Vorar] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[00:21:39.102] WARN  [mk3_Vorar] [travel] route exhausted at (1454,1612,20); trying to reach (1464,1608,20) to get somewhere routable (escape 1/3)
[00:21:41.766] WARN  [mk3_Vorar] [0x21] move REJECTED seq=9; server says (1460,1611,20) facing=1
[00:21:41.767] WARN  [mk3_Vorar] [bot] 0x20 resync; aborting path
[00:21:41.769] WARN  [mk3_Vorar] [travel] route exhausted at (1460,1611,20); trying to reach (1448,1608,20) to get somewhere routable (escape 2/3)
[00:21:44.721] WARN  [mk3_Vorar] [bot] no path to (1448,1608) avoiding 0 block(s); stopping (search 2904273.9us)
[00:21:44.721] WARN  [mk3_Vorar] [bot] start (1460,1611,20) exits: open=6 terrain=1 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 169 item(s), 13 mobile(s))
[00:21:44.782] WARN  [mk3_Vorar] [travel] route exhausted at (1460,1611,20); trying to reach (1464,1624,20) to get somewhere routable (escape 3/3)
