start: Vorar is a lumberjack_swordsman and lives in Britain -> starting city index 2
map: verdata 'C:\Projects\RevolutionOffline\local\revolution-client/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\local\revolution-client/verdata.mul' applied (685 patch block(s))
[17:29:38.087] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:29:39.380] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:29:40.702] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:29:43.523] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:29:44.812] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:29:46.124] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:29:50.431] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:29:51.742] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:29:53.034] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:29:58.877] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:30:00.175] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:30:01.449] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:30:01.509] WARN  [wave10_RevGen3_05_Vorar] [travel] route exhausted at (1592,1750,30); trying to reach (1592,1736,17) to get somewhere routable (escape 1/3)
[17:30:06.918] WARN  [wave10_RevGen3_05_Vorar] [travel] route exhausted at (1592,1736,17); trying to reach (1592,1750,30) to get somewhere routable (escape 2/3)
[17:30:15.822] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:30:17.119] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:30:18.388] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:30:21.207] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:30:22.497] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:30:23.766] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:30:28.085] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:30:29.380] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:30:30.668] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:30:36.489] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:30:37.780] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:30:39.070] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:30:39.131] WARN  [wave10_RevGen3_05_Vorar] [travel] route exhausted at (1592,1750,30); trying to reach (1576,1736,15) to get somewhere routable (escape 3/3)
