start: Halain is a lumberjack_swordsman and lives in Britain -> starting city index 2
map: verdata 'C:\Projects\RevolutionOffline\local\revolution-client/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\local\revolution-client/verdata.mul' applied (685 patch block(s))
[17:30:16.391] WARN  [wave10_RevGen3_06_Halai] [bot] 0x20 resync; aborting path
[17:30:47.973] WARN  [wave10_RevGen3_06_Halai] [bot] 0x20 resync; aborting path
[17:30:50.385] WARN  [wave10_RevGen3_06_Halai] [bot] no path to (1416,1558) avoiding 0 block(s); stopping (search 1165210.7us)
[17:30:50.385] WARN  [wave10_RevGen3_06_Halai] [bot] start (1405,1525,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 112 item(s), 0 mobile(s))
[17:30:53.127] WARN  [wave10_RevGen3_06_Halai] [bot] no path to (1416,1558) avoiding 0 block(s); stopping (search 1398086.7us)
[17:30:53.127] WARN  [wave10_RevGen3_06_Halai] [bot] start (1405,1525,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 112 item(s), 0 mobile(s))
[17:30:55.240] WARN  [wave10_RevGen3_06_Halai] [bot] 0x20 resync; aborting path
[17:31:24.280] WARN  [wave10_RevGen3_06_Halai] [0x21] move REJECTED seq=119; server says (1417,1593,30) facing=7
[17:31:26.373] WARN  [wave10_RevGen3_06_Halai] [bot] no path to (1416,1592) avoiding 0 block(s); stopping (search 2087114.2us)
[17:31:26.373] WARN  [wave10_RevGen3_06_Halai] [bot] start (1417,1593,30) exits: open=5 terrain=0 mobile=0 dynamic=3 door=0 blacklist=0 (overlay saw 283 item(s), 5 mobile(s))
[17:31:54.316] WARN  [wave10_RevGen3_06_Halai] [bot] 0x20 resync; aborting path
[17:32:50.892] WARN  [wave10_RevGen3_06_Halai] [bot] no path to (1425,1687) avoiding 0 block(s); stopping (search 2143869.6us)
[17:32:50.892] WARN  [wave10_RevGen3_06_Halai] [bot] start (1422,1685,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 388 item(s), 15 mobile(s))
[17:32:56.040] WARN  [wave10_RevGen3_06_Halai] [bot] no path to (1425,1687) avoiding 0 block(s); stopping (search 2245029.2us)
[17:32:56.040] WARN  [wave10_RevGen3_06_Halai] [bot] start (1422,1685,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 388 item(s), 13 mobile(s))
[17:33:14.758] WARN  [wave10_RevGen3_06_Halai] [bot] no path to (1424,1687) avoiding 0 block(s); stopping (search 1939921.3us)
[17:33:14.758] WARN  [wave10_RevGen3_06_Halai] [bot] start (1426,1688,0) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 422 item(s), 11 mobile(s))
[17:33:19.455] WARN  [wave10_RevGen3_06_Halai] [bot] no path to (1424,1687) avoiding 0 block(s); stopping (search 1805625.5us)
[17:33:19.456] WARN  [wave10_RevGen3_06_Halai] [bot] start (1426,1688,0) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 422 item(s), 11 mobile(s))
[17:33:26.050] WARN  [wave10_RevGen3_06_Halai] [bot] no path to (1424,1687) avoiding 0 block(s); stopping (search 2318438.4us)
[17:33:26.051] WARN  [wave10_RevGen3_06_Halai] [bot] start (1426,1688,0) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 422 item(s), 11 mobile(s))
[17:33:33.924] WARN  [wave10_RevGen3_06_Halai] [bot] no path to (1424,1687) avoiding 0 block(s); stopping (search 2057347.3us)
[17:33:33.924] WARN  [wave10_RevGen3_06_Halai] [bot] start (1426,1688,0) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 422 item(s), 9 mobile(s))
[17:33:36.183] WARN  [wave10_RevGen3_06_Halai] [bot] no path to (1424,1687) avoiding 0 block(s); stopping (search 2067575.0us)
[17:33:36.183] WARN  [wave10_RevGen3_06_Halai] [bot] start (1426,1688,0) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 422 item(s), 6 mobile(s))
[17:33:40.383] WARN  [wave10_RevGen3_06_Halai] [bot] no path to (1424,1687) avoiding 0 block(s); stopping (search 1334538.5us)
[17:33:40.383] WARN  [wave10_RevGen3_06_Halai] [bot] start (1426,1688,0) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 422 item(s), 7 mobile(s))
[17:34:09.826] WARN  [wave10_RevGen3_06_Halai] [bot] watchdog: oldest move unacked 5s; aborting path
[17:34:09.906] WARN  [wave10_RevGen3_06_Halai] [0x22] unsolicited ack seq=12
[17:34:18.458] WARN  [wave10_RevGen3_06_Halai] [bot] no path to (1416,1592) avoiding 0 block(s); stopping (search 2051993.9us)
[17:34:18.458] WARN  [wave10_RevGen3_06_Halai] [bot] start (1416,1624,22) exits: open=7 terrain=0 mobile=0 dynamic=1 door=0 blacklist=0 (overlay saw 423 item(s), 2 mobile(s))
[17:34:22.410] WARN  [wave10_RevGen3_06_Halai] [bot] no path to (1416,1592) avoiding 0 block(s); stopping (search 2629043.2us)
[17:34:22.410] WARN  [wave10_RevGen3_06_Halai] [bot] start (1416,1624,22) exits: open=7 terrain=0 mobile=0 dynamic=1 door=0 blacklist=0 (overlay saw 423 item(s), 2 mobile(s))
[17:34:55.722] WARN  [wave10_RevGen3_06_Halai] [bot] goal (1408,1536) is not walkable; skipping A* and stopping
[17:34:56.988] WARN  [wave10_RevGen3_06_Halai] [bot] goal (1408,1536) is not walkable; skipping A* and stopping
[17:34:58.263] WARN  [wave10_RevGen3_06_Halai] [bot] goal (1408,1536) is not walkable; skipping A* and stopping
[17:35:02.591] WARN  [wave10_RevGen3_06_Halai] [bot] goal (1408,1536) is not walkable; skipping A* and stopping
[17:35:03.906] WARN  [wave10_RevGen3_06_Halai] [bot] goal (1408,1536) is not walkable; skipping A* and stopping
[17:35:05.212] WARN  [wave10_RevGen3_06_Halai] [bot] goal (1408,1536) is not walkable; skipping A* and stopping
[17:35:11.043] WARN  [wave10_RevGen3_06_Halai] [bot] goal (1408,1536) is not walkable; skipping A* and stopping
[17:35:12.336] WARN  [wave10_RevGen3_06_Halai] [bot] goal (1408,1536) is not walkable; skipping A* and stopping
[17:35:13.645] WARN  [wave10_RevGen3_06_Halai] [bot] goal (1408,1536) is not walkable; skipping A* and stopping
[17:35:13.707] WARN  [wave10_RevGen3_06_Halai] [travel] route exhausted at (1432,1560,30); trying to reach (1416,1544,30) to get somewhere routable (escape 1/3)
[17:35:15.067] WARN  [wave10_RevGen3_06_Halai] [bot] no path to (1416,1544) avoiding 0 block(s); stopping (search 1354860.9us)
[17:35:15.067] WARN  [wave10_RevGen3_06_Halai] [bot] start (1432,1560,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 486 item(s), 5 mobile(s))
[17:35:15.068] WARN  [wave10_RevGen3_06_Halai] [travel] route exhausted at (1432,1560,30); trying to reach (1432,1544,30) to get somewhere routable (escape 2/3)
[17:35:19.016] WARN  [wave10_RevGen3_06_Halai] [bot] goal (1408,1536) is not walkable; skipping A* and stopping
[17:35:20.283] WARN  [wave10_RevGen3_06_Halai] [bot] goal (1408,1536) is not walkable; skipping A* and stopping
[17:35:21.571] WARN  [wave10_RevGen3_06_Halai] [bot] goal (1408,1536) is not walkable; skipping A* and stopping
[17:35:24.363] WARN  [wave10_RevGen3_06_Halai] [bot] goal (1408,1536) is not walkable; skipping A* and stopping
[17:35:25.631] WARN  [wave10_RevGen3_06_Halai] [bot] goal (1408,1536) is not walkable; skipping A* and stopping
[17:35:26.951] WARN  [wave10_RevGen3_06_Halai] [bot] goal (1408,1536) is not walkable; skipping A* and stopping
[17:35:31.319] WARN  [wave10_RevGen3_06_Halai] [bot] goal (1408,1536) is not walkable; skipping A* and stopping
[17:35:32.621] WARN  [wave10_RevGen3_06_Halai] [bot] goal (1408,1536) is not walkable; skipping A* and stopping
[17:35:33.909] WARN  [wave10_RevGen3_06_Halai] [bot] goal (1408,1536) is not walkable; skipping A* and stopping
