start: Cyras is a lumberjack_swordsman and lives in Britain -> starting city index 2
map: verdata 'C:\Projects\RevolutionOffline\local\revolution-client/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\local\revolution-client/verdata.mul' applied (685 patch block(s))
[17:29:44.992] WARN  [wave10_RevGen3_08_Cyras] [0x21] move REJECTED seq=30; server says (639,2189,0) facing=3
[17:29:45.736] WARN  [wave10_RevGen3_08_Cyras] [0x21] move REJECTED seq=0; server says (639,2189,0) facing=3
[17:29:51.897] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:29:53.173] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:29:54.436] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:29:57.246] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:29:58.510] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:29:59.755] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:30:04.120] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:30:05.396] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:30:06.679] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:30:12.530] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:30:13.798] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:30:15.064] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:30:15.065] WARN  [wave10_RevGen3_08_Cyras] [travel] route exhausted at (632,2200,0); trying to reach (616,2184,0) to get somewhere routable (escape 1/3)
[17:30:23.919] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:30:25.167] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:30:26.432] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:30:29.272] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:30:30.516] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:30:31.812] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:30:36.118] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:30:37.426] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:30:38.718] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:30:44.503] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:30:45.776] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:30:47.083] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:30:47.144] WARN  [wave10_RevGen3_08_Cyras] [travel] route exhausted at (616,2184,0); trying to reach (600,2168,0) to get somewhere routable (escape 2/3)
[17:30:55.457] WARN  [wave10_RevGen3_08_Cyras] [travel] route exhausted at (600,2168,0); trying to reach (584,2152,0) to get somewhere routable (escape 3/3)
[17:31:27.645] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:31:28.934] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:31:30.232] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:31:33.057] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:31:34.337] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:31:35.539] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:31:39.764] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:31:41.060] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:31:42.339] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:31:48.171] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:31:49.439] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:31:50.732] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:31:50.791] WARN  [wave10_RevGen3_08_Cyras] [travel] route exhausted at (616,2184,0); trying to reach (600,2168,0) to get somewhere routable (escape 1/3)
[17:31:58.767] WARN  [wave10_RevGen3_08_Cyras] [travel] route exhausted at (600,2168,0); trying to reach (584,2152,0) to get somewhere routable (escape 2/3)
[17:32:08.210] WARN  [wave10_RevGen3_08_Cyras] [travel] route exhausted at (584,2152,0); trying to reach (568,2136,0) to get somewhere routable (escape 3/3)
[17:32:51.016] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:32:52.299] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:32:53.578] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:32:56.427] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:32:57.739] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:32:59.049] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:33:03.368] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:33:04.659] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:33:05.958] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:33:11.771] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:33:13.067] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:33:14.328] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:33:14.388] WARN  [wave10_RevGen3_08_Cyras] [travel] route exhausted at (616,2200,0); trying to reach (600,2184,0) to get somewhere routable (escape 1/3)
[17:33:28.940] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:33:30.206] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:33:31.494] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:33:34.372] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:33:35.659] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:33:36.968] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:33:41.305] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:33:42.615] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:33:43.906] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:33:49.697] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:33:50.992] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:33:52.251] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:33:52.253] WARN  [wave10_RevGen3_08_Cyras] [travel] route exhausted at (600,2184,0); trying to reach (600,2200,0) to get somewhere routable (escape 2/3)
[17:33:53.159] WARN  [wave10_RevGen3_08_Cyras] [bot] no path to (600,2200) avoiding 0 block(s); stopping (search 852557.3us)
[17:33:53.159] WARN  [wave10_RevGen3_08_Cyras] [bot] start (600,2184,0) exits: open=2 terrain=6 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 440 item(s), 12 mobile(s))
[17:33:53.175] WARN  [wave10_RevGen3_08_Cyras] [travel] route exhausted at (600,2184,0); trying to reach (600,2168,0) to get somewhere routable (escape 3/3)
[17:34:09.764] WARN  [wave10_RevGen3_08_Cyras] [bot] watchdog: oldest move unacked 5s; aborting path
[17:34:09.906] WARN  [wave10_RevGen3_08_Cyras] [0x22] unsolicited ack seq=49
[17:34:22.176] WARN  [wave10_RevGen3_08_Cyras] [bot] no path to (625,2166) avoiding 0 block(s); stopping (search 1065515.3us)
[17:34:22.176] WARN  [wave10_RevGen3_08_Cyras] [bot] start (616,2175,0) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 440 item(s), 9 mobile(s))
[17:34:24.249] WARN  [wave10_RevGen3_08_Cyras] [bot] no path to (625,2166) avoiding 0 block(s); stopping (search 770741.9us)
[17:34:24.249] WARN  [wave10_RevGen3_08_Cyras] [bot] start (616,2175,0) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 440 item(s), 8 mobile(s))
[17:34:26.302] WARN  [wave10_RevGen3_08_Cyras] [bot] no path to (625,2166) avoiding 0 block(s); stopping (search 813222.2us)
[17:34:26.302] WARN  [wave10_RevGen3_08_Cyras] [bot] start (616,2175,0) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 440 item(s), 9 mobile(s))
[17:34:29.905] WARN  [wave10_RevGen3_08_Cyras] [bot] no path to (625,2166) avoiding 0 block(s); stopping (search 796692.7us)
[17:34:29.905] WARN  [wave10_RevGen3_08_Cyras] [bot] start (616,2175,0) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 440 item(s), 9 mobile(s))
[17:34:31.770] WARN  [wave10_RevGen3_08_Cyras] [bot] no path to (625,2166) avoiding 0 block(s); stopping (search 566380.6us)
[17:34:31.770] WARN  [wave10_RevGen3_08_Cyras] [bot] start (616,2175,0) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 440 item(s), 9 mobile(s))
[17:34:34.085] WARN  [wave10_RevGen3_08_Cyras] [bot] no path to (625,2166) avoiding 0 block(s); stopping (search 943521.0us)
