start: Aelia is a tailor and lives in Britain -> starting city index 2
map: verdata 'C:\Projects\RevolutionOffline\local\revolution-client/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\local\revolution-client/verdata.mul' applied (685 patch block(s))
[17:29:45.068] WARN  [wave10_RevGen3_12_Aelia] [0x21] move REJECTED seq=26; server says (1463,1652,10) facing=1
[17:29:45.816] WARN  [wave10_RevGen3_12_Aelia] [0x21] move REJECTED seq=0; server says (1463,1652,10) facing=1
[17:30:05.320] WARN  [wave10_RevGen3_12_Aelia] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 1425113.1us)
[17:30:05.320] WARN  [wave10_RevGen3_12_Aelia] [bot] start (1474,1612,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 214 item(s), 4 mobile(s))
[17:30:07.993] WARN  [wave10_RevGen3_12_Aelia] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 1342957.2us)
[17:30:07.994] WARN  [wave10_RevGen3_12_Aelia] [bot] start (1474,1612,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 214 item(s), 4 mobile(s))
[17:30:10.540] WARN  [wave10_RevGen3_12_Aelia] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 1230013.6us)
[17:30:10.540] WARN  [wave10_RevGen3_12_Aelia] [bot] start (1474,1612,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 214 item(s), 5 mobile(s))
[17:30:14.725] WARN  [wave10_RevGen3_12_Aelia] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 1342340.8us)
[17:30:14.726] WARN  [wave10_RevGen3_12_Aelia] [bot] start (1474,1612,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 214 item(s), 4 mobile(s))
[17:30:17.475] WARN  [wave10_RevGen3_12_Aelia] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 1405083.1us)
[17:30:17.475] WARN  [wave10_RevGen3_12_Aelia] [bot] start (1474,1612,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 214 item(s), 4 mobile(s))
[17:30:20.099] WARN  [wave10_RevGen3_12_Aelia] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 1265809.2us)
[17:30:20.100] WARN  [wave10_RevGen3_12_Aelia] [bot] start (1474,1612,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 214 item(s), 5 mobile(s))
[17:30:25.626] WARN  [wave10_RevGen3_12_Aelia] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 1274935.6us)
[17:30:25.626] WARN  [wave10_RevGen3_12_Aelia] [bot] start (1474,1612,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 214 item(s), 5 mobile(s))
[17:30:28.344] WARN  [wave10_RevGen3_12_Aelia] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 1408153.6us)
[17:30:28.344] WARN  [wave10_RevGen3_12_Aelia] [bot] start (1474,1612,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 214 item(s), 5 mobile(s))
[17:30:30.868] WARN  [wave10_RevGen3_12_Aelia] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 1215315.6us)
[17:30:30.868] WARN  [wave10_RevGen3_12_Aelia] [bot] start (1474,1612,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 214 item(s), 5 mobile(s))
[17:30:37.842] WARN  [wave10_RevGen3_12_Aelia] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 1158532.8us)
[17:30:37.842] WARN  [wave10_RevGen3_12_Aelia] [bot] start (1474,1612,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 214 item(s), 3 mobile(s))
[17:30:40.533] WARN  [wave10_RevGen3_12_Aelia] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 1353137.8us)
[17:30:40.534] WARN  [wave10_RevGen3_12_Aelia] [bot] start (1474,1612,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 214 item(s), 3 mobile(s))
[17:30:43.023] WARN  [wave10_RevGen3_12_Aelia] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 1164815.7us)
[17:30:43.023] WARN  [wave10_RevGen3_12_Aelia] [bot] start (1474,1612,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 214 item(s), 3 mobile(s))
[17:30:43.085] WARN  [wave10_RevGen3_12_Aelia] [travel] route exhausted at (1474,1612,20); trying to reach (1464,1608,20) to get somewhere routable (escape 1/3)
[17:30:52.789] WARN  [wave10_RevGen3_12_Aelia] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 1409208.4us)
[17:30:52.790] WARN  [wave10_RevGen3_12_Aelia] [bot] start (1464,1608,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 248 item(s), 5 mobile(s))
[17:30:55.379] WARN  [wave10_RevGen3_12_Aelia] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 1283326.1us)
[17:30:55.380] WARN  [wave10_RevGen3_12_Aelia] [bot] start (1464,1608,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 248 item(s), 5 mobile(s))
[17:30:57.978] WARN  [wave10_RevGen3_12_Aelia] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 1302559.7us)
[17:30:57.979] WARN  [wave10_RevGen3_12_Aelia] [bot] start (1464,1608,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 248 item(s), 5 mobile(s))
[17:31:02.408] WARN  [wave10_RevGen3_12_Aelia] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 1624332.7us)
[17:31:02.408] WARN  [wave10_RevGen3_12_Aelia] [bot] start (1464,1608,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 248 item(s), 5 mobile(s))
[17:31:05.440] WARN  [wave10_RevGen3_12_Aelia] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 1676359.1us)
[17:31:05.441] WARN  [wave10_RevGen3_12_Aelia] [bot] start (1464,1608,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 248 item(s), 5 mobile(s))
[17:31:11.855] WARN  [wave10_RevGen3_12_Aelia] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 2053358.1us)
[17:31:11.856] WARN  [wave10_RevGen3_12_Aelia] [bot] start (1464,1608,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 248 item(s), 5 mobile(s))
[17:31:16.976] WARN  [wave10_RevGen3_12_Aelia] [bot] no path to (1471,1610) avoiding 0 block(s); stopping (search 1873143.3us)
[17:31:16.976] WARN  [wave10_RevGen3_12_Aelia] [bot] start (1464,1608,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 248 item(s), 5 mobile(s))
[17:31:21.551] WARN  [wave10_RevGen3_12_Aelia] [bot] no path to (1472,1613) avoiding 0 block(s); stopping (search 1854254.2us)
[17:31:21.551] WARN  [wave10_RevGen3_12_Aelia] [bot] start (1466,1606,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 248 item(s), 5 mobile(s))
[17:31:25.018] WARN  [wave10_RevGen3_12_Aelia] [bot] no path to (1472,1613) avoiding 0 block(s); stopping (search 2188599.2us)
[17:31:25.018] WARN  [wave10_RevGen3_12_Aelia] [bot] start (1466,1606,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 248 item(s), 5 mobile(s))
[17:32:43.859] WARN  [wave10_RevGen3_12_Aelia] [0x21] move REJECTED seq=13; server says (1439,1693,0) facing=3
[17:32:43.861] WARN  [wave10_RevGen3_12_Aelia] [bot] 0x20 resync; aborting path
[17:33:38.708] WARN  [wave10_RevGen3_12_Aelia] [0x21] move REJECTED seq=6; server says (1480,1612,20) facing=3
[17:33:38.721] WARN  [wave10_RevGen3_12_Aelia] [bot] 0x20 resync; aborting path
[17:34:09.764] WARN  [wave10_RevGen3_12_Aelia] [bot] watchdog: oldest move unacked 5s; aborting path
[17:34:09.906] WARN  [wave10_RevGen3_12_Aelia] [0x22] unsolicited ack seq=40
[17:35:24.886] WARN  [wave10_RevGen3_12_Aelia] [bot] no path to (1470,1614) avoiding 0 block(s); stopping (search 1542626.4us)
[17:35:24.886] WARN  [wave10_RevGen3_12_Aelia] [bot] start (1475,1612,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 521 item(s), 6 mobile(s))
[17:35:27.816] WARN  [wave10_RevGen3_12_Aelia] [bot] no path to (1470,1614) avoiding 0 block(s); stopping (search 1602904.6us)
[17:35:27.816] WARN  [wave10_RevGen3_12_Aelia] [bot] start (1475,1612,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 521 item(s), 6 mobile(s))
[17:35:30.921] WARN  [wave10_RevGen3_12_Aelia] [bot] no path to (1470,1614) avoiding 0 block(s); stopping (search 1767606.4us)
[17:35:30.924] WARN  [wave10_RevGen3_12_Aelia] [bot] start (1475,1612,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 521 item(s), 7 mobile(s))
[17:35:35.371] WARN  [wave10_RevGen3_12_Aelia] [bot] no path to (1470,1614) avoiding 0 block(s); stopping (search 1614136.8us)
[17:35:35.371] WARN  [wave10_RevGen3_12_Aelia] [bot] start (1475,1612,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 521 item(s), 7 mobile(s))
