start: Serena is a merchant_tinker and lives in Britain -> starting city index 2
map: verdata 'C:\Projects\RevolutionOffline\local\revolution-client/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\local\revolution-client/verdata.mul' applied (685 patch block(s))
[17:32:59.109] WARN  [wave10_RevGen3_21_Seren] [0x21] move REJECTED seq=12; server says (1438,1692,0) facing=3
[17:32:59.125] WARN  [wave10_RevGen3_21_Seren] [bot] 0x20 resync; aborting path
[17:33:00.909] WARN  [wave10_RevGen3_21_Seren] [0x21] move REJECTED seq=2; server says (1439,1693,0) facing=3
[17:33:00.925] WARN  [wave10_RevGen3_21_Seren] [bot] 0x20 resync; aborting path
[17:33:07.560] WARN  [wave10_RevGen3_21_Seren] [0x21] move REJECTED seq=24; server says (1458,1693,0) facing=1
[17:33:08.297] WARN  [wave10_RevGen3_21_Seren] [0x21] move REJECTED seq=0; server says (1458,1693,0) facing=1
[17:33:31.056] WARN  [wave10_RevGen3_21_Seren] [0x21] move REJECTED seq=21; server says (1488,1677,8) facing=1
[17:33:31.798] WARN  [wave10_RevGen3_21_Seren] [0x21] move REJECTED seq=0; server says (1488,1677,8) facing=1
[17:34:09.636] WARN  [wave10_RevGen3_21_Seren] [bot] watchdog: oldest move unacked 5s; aborting path
[17:34:09.907] WARN  [wave10_RevGen3_21_Seren] [0x22] unsolicited ack seq=10
[17:34:15.371] WARN  [wave10_RevGen3_21_Seren] [travel] route exhausted at (1495,1621,20); trying to reach (1498,1608,20) to get somewhere routable (escape 1/3)
[17:34:19.873] WARN  [wave10_RevGen3_21_Seren] [travel] route exhausted at (1498,1608,20); trying to reach (1512,1608,10) to get somewhere routable (escape 2/3)
[17:34:22.531] WARN  [wave10_RevGen3_21_Seren] [bot] no path to (1512,1608) avoiding 0 block(s); stopping (search 2601402.4us)
[17:34:22.532] WARN  [wave10_RevGen3_21_Seren] [bot] start (1498,1608,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 527 item(s), 1 mobile(s))
[17:34:22.594] WARN  [wave10_RevGen3_21_Seren] [travel] route exhausted at (1498,1608,20); trying to reach (1496,1624,20) to get somewhere routable (escape 3/3)
