start: Illyria is a mage and lives in Nujel'm -> starting city index 2
map: verdata 'C:\Projects\RevolutionOffline\local\revolution-client/verdata.mul' applied (685 patch block(s))
[17:29:56.969] WARN  [wave10_RevGen3_24_Illyr] [ACTION_RESULT] cast_spell timeout (no server confirmation)
[17:30:09.033] WARN  [wave10_RevGen3_24_Illyr] [ACTION_RESULT] cast_spell timeout (no server confirmation)
[17:30:21.113] WARN  [wave10_RevGen3_24_Illyr] [ACTION_RESULT] cast_spell timeout (no server confirmation)
[17:30:33.214] WARN  [wave10_RevGen3_24_Illyr] [ACTION_RESULT] cast_spell timeout (no server confirmation)
[17:30:45.328] WARN  [wave10_RevGen3_24_Illyr] [ACTION_RESULT] cast_spell timeout (no server confirmation)
[17:30:57.668] WARN  [wave10_RevGen3_24_Illyr] [ACTION_RESULT] cast_spell timeout (no server confirmation)
[17:31:09.747] WARN  [wave10_RevGen3_24_Illyr] [ACTION_RESULT] cast_spell timeout (no server confirmation)
[17:31:21.856] WARN  [wave10_RevGen3_24_Illyr] [ACTION_RESULT] cast_spell timeout (no server confirmation)
[17:31:33.980] WARN  [wave10_RevGen3_24_Illyr] [ACTION_RESULT] cast_spell timeout (no server confirmation)
[17:31:46.066] WARN  [wave10_RevGen3_24_Illyr] [ACTION_RESULT] cast_spell timeout (no server confirmation)
[17:31:58.167] WARN  [wave10_RevGen3_24_Illyr] [ACTION_RESULT] cast_spell timeout (no server confirmation)
[17:32:10.473] WARN  [wave10_RevGen3_24_Illyr] [ACTION_RESULT] cast_spell timeout (no server confirmation)
[17:32:22.595] WARN  [wave10_RevGen3_24_Illyr] [ACTION_RESULT] cast_spell timeout (no server confirmation)
[17:32:34.655] WARN  [wave10_RevGen3_24_Illyr] [ACTION_RESULT] cast_spell timeout (no server confirmation)
[17:32:46.764] WARN  [wave10_RevGen3_24_Illyr] [ACTION_RESULT] cast_spell timeout (no server confirmation)
[17:32:58.815] WARN  [wave10_RevGen3_24_Illyr] [ACTION_RESULT] cast_spell timeout (no server confirmation)
[17:33:10.889] WARN  [wave10_RevGen3_24_Illyr] [ACTION_RESULT] cast_spell timeout (no server confirmation)
map: verdata 'C:\Projects\RevolutionOffline\local\revolution-client/verdata.mul' applied (685 patch block(s))
[17:33:12.786] WARN  [wave10_RevGen3_24_Illyr] [bot] no path to (1475,1611) avoiding 0 block(s); stopping (search 1680094.3us)
[17:33:12.786] WARN  [wave10_RevGen3_24_Illyr] [bot] start (1471,1609,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 49 item(s), 5 mobile(s))
[17:33:15.512] WARN  [wave10_RevGen3_24_Illyr] [bot] no path to (1475,1611) avoiding 0 block(s); stopping (search 1448149.8us)
[17:33:15.513] WARN  [wave10_RevGen3_24_Illyr] [bot] start (1471,1609,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 49 item(s), 5 mobile(s))
[17:33:18.250] WARN  [wave10_RevGen3_24_Illyr] [bot] no path to (1475,1611) avoiding 0 block(s); stopping (search 1377890.3us)
[17:33:18.250] WARN  [wave10_RevGen3_24_Illyr] [bot] start (1471,1609,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 49 item(s), 5 mobile(s))
[17:33:22.692] WARN  [wave10_RevGen3_24_Illyr] [bot] no path to (1475,1611) avoiding 0 block(s); stopping (search 1578637.3us)
[17:33:22.692] WARN  [wave10_RevGen3_24_Illyr] [bot] start (1471,1609,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 49 item(s), 6 mobile(s))
[17:33:25.894] WARN  [wave10_RevGen3_24_Illyr] [bot] no path to (1475,1611) avoiding 0 block(s); stopping (search 1901678.9us)
[17:33:25.895] WARN  [wave10_RevGen3_24_Illyr] [bot] start (1471,1609,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 49 item(s), 5 mobile(s))
[17:33:31.953] WARN  [wave10_RevGen3_24_Illyr] [bot] no path to (1475,1611) avoiding 0 block(s); stopping (search 1749740.3us)
