start: Xerxes is a treasure_hunter and lives in Vesper -> starting city index 8
map: verdata 'C:\Projects\RevolutionOffline\local\revolution-client/verdata.mul' applied (685 patch block(s))
[17:29:42.106] WARN  [wave10_RevGen3_30_Xerxe] [ACTION_RESULT] use_object timeout (no server confirmation)
map: verdata 'C:\Projects\RevolutionOffline\local\revolution-client/verdata.mul' applied (685 patch block(s))
[17:30:32.489] WARN  [wave10_RevGen3_30_Xerxe] [bot] 0x20 resync; aborting path
[17:30:38.795] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:30:40.073] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:30:41.392] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:30:44.209] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:30:45.531] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:30:46.821] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:30:51.113] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:30:52.404] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:30:53.713] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:30:59.531] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:31:00.849] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:31:02.098] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:31:02.159] WARN  [wave10_RevGen3_30_Xerxe] [travel] route exhausted at (3662,2590,0); trying to reach (3656,2600,0) to get somewhere routable (escape 1/3)
[17:31:06.638] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:31:07.933] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:31:09.242] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:31:12.070] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:31:13.337] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:31:14.619] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:31:19.689] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:31:20.977] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:31:22.245] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:31:28.026] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:31:29.303] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:31:30.619] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:31:30.680] WARN  [wave10_RevGen3_30_Xerxe] [travel] route exhausted at (3656,2600,0); trying to reach (3640,2584,0) to get somewhere routable (escape 2/3)
[17:31:35.831] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:31:37.125] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:31:38.416] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:31:41.262] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:31:42.553] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:31:43.844] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:31:48.202] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:31:49.515] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:31:50.805] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:31:56.657] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:31:57.953] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:31:59.241] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:31:59.300] WARN  [wave10_RevGen3_30_Xerxe] [travel] route exhausted at (3640,2584,0); trying to reach (3640,2600,0) to get somewhere routable (escape 3/3)
[17:32:06.399] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:32:07.678] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:32:08.978] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:32:11.768] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:32:13.013] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:32:14.307] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:32:18.672] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:32:19.946] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:32:21.239] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:32:27.013] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:32:28.289] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:32:29.575] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3673,2614) is not walkable; skipping A* and stopping
[17:32:45.441] WARN  [wave10_RevGen3_30_Xerxe] [0x21] move REJECTED seq=4; server says (3638,2595,0) facing=3
[17:32:45.442] WARN  [wave10_RevGen3_30_Xerxe] [bot] 0x20 resync; aborting path
[17:34:09.573] WARN  [wave10_RevGen3_30_Xerxe] [bot] watchdog: oldest move unacked 5s; aborting path
[17:34:09.907] WARN  [wave10_RevGen3_30_Xerxe] [0x22] unsolicited ack seq=34
[17:34:25.174] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3695,2511) is not walkable; skipping A* and stopping
[17:34:26.455] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3695,2511) is not walkable; skipping A* and stopping
[17:34:27.757] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3695,2511) is not walkable; skipping A* and stopping
