map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[13:52:45.259] WARN  [m5b] [0x21] move REJECTED seq=12; server says (732,799,0) facing=1
[13:52:53.741] WARN  [m5b] [0x21] move REJECTED seq=33; server says (752,781,0) facing=1
[13:52:54.447] WARN  [m5b] [0x21] move REJECTED seq=0; server says (752,781,0) facing=1
[13:55:01.267] WARN  [m5b] [0x21] move REJECTED seq=42; server says (1410,1706,20) facing=1
[13:55:16.623] WARN  [m5b] [0x21] move REJECTED seq=34; server says (1432,1666,10) facing=1
[13:55:17.361] WARN  [m5b] [0x21] move REJECTED seq=0; server says (1432,1666,10) facing=1
[13:56:12.699] WARN  [m5b] [bot] 0x20 resync; aborting path
[13:56:23.230] WARN  [m5b] [ACTION_RESULT] npc_train timeout (no server confirmation)
[13:56:28.482] WARN  [m5b] [ACTION_RESULT] npc_train invalid_state (16ms) You already know as much as I can teach of EvaluatingIntel
[13:56:31.052] WARN  [m5b] [ACTION_RESULT] npc_train invalid_state (1ms) You already know as much as I can teach of EvaluatingIntel
[13:56:33.670] WARN  [m5b] [ACTION_RESULT] npc_train invalid_state (15ms) You already know as much as I can teach of EvaluatingIntel
[13:56:36.259] WARN  [m5b] [ACTION_RESULT] npc_train invalid_state (0ms) You already know as much as I can teach of EvaluatingIntel
[13:56:38.873] WARN  [m5b] [ACTION_RESULT] npc_train invalid_state (1ms) You already know as much as I can teach of EvaluatingIntel
[13:56:41.449] WARN  [m5b] [ACTION_RESULT] npc_train invalid_state (1ms) You already know as much as I can teach of EvaluatingIntel
[13:56:44.074] WARN  [m5b] [ACTION_RESULT] npc_train invalid_state (15ms) You already know as much as I can teach of EvaluatingIntel
[13:56:46.639] WARN  [m5b] [ACTION_RESULT] npc_train invalid_state (0ms) You already know as much as I can teach of EvaluatingIntel
[13:56:49.257] WARN  [m5b] [ACTION_RESULT] npc_train invalid_state (15ms) You already know as much as I can teach of EvaluatingIntel
[13:56:51.824] WARN  [m5b] [ACTION_RESULT] npc_train invalid_state (1ms) You already know as much as I can teach of EvaluatingIntel
[13:56:54.401] WARN  [m5b] [ACTION_RESULT] npc_train invalid_state (0ms) You already know as much as I can teach of EvaluatingIntel
[13:56:57.004] WARN  [m5b] [ACTION_RESULT] npc_train invalid_state (15ms) You already know as much as I can teach of EvaluatingIntel
[13:56:59.570] WARN  [m5b] [ACTION_RESULT] npc_train invalid_state (14ms) You already know as much as I can teach of EvaluatingIntel
