map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[14:16:12.743] WARN  [m5f] [0x21] move REJECTED seq=5; server says (634,856,0) facing=0
[14:16:14.766] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,856,0) facing=0
[14:16:16.799] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,856,0) facing=0
[14:16:18.851] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,856,0) facing=0
[14:16:21.330] WARN  [m5f] [0x21] move REJECTED seq=1; server says (634,855,0) facing=0
[14:16:23.365] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,855,0) facing=0
[14:16:25.388] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,855,0) facing=0
[14:16:27.406] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,855,0) facing=0
[14:16:29.887] WARN  [m5f] [0x21] move REJECTED seq=1; server says (634,854,0) facing=0
[14:16:31.924] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,854,0) facing=0
[14:16:33.949] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,854,0) facing=0
[14:16:35.982] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,854,0) facing=0
[14:16:37.997] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,854,0) facing=0
[14:16:40.483] WARN  [m5f] [0x21] move REJECTED seq=1; server says (634,853,0) facing=0
[14:16:42.503] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,853,0) facing=0
[14:16:44.532] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,853,0) facing=0
[14:16:46.564] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,853,0) facing=0
[14:16:48.601] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,853,0) facing=0
[14:16:51.103] WARN  [m5f] [0x21] move REJECTED seq=1; server says (634,852,0) facing=0
[14:16:53.121] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,852,0) facing=0
[14:16:55.161] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,852,0) facing=0
[14:16:57.183] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,852,0) facing=0
[14:16:59.219] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,852,0) facing=0
[14:17:01.695] WARN  [m5f] [0x21] move REJECTED seq=1; server says (634,851,0) facing=0
[14:17:03.726] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,851,0) facing=0
