map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[14:59:07.613] WARN  [m5l] [bot] goal (660,855) is not walkable; skipping A* and stopping
[14:59:08.955] WARN  [m5l] [bot] goal (660,855) is not walkable; skipping A* and stopping
[14:59:10.316] WARN  [m5l] [bot] goal (660,855) is not walkable; skipping A* and stopping
[14:59:13.195] WARN  [m5l] [bot] goal (660,855) is not walkable; skipping A* and stopping
[14:59:14.465] WARN  [m5l] [bot] goal (660,855) is not walkable; skipping A* and stopping
[14:59:15.810] WARN  [m5l] [bot] goal (660,855) is not walkable; skipping A* and stopping
[14:59:20.196] WARN  [m5l] [bot] goal (660,855) is not walkable; skipping A* and stopping
[14:59:21.550] WARN  [m5l] [bot] goal (660,855) is not walkable; skipping A* and stopping
[14:59:22.896] WARN  [m5l] [bot] goal (660,855) is not walkable; skipping A* and stopping
[14:59:28.727] WARN  [m5l] [bot] goal (660,855) is not walkable; skipping A* and stopping
[14:59:30.073] WARN  [m5l] [bot] goal (660,855) is not walkable; skipping A* and stopping
[14:59:31.419] WARN  [m5l] [bot] goal (660,855) is not walkable; skipping A* and stopping
[14:59:31.481] WARN  [m5l] [travel] route exhausted at (680,840,0); trying to reach (680,856,0) to get somewhere routable (escape 1/3)
[14:59:37.082] WARN  [m5l] [bot] goal (660,855) is not walkable; skipping A* and stopping
[14:59:38.429] WARN  [m5l] [bot] goal (660,855) is not walkable; skipping A* and stopping
[14:59:39.777] WARN  [m5l] [bot] goal (660,855) is not walkable; skipping A* and stopping
[14:59:42.658] WARN  [m5l] [bot] goal (660,855) is not walkable; skipping A* and stopping
[14:59:44.011] WARN  [m5l] [bot] goal (660,855) is not walkable; skipping A* and stopping
[14:59:45.364] WARN  [m5l] [bot] goal (660,855) is not walkable; skipping A* and stopping
[14:59:49.717] WARN  [m5l] [bot] goal (660,855) is not walkable; skipping A* and stopping
[14:59:51.063] WARN  [m5l] [bot] goal (660,855) is not walkable; skipping A* and stopping
[14:59:52.410] WARN  [m5l] [bot] goal (660,855) is not walkable; skipping A* and stopping
[14:59:58.287] WARN  [m5l] [bot] goal (660,855) is not walkable; skipping A* and stopping
[14:59:59.634] WARN  [m5l] [bot] goal (660,855) is not walkable; skipping A* and stopping
[15:00:00.980] WARN  [m5l] [bot] goal (660,855) is not walkable; skipping A* and stopping
[15:00:01.041] WARN  [m5l] [travel] route exhausted at (680,856,0); trying to reach (664,840,0) to get somewhere routable (escape 2/3)
[15:00:08.514] WARN  [m5l] [bot] goal (660,855) is not walkable; skipping A* and stopping
[15:00:09.861] WARN  [m5l] [bot] goal (660,855) is not walkable; skipping A* and stopping
[15:00:11.210] WARN  [m5l] [bot] goal (660,855) is not walkable; skipping A* and stopping
[15:00:14.086] WARN  [m5l] [bot] goal (660,855) is not walkable; skipping A* and stopping
[15:00:15.430] WARN  [m5l] [bot] goal (660,855) is not walkable; skipping A* and stopping
[15:00:16.749] WARN  [m5l] [bot] goal (660,855) is not walkable; skipping A* and stopping
[15:00:21.041] WARN  [m5l] [bot] goal (660,855) is not walkable; skipping A* and stopping
[15:00:22.388] WARN  [m5l] [bot] goal (660,855) is not walkable; skipping A* and stopping
[15:00:23.741] WARN  [m5l] [bot] goal (660,855) is not walkable; skipping A* and stopping
[15:00:29.568] WARN  [m5l] [bot] goal (660,855) is not walkable; skipping A* and stopping
[15:00:30.912] WARN  [m5l] [bot] goal (660,855) is not walkable; skipping A* and stopping
[15:00:32.262] WARN  [m5l] [bot] goal (660,855) is not walkable; skipping A* and stopping
[15:00:32.324] WARN  [m5l] [travel] route exhausted at (664,840,0); trying to reach (664,856,0) to get somewhere routable (escape 3/3)
[15:04:01.641] WARN  [m5l] [bot] 0x20 resync; aborting path
[15:04:12.172] WARN  [m5l] [ACTION_RESULT] vendor_sell timeout (no server confirmation)
