map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[22:52:26.388] WARN  [m6e] [bot] 0x20 resync; aborting path
[22:52:38.287] WARN  [m6e] [ACTION_RESULT] npc_train invalid_state (0ms) You already know as much as I can teach of Carpentry
[22:52:41.352] WARN  [m6e] [bot] no path to (650,2161) avoiding 0 block(s); stopping (search 372393.8us)
[22:52:41.353] WARN  [m6e] [bot] start (632,2166,0) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 172 item(s), 12 mobile(s))
[22:52:42.987] WARN  [m6e] [bot] no path to (650,2161) avoiding 0 block(s); stopping (search 363672.3us)
[22:52:42.987] WARN  [m6e] [bot] start (632,2166,0) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 172 item(s), 12 mobile(s))
[22:52:44.713] WARN  [m6e] [bot] no path to (650,2161) avoiding 0 block(s); stopping (search 383697.2us)
[22:52:44.713] WARN  [m6e] [bot] start (632,2166,0) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 172 item(s), 12 mobile(s))
[22:52:47.879] WARN  [m6e] [bot] no path to (650,2161) avoiding 0 block(s); stopping (search 364832.1us)
[22:52:47.879] WARN  [m6e] [bot] start (632,2166,0) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 172 item(s), 13 mobile(s))
[22:52:49.608] WARN  [m6e] [bot] no path to (650,2161) avoiding 0 block(s); stopping (search 373287.2us)
[22:52:49.608] WARN  [m6e] [bot] start (632,2166,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 172 item(s), 13 mobile(s))
[22:52:51.332] WARN  [m6e] [bot] no path to (650,2161) avoiding 0 block(s); stopping (search 386745.0us)
[22:52:51.332] WARN  [m6e] [bot] start (632,2166,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 172 item(s), 13 mobile(s))
[22:52:56.026] WARN  [m6e] [bot] no path to (650,2161) avoiding 0 block(s); stopping (search 355834.7us)
[22:52:56.026] WARN  [m6e] [bot] start (632,2166,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 172 item(s), 14 mobile(s))
[22:53:03.702] WARN  [m6e] [bot] 0x20 resync; aborting path
[22:55:04.962] WARN  [m6e] [bot] no path to (630,2194) avoiding 0 block(s); stopping (search 493.5us)
[22:55:04.962] WARN  [m6e] [bot] start (650,2160,0) exits: open=4 terrain=2 mobile=1 dynamic=0 door=1 blacklist=0 (overlay saw 175 item(s), 10 mobile(s))
[22:55:10.579] WARN  [m6e] [0x21] move REJECTED seq=16; server says (650,2168,0) facing=5
[22:55:10.580] WARN  [m6e] [bot] 0x20 resync; aborting path
[22:55:21.066] WARN  [m6e] [bot] 0x20 resync; aborting path
[22:55:36.998] WARN  [m6e] [bot] no path to (626,2197) avoiding 0 block(s); stopping (search 397797.1us)
[22:55:36.998] WARN  [m6e] [bot] start (625,2192,0) exits: open=3 terrain=3 mobile=0 dynamic=2 door=0 blacklist=0 (overlay saw 239 item(s), 7 mobile(s))
[22:56:49.981] WARN  [m6e] [bot] no path to (625,2195) avoiding 0 block(s); stopping (search 397981.1us)
[22:56:49.981] WARN  [m6e] [bot] start (625,2192,0) exits: open=3 terrain=3 mobile=0 dynamic=2 door=0 blacklist=0 (overlay saw 239 item(s), 6 mobile(s))
