map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[22:26:52.536] WARN  [p0c] [bot] 0x20 resync; aborting path
[22:26:56.437] WARN  [p0c] [bot] no path to (1485,1550) avoiding 0 block(s); stopping (search 1311795.3us)
[22:26:56.437] WARN  [p0c] [bot] start (1486,1548,32) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 103 item(s), 4 mobile(s))
[22:27:43.045] WARN  [p0c] [bot] no path to (1484,1546) avoiding 0 block(s); stopping (search 1071794.4us)
[22:27:43.046] WARN  [p0c] [bot] start (1486,1547,70) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 103 item(s), 4 mobile(s))
[22:27:47.009] WARN  [p0c] [bot] no path to (1484,1546) avoiding 0 block(s); stopping (search 1102056.1us)
[22:27:47.009] WARN  [p0c] [bot] start (1486,1547,70) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 103 item(s), 4 mobile(s))
[22:28:01.858] WARN  [p0c] [bot] no path to (1484,1550) avoiding 0 block(s); stopping (search 1091618.3us)
[22:28:01.858] WARN  [p0c] [bot] start (1485,1548,70) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 104 item(s), 4 mobile(s))
[22:28:05.807] WARN  [p0c] [bot] no path to (1484,1550) avoiding 0 block(s); stopping (search 1048962.7us)
[22:28:05.807] WARN  [p0c] [bot] start (1485,1548,70) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 104 item(s), 4 mobile(s))
[22:28:11.239] WARN  [p0c] [bot] no path to (1484,1550) avoiding 0 block(s); stopping (search 1079023.8us)
[22:28:11.239] WARN  [p0c] [bot] start (1485,1548,70) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 104 item(s), 4 mobile(s))
[22:28:18.253] WARN  [p0c] [bot] no path to (1484,1550) avoiding 0 block(s); stopping (search 1130542.3us)
[22:28:18.253] WARN  [p0c] [bot] start (1485,1548,70) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 104 item(s), 4 mobile(s))
[22:28:51.858] WARN  [p0c] [bot] no path to (1484,1550) avoiding 0 block(s); stopping (search 1003881.7us)
[22:28:51.858] WARN  [p0c] [bot] start (1486,1550,70) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 104 item(s), 4 mobile(s))
