map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[00:42:57.559] WARN  [p0gate4] [bot] 0x20 resync; aborting path
[00:43:14.407] WARN  [p0gate4] [ACTION_RESULT] vendor_sell timeout (no server confirmation)
[00:43:47.830] WARN  [p0gate4] [bot] no path to (1485,1550) avoiding 0 block(s); stopping (search 1022373.3us)
[00:43:47.830] WARN  [p0gate4] [bot] start (1486,1548,70) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 117 item(s), 4 mobile(s))
[00:43:51.776] WARN  [p0gate4] [bot] no path to (1485,1550) avoiding 0 block(s); stopping (search 1083150.0us)
[00:43:51.776] WARN  [p0gate4] [bot] start (1486,1548,70) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 117 item(s), 4 mobile(s))
[00:43:57.126] WARN  [p0gate4] [bot] no path to (1485,1550) avoiding 0 block(s); stopping (search 1038089.6us)
[00:43:57.126] WARN  [p0gate4] [bot] start (1486,1548,70) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 117 item(s), 4 mobile(s))
[00:44:07.809] WARN  [p0gate4] [0x21] move REJECTED seq=19; server says (1485,1546,47) facing=4
[00:44:09.870] WARN  [p0gate4] [0x21] move REJECTED seq=0; server says (1485,1546,47) facing=4
[00:44:11.923] WARN  [p0gate4] [0x21] move REJECTED seq=0; server says (1485,1546,47) facing=4
[00:46:31.127] WARN  [p0gate4] [ACTION_RESULT] vendor_sell timeout (no server confirmation)
[00:48:24.073] WARN  [p0gate4] [bot] no path to (1485,1545) avoiding 0 block(s); stopping (search 3055.5us)
[00:48:24.073] WARN  [p0gate4] [bot] start (1484,1547,70) exits: open=3 terrain=5 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 118 item(s), 4 mobile(s))
[00:48:36.496] WARN  [p0gate4] [bot] no path to (1487,1550) avoiding 0 block(s); stopping (search 993500.8us)
[00:48:36.496] WARN  [p0gate4] [bot] start (1485,1549,35) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 118 item(s), 4 mobile(s))
[00:48:40.311] WARN  [p0gate4] [bot] no path to (1487,1550) avoiding 0 block(s); stopping (search 982027.6us)
[00:48:40.311] WARN  [p0gate4] [bot] start (1485,1549,35) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 118 item(s), 4 mobile(s))
[00:48:45.623] WARN  [p0gate4] [bot] no path to (1487,1550) avoiding 0 block(s); stopping (search 960107.8us)
[00:48:45.623] WARN  [p0gate4] [bot] start (1485,1549,35) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 118 item(s), 4 mobile(s))
[00:48:52.413] WARN  [p0gate4] [bot] no path to (1487,1550) avoiding 0 block(s); stopping (search 974360.4us)
[00:48:52.414] WARN  [p0gate4] [bot] start (1485,1549,35) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 118 item(s), 4 mobile(s))
[00:48:53.581] WARN  [p0gate4] [bot] no path to (1487,1550) avoiding 0 block(s); stopping (search 972783.2us)
[00:48:53.581] WARN  [p0gate4] [bot] start (1485,1549,35) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 118 item(s), 4 mobile(s))
[00:48:57.401] WARN  [p0gate4] [bot] no path to (1487,1550) avoiding 0 block(s); stopping (search 984848.2us)
[00:48:57.401] WARN  [p0gate4] [bot] start (1485,1549,35) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 118 item(s), 4 mobile(s))
[00:49:02.715] WARN  [p0gate4] [bot] no path to (1487,1550) avoiding 0 block(s); stopping (search 994211.8us)
[00:49:02.715] WARN  [p0gate4] [bot] start (1485,1549,35) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 118 item(s), 4 mobile(s))
[00:49:09.575] WARN  [p0gate4] [bot] no path to (1487,1550) avoiding 0 block(s); stopping (search 1042721.1us)
[00:49:09.575] WARN  [p0gate4] [bot] start (1485,1549,35) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 118 item(s), 4 mobile(s))
[00:49:10.762] WARN  [p0gate4] [bot] no path to (1487,1550) avoiding 0 block(s); stopping (search 986594.3us)
[00:49:10.762] WARN  [p0gate4] [bot] start (1485,1549,35) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 118 item(s), 4 mobile(s))
[00:49:14.569] WARN  [p0gate4] [bot] no path to (1487,1550) avoiding 0 block(s); stopping (search 990303.7us)
[00:49:14.569] WARN  [p0gate4] [bot] start (1485,1549,35) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 118 item(s), 4 mobile(s))
[00:49:19.896] WARN  [p0gate4] [bot] no path to (1487,1550) avoiding 0 block(s); stopping (search 983964.7us)
[00:49:19.896] WARN  [p0gate4] [bot] start (1485,1549,35) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 118 item(s), 4 mobile(s))
[00:49:26.704] WARN  [p0gate4] [bot] no path to (1487,1550) avoiding 0 block(s); stopping (search 997679.7us)
[00:49:26.704] WARN  [p0gate4] [bot] start (1485,1549,35) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 118 item(s), 4 mobile(s))
[00:49:27.935] WARN  [p0gate4] [bot] no path to (1487,1550) avoiding 0 block(s); stopping (search 989372.2us)
[00:49:27.936] WARN  [p0gate4] [bot] start (1485,1549,35) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 118 item(s), 4 mobile(s))
[00:49:31.728] WARN  [p0gate4] [bot] no path to (1487,1550) avoiding 0 block(s); stopping (search 974604.3us)
[00:49:31.728] WARN  [p0gate4] [bot] start (1485,1549,35) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 118 item(s), 4 mobile(s))
[00:49:37.063] WARN  [p0gate4] [bot] no path to (1487,1550) avoiding 0 block(s); stopping (search 993284.3us)
[00:49:37.063] WARN  [p0gate4] [bot] start (1485,1549,35) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 118 item(s), 4 mobile(s))
[00:49:43.899] WARN  [p0gate4] [bot] no path to (1487,1550) avoiding 0 block(s); stopping (search 981938.4us)
[00:49:43.899] WARN  [p0gate4] [bot] start (1485,1549,35) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 118 item(s), 4 mobile(s))
[00:49:56.319] WARN  [p0gate4] [ACTION_RESULT] vendor_sell timeout (no server confirmation)
[00:50:10.130] WARN  [p0gate4] [bot] no path to (1490,1550) avoiding 0 block(s); stopping (search 1895.7us)
[00:50:10.130] WARN  [p0gate4] [bot] start (1489,1548,70) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 118 item(s), 4 mobile(s))
[00:50:19.433] WARN  [p0gate4] [bot] no path to (1486,1551) avoiding 0 block(s); stopping (search 981158.2us)
[00:50:19.434] WARN  [p0gate4] [bot] start (1490,1550,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 119 item(s), 4 mobile(s))
[00:50:23.317] WARN  [p0gate4] [bot] no path to (1484,1550) avoiding 0 block(s); stopping (search 968459.2us)
[00:50:23.317] WARN  [p0gate4] [bot] start (1486,1551,30) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 119 item(s), 4 mobile(s))
[00:50:27.287] WARN  [p0gate4] [bot] no path to (1484,1550) avoiding 0 block(s); stopping (search 1132559.7us)
[00:50:27.287] WARN  [p0gate4] [bot] start (1486,1551,30) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 119 item(s), 4 mobile(s))
[00:50:32.778] WARN  [p0gate4] [bot] goal (1485,1548) is not walkable; skipping A* and stopping
[00:50:35.691] WARN  [p0gate4] [bot] goal (1485,1548) is not walkable; skipping A* and stopping
[00:50:40.116] WARN  [p0gate4] [bot] goal (1485,1548) is not walkable; skipping A* and stopping
[00:50:45.995] WARN  [p0gate4] [bot] goal (1485,1548) is not walkable; skipping A* and stopping
[00:50:46.240] WARN  [p0gate4] [bot] goal (1485,1548) is not walkable; skipping A* and stopping
[00:50:49.138] WARN  [p0gate4] [bot] goal (1485,1548) is not walkable; skipping A* and stopping
[00:50:53.505] WARN  [p0gate4] [bot] goal (1485,1548) is not walkable; skipping A* and stopping
[00:50:59.357] WARN  [p0gate4] [bot] goal (1485,1548) is not walkable; skipping A* and stopping
[00:51:32.260] WARN  [p0gate4] [bot] no path to (1490,1550) avoiding 0 block(s); stopping (search 968372.9us)
[00:51:32.261] WARN  [p0gate4] [bot] start (1488,1552,70) exits: open=7 terrain=0 mobile=0 dynamic=1 door=0 blacklist=0 (overlay saw 121 item(s), 4 mobile(s))
[00:53:15.401] WARN  [p0gate4] [ACTION_RESULT] vendor_sell timeout (no server confirmation)
[00:53:34.566] WARN  [p0gate4] [bot] no path to (1484,1545) avoiding 0 block(s); stopping (search 966269.5us)
[00:53:34.567] WARN  [p0gate4] [bot] start (1485,1547,70) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 121 item(s), 4 mobile(s))
[00:53:38.401] WARN  [p0gate4] [bot] no path to (1484,1545) avoiding 0 block(s); stopping (search 996350.9us)
[00:53:38.401] WARN  [p0gate4] [bot] start (1485,1547,70) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 121 item(s), 4 mobile(s))
[00:53:58.364] WARN  [p0gate4] [bot] no path to (1488,1550) avoiding 0 block(s); stopping (search 981487.3us)
