map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[09:17:53.720] WARN  [patron1] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[09:17:55.065] WARN  [patron1] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[09:17:56.309] WARN  [patron1] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[09:17:59.124] WARN  [patron1] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[09:18:00.408] WARN  [patron1] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[09:18:01.698] WARN  [patron1] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[09:18:05.987] WARN  [patron1] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[09:18:07.331] WARN  [patron1] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[09:18:08.617] WARN  [patron1] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[09:18:14.504] WARN  [patron1] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[09:18:15.792] WARN  [patron1] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[09:18:17.140] WARN  [patron1] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[09:18:17.201] WARN  [patron1] [travel] route exhausted at (1416,1624,22); trying to reach (1416,1640,20) to get somewhere routable (escape 1/3)
[09:18:23.055] WARN  [patron1] [travel] route exhausted at (1416,1640,20); trying to reach (1400,1624,28) to get somewhere routable (escape 2/3)
[09:18:33.248] WARN  [patron1] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[09:18:34.530] WARN  [patron1] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[09:18:35.757] WARN  [patron1] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[09:18:38.580] WARN  [patron1] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[09:18:39.869] WARN  [patron1] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[09:18:41.214] WARN  [patron1] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[09:18:45.522] WARN  [patron1] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[09:18:46.820] WARN  [patron1] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[09:18:48.110] WARN  [patron1] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[09:18:53.943] WARN  [patron1] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[09:18:55.287] WARN  [patron1] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[09:18:56.637] WARN  [patron1] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[09:18:56.697] WARN  [patron1] [travel] route exhausted at (1400,1624,28); trying to reach (1384,1608,30) to get somewhere routable (escape 3/3)
