map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[18:29:07.128] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:29:08.481] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:29:09.831] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:29:12.705] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:29:14.051] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:29:15.387] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:29:19.743] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:29:21.080] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:29:22.378] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:29:28.193] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:29:29.480] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:29:30.860] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:29:33.558] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:29:34.904] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:29:36.192] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:29:39.117] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:29:40.435] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:29:41.784] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:29:46.144] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:29:47.525] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:29:48.878] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:29:54.773] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:29:56.057] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:29:57.430] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:30:00.144] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:30:01.442] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:30:02.775] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:30:05.617] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:30:06.926] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:30:08.271] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:30:12.599] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:30:13.982] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:30:15.360] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:30:21.270] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:30:22.597] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:30:23.947] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:30:26.703] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:30:28.050] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:30:29.427] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:30:32.262] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:30:33.589] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:30:34.918] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:30:39.295] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:30:40.562] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:30:41.930] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:30:47.820] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:30:49.196] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:30:50.541] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:31:23.237] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:31:24.587] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:31:25.878] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:31:28.750] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:31:30.095] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:31:31.469] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:31:35.773] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:31:37.106] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:31:38.445] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:31:44.263] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:31:45.627] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:31:46.960] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:31:49.678] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:31:51.029] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:31:52.388] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:31:55.303] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:31:56.636] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:31:57.938] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:32:02.280] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:32:03.627] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:32:04.994] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:32:10.863] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:32:12.210] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:32:13.591] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:32:16.368] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:32:17.685] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:32:19.038] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:32:21.944] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:32:23.291] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
[18:32:24.666] WARN  [selle] [bot] goal (1435,1754) is not walkable; skipping A* and stopping
