map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[19:00:36.060] WARN  [selll] [0x21] move REJECTED seq=15; server says (1439,1693,0) facing=3
[19:00:36.061] WARN  [selll] [bot] 0x20 resync; aborting path
[19:00:57.518] WARN  [selll] [bot] 0x20 resync; aborting path
[19:01:01.229] WARN  [selll] [bot] no path to (1438,1755) avoiding 0 block(s); stopping (search 1076148.5us)
[19:01:01.229] WARN  [selll] [bot] start (1435,1755,4) exits: open=4 terrain=2 mobile=1 dynamic=1 door=0 blacklist=0 (overlay saw 202 item(s), 6 mobile(s))
[19:01:09.131] WARN  [selll] [bot] no path to (1439,1758) avoiding 0 block(s); stopping (search 1062576.8us)
[19:01:09.131] WARN  [selll] [bot] start (1438,1755,-2) exits: open=5 terrain=1 mobile=0 dynamic=2 door=0 blacklist=0 (overlay saw 203 item(s), 5 mobile(s))
[19:01:13.667] WARN  [selll] [bot] no path to (1440,1760) avoiding 0 block(s); stopping (search 1064975.6us)
[19:01:13.667] WARN  [selll] [bot] start (1439,1756,-2) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 203 item(s), 5 mobile(s))
[19:01:16.064] WARN  [selll] [bot] no path to (1440,1760) avoiding 0 block(s); stopping (search 1063546.8us)
[19:01:16.064] WARN  [selll] [bot] start (1439,1756,-2) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 203 item(s), 5 mobile(s))
[19:01:18.458] WARN  [selll] [bot] no path to (1440,1760) avoiding 0 block(s); stopping (search 1062500.1us)
[19:01:18.458] WARN  [selll] [bot] start (1439,1756,-2) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 203 item(s), 5 mobile(s))
[19:01:22.422] WARN  [selll] [bot] no path to (1440,1760) avoiding 0 block(s); stopping (search 1064485.4us)
[19:01:22.423] WARN  [selll] [bot] start (1439,1756,-2) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 203 item(s), 5 mobile(s))
[19:01:24.751] WARN  [selll] [bot] no path to (1440,1760) avoiding 0 block(s); stopping (search 1038540.8us)
[19:01:24.751] WARN  [selll] [bot] start (1439,1756,-2) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 203 item(s), 5 mobile(s))
[19:01:27.257] WARN  [selll] [bot] no path to (1440,1760) avoiding 0 block(s); stopping (search 1178158.2us)
[19:01:27.257] WARN  [selll] [bot] start (1439,1756,-2) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 203 item(s), 5 mobile(s))
