map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[17:18:33.949] WARN  [slice_h] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:18:55.624] WARN  [slice_h] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:18:57.126] WARN  [slice_h] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:18:58.653] WARN  [slice_h] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:19:00.195] WARN  [slice_h] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:19:01.751] WARN  [slice_h] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:19:03.235] WARN  [slice_h] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:19:04.796] WARN  [slice_h] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:19:06.329] WARN  [slice_h] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:19:07.856] WARN  [slice_h] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:19:09.389] WARN  [slice_h] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:19:10.856] WARN  [slice_h] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:19:12.446] WARN  [slice_h] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:19:13.984] WARN  [slice_h] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:19:15.484] WARN  [slice_h] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:19:17.022] WARN  [slice_h] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:19:18.471] WARN  [slice_h] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:19:20.019] WARN  [slice_h] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:19:21.599] WARN  [slice_h] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:19:23.059] WARN  [slice_h] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
