map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[17:19:54.389] WARN  [slice_i] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:19:56.374] WARN  [slice_i] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:19:58.452] WARN  [slice_i] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:20:00.483] WARN  [slice_i] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:20:02.505] WARN  [slice_i] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:20:04.470] WARN  [slice_i] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:20:06.535] WARN  [slice_i] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:20:08.489] WARN  [slice_i] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:20:10.510] WARN  [slice_i] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:20:12.541] WARN  [slice_i] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:20:14.629] WARN  [slice_i] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:20:25.889] WARN  [slice_i] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:20:27.834] WARN  [slice_i] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:20:29.857] WARN  [slice_i] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:20:31.935] WARN  [slice_i] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:20:33.957] WARN  [slice_i] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:20:35.986] WARN  [slice_i] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:20:37.941] WARN  [slice_i] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:20:40.058] WARN  [slice_i] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:20:42.046] WARN  [slice_i] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:20:44.114] WARN  [slice_i] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:20:46.081] WARN  [slice_i] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:20:57.398] WARN  [slice_i] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:20:59.348] WARN  [slice_i] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:21:01.374] WARN  [slice_i] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:21:03.416] WARN  [slice_i] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:21:05.509] WARN  [slice_i] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:21:07.454] WARN  [slice_i] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:21:09.529] WARN  [slice_i] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:21:11.567] WARN  [slice_i] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:21:13.574] WARN  [slice_i] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:21:15.534] WARN  [slice_i] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:21:17.560] WARN  [slice_i] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
