map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[17:21:37.457] WARN  [slice_j] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:21:38.759] WARN  [slice_j] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:21:40.124] WARN  [slice_j] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:21:43.035] WARN  [slice_j] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:21:44.398] WARN  [slice_j] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:21:45.672] WARN  [slice_j] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:21:50.049] WARN  [slice_j] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:21:51.382] WARN  [slice_j] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:21:52.696] WARN  [slice_j] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:21:58.563] WARN  [slice_j] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:21:59.849] WARN  [slice_j] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:22:01.161] WARN  [slice_j] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:22:01.222] WARN  [slice_j] [travel] route exhausted at (1479,1757,-2); trying to reach (1488,1746,-2) to get somewhere routable (escape 1/3)
[17:22:02.295] WARN  [slice_j] [bot] no path to (1488,1746) avoiding 0 block(s); stopping (search 1059107.9us)
[17:22:02.295] WARN  [slice_j] [bot] start (1479,1757,-2) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 89 item(s), 4 mobile(s))
[17:22:02.356] WARN  [slice_j] [travel] route exhausted at (1479,1757,-2); trying to reach (1464,1748,0) to get somewhere routable (escape 2/3)
[17:22:07.081] WARN  [slice_j] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:22:08.384] WARN  [slice_j] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
