map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[17:23:50.980] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:23:52.348] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:23:53.712] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:23:56.577] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:23:57.819] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:23:59.101] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:24:03.389] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:24:04.666] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:24:05.979] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:24:11.830] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:24:13.111] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:24:14.447] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:24:14.509] WARN  [slice_k] [travel] route exhausted at (1464,1745,0); trying to reach (1464,1736,0) to get somewhere routable (escape 1/3)
[17:24:17.066] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:24:18.271] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:24:19.648] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:24:22.554] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:24:23.882] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:24:25.233] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:24:29.545] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:24:30.819] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:24:32.182] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:24:38.082] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:24:39.434] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:24:40.797] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:24:40.858] WARN  [slice_k] [travel] route exhausted at (1464,1736,0); trying to reach (1464,1748,0) to get somewhere routable (escape 2/3)
[17:24:44.164] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:24:45.495] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:24:46.870] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:24:49.755] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:24:51.104] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:24:52.387] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:24:56.786] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:24:58.062] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:24:59.369] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:25:05.173] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:25:06.458] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:25:07.793] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:25:07.854] WARN  [slice_k] [travel] route exhausted at (1464,1748,0); trying to reach (1448,1734,0) to get somewhere routable (escape 3/3)
[17:25:12.269] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:25:13.559] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:25:14.943] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:25:17.842] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:25:19.223] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:25:20.499] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:25:24.878] WARN  [slice_k] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
