map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[17:28:07.843] WARN  [slice_m] [0x21] move REJECTED seq=21; server says (1473,1755,-2) facing=3
[17:28:08.615] WARN  [slice_m] [0x21] move REJECTED seq=0; server says (1473,1755,-2) facing=3
[17:28:12.156] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:13.033] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:14.031] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:14.936] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:15.808] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:16.808] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:17.716] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:18.647] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:19.521] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:20.518] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:21.454] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:22.355] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:23.216] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:24.217] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:25.140] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:26.081] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:27.015] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:27.956] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:28.908] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:29.782] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:30.796] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:31.704] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:32.716] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:33.655] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:34.605] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:35.533] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:36.468] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:37.403] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:38.339] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:39.196] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:40.132] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:41.032] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:41.962] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:42.919] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:43.917] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:44.851] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:45.803] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:46.751] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:47.684] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:48.587] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:49.459] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:50.367] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:51.368] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:52.239] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:53.318] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:54.269] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:55.203] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:56.141] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:57.063] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:58.001] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:58.889] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:28:59.829] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:29:00.826] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:29:01.759] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:29:02.645] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:29:03.639] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:29:04.514] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:29:05.509] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:29:06.448] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:29:07.393] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:29:08.330] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:29:09.270] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:29:10.207] WARN  [slice_m] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
