map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[17:29:37.828] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:29:39.181] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:29:40.570] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:29:43.442] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:29:44.830] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:29:46.230] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:29:50.688] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:29:52.059] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:29:53.438] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:29:59.367] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:30:00.732] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:30:02.101] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:30:02.177] WARN  [slice_n] [travel] route exhausted at (1479,1757,-2); trying to reach (1488,1746,-2) to get somewhere routable (escape 1/3)
[17:30:07.750] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:30:09.185] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:30:10.537] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:30:13.489] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:30:14.777] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:30:16.177] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:30:20.648] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:30:22.088] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:30:23.568] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:30:29.434] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:30:30.879] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:30:32.263] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:30:32.327] WARN  [slice_n] [travel] route exhausted at (1488,1746,-2); trying to reach (1480,1752,0) to get somewhere routable (escape 2/3)
[17:30:35.205] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:30:36.754] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:30:38.122] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:30:41.125] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:30:42.559] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:30:44.080] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:30:48.419] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:30:49.742] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:30:51.109] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:30:56.994] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:30:58.322] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:30:59.807] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:30:59.929] WARN  [slice_n] [travel] route exhausted at (1480,1752,0); trying to reach (1464,1736,0) to get somewhere routable (escape 3/3)
[17:31:09.081] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:31:10.559] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:31:12.028] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:31:14.964] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:31:16.301] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:31:17.692] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:31:22.172] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:31:23.673] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
