map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[17:36:29.956] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:36:31.308] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:36:32.665] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:36:35.540] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:36:36.907] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:36:38.277] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:36:42.681] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:36:44.066] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:36:45.445] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:36:51.261] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:36:52.582] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:36:53.941] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:36:54.002] WARN  [slice_p] [travel] route exhausted at (1464,1748,0); trying to reach (1464,1736,0) to get somewhere routable (escape 1/3)
[17:36:57.778] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:36:59.226] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:37:00.706] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:37:03.867] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:37:05.281] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:37:06.740] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:37:11.188] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:37:12.593] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:37:14.012] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:37:20.268] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:37:21.714] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:37:23.287] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:37:23.460] WARN  [slice_p] [travel] route exhausted at (1464,1736,0); trying to reach (1464,1748,0) to get somewhere routable (escape 2/3)
[17:37:27.103] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:37:28.442] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:37:29.794] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:37:32.678] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:37:33.953] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:37:35.303] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:37:39.700] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:37:41.030] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:37:42.377] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:37:48.248] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:37:49.579] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:37:50.936] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:37:50.998] WARN  [slice_p] [travel] route exhausted at (1464,1748,0); trying to reach (1448,1734,0) to get somewhere routable (escape 3/3)
[17:37:56.620] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:37:58.237] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:37:59.897] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:38:03.209] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:38:04.625] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:38:06.147] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:38:10.688] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:38:12.229] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:38:13.813] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:38:19.873] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:38:21.445] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:38:23.039] WARN  [slice_p] [bot] goal (1456,1755) is not walkable; skipping A* and stopping
[17:38:23.740] WARN  [slice_p] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:38:25.175] WARN  [slice_p] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:38:26.523] WARN  [slice_p] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
