map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[17:41:59.269] WARN  [slice_r] [bot] goal (1459,1758) is not walkable; skipping A* and stopping
[17:42:00.665] WARN  [slice_r] [bot] goal (1459,1758) is not walkable; skipping A* and stopping
[17:42:02.089] WARN  [slice_r] [bot] goal (1459,1758) is not walkable; skipping A* and stopping
[17:42:05.019] WARN  [slice_r] [bot] goal (1459,1758) is not walkable; skipping A* and stopping
[17:42:06.408] WARN  [slice_r] [bot] goal (1459,1758) is not walkable; skipping A* and stopping
[17:42:07.771] WARN  [slice_r] [bot] goal (1459,1758) is not walkable; skipping A* and stopping
[17:42:12.195] WARN  [slice_r] [bot] goal (1459,1758) is not walkable; skipping A* and stopping
[17:42:13.599] WARN  [slice_r] [bot] goal (1459,1758) is not walkable; skipping A* and stopping
[17:42:14.982] WARN  [slice_r] [bot] goal (1459,1758) is not walkable; skipping A* and stopping
[17:42:20.954] WARN  [slice_r] [bot] goal (1459,1758) is not walkable; skipping A* and stopping
[17:42:22.347] WARN  [slice_r] [bot] goal (1459,1758) is not walkable; skipping A* and stopping
[17:42:23.740] WARN  [slice_r] [bot] goal (1459,1758) is not walkable; skipping A* and stopping
[17:42:23.817] WARN  [slice_r] [travel] route exhausted at (1468,1750,0); trying to reach (1480,1752,0) to get somewhere routable (escape 1/3)
[17:42:27.678] WARN  [slice_r] [bot] goal (1459,1758) is not walkable; skipping A* and stopping
[17:42:29.057] WARN  [slice_r] [bot] goal (1459,1758) is not walkable; skipping A* and stopping
[17:42:30.437] WARN  [slice_r] [bot] goal (1459,1758) is not walkable; skipping A* and stopping
[17:42:33.311] WARN  [slice_r] [bot] goal (1459,1758) is not walkable; skipping A* and stopping
[17:42:34.656] WARN  [slice_r] [bot] goal (1459,1758) is not walkable; skipping A* and stopping
[17:42:36.172] WARN  [slice_r] [bot] goal (1459,1758) is not walkable; skipping A* and stopping
[17:42:40.584] WARN  [slice_r] [bot] goal (1459,1758) is not walkable; skipping A* and stopping
[17:42:42.037] WARN  [slice_r] [bot] goal (1459,1758) is not walkable; skipping A* and stopping
[17:42:43.301] WARN  [slice_r] [bot] goal (1459,1758) is not walkable; skipping A* and stopping
[17:42:49.258] WARN  [slice_r] [bot] goal (1459,1758) is not walkable; skipping A* and stopping
[17:42:50.553] WARN  [slice_r] [bot] goal (1459,1758) is not walkable; skipping A* and stopping
[17:42:51.958] WARN  [slice_r] [bot] goal (1459,1758) is not walkable; skipping A* and stopping
[17:42:52.069] WARN  [slice_r] [travel] route exhausted at (1480,1752,0); trying to reach (1488,1746,-2) to get somewhere routable (escape 2/3)
[17:42:54.731] WARN  [slice_r] [bot] goal (1459,1758) is not walkable; skipping A* and stopping
[17:42:56.105] WARN  [slice_r] [bot] goal (1459,1758) is not walkable; skipping A* and stopping
[17:42:57.440] WARN  [slice_r] [bot] goal (1459,1758) is not walkable; skipping A* and stopping
[17:43:00.245] WARN  [slice_r] [bot] goal (1459,1758) is not walkable; skipping A* and stopping
[17:43:01.603] WARN  [slice_r] [bot] goal (1459,1758) is not walkable; skipping A* and stopping
[17:43:02.952] WARN  [slice_r] [bot] goal (1459,1758) is not walkable; skipping A* and stopping
[17:43:07.241] WARN  [slice_r] [bot] goal (1459,1758) is not walkable; skipping A* and stopping
[17:43:08.618] WARN  [slice_r] [bot] goal (1459,1758) is not walkable; skipping A* and stopping
[17:43:09.910] WARN  [slice_r] [bot] goal (1459,1758) is not walkable; skipping A* and stopping
[17:43:15.804] WARN  [slice_r] [bot] goal (1459,1758) is not walkable; skipping A* and stopping
[17:43:17.130] WARN  [slice_r] [bot] goal (1459,1758) is not walkable; skipping A* and stopping
[17:43:18.416] WARN  [slice_r] [bot] goal (1459,1758) is not walkable; skipping A* and stopping
[17:43:18.477] WARN  [slice_r] [travel] route exhausted at (1488,1746,-2); trying to reach (1480,1736,0) to get somewhere routable (escape 3/3)
[17:43:26.055] WARN  [slice_r] [bot] goal (1459,1758) is not walkable; skipping A* and stopping
[17:43:27.428] WARN  [slice_r] [bot] goal (1459,1758) is not walkable; skipping A* and stopping
[17:43:28.684] WARN  [slice_r] [bot] goal (1459,1758) is not walkable; skipping A* and stopping
[17:43:31.465] WARN  [slice_r] [bot] goal (1459,1758) is not walkable; skipping A* and stopping
