map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[18:27:58.729] WARN  [zero2] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[18:28:00.028] WARN  [zero2] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[18:28:01.379] WARN  [zero2] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[18:28:04.258] WARN  [zero2] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[18:28:05.604] WARN  [zero2] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[18:28:06.893] WARN  [zero2] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[18:28:11.269] WARN  [zero2] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[18:28:12.615] WARN  [zero2] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[18:28:13.949] WARN  [zero2] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[18:28:19.830] WARN  [zero2] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[18:28:21.175] WARN  [zero2] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[18:28:22.461] WARN  [zero2] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[18:28:22.522] WARN  [zero2] [travel] route exhausted at (1416,1624,22); trying to reach (1416,1640,20) to get somewhere routable (escape 1/3)
[18:28:28.519] WARN  [zero2] [travel] route exhausted at (1416,1640,20); trying to reach (1400,1624,28) to get somewhere routable (escape 2/3)
