map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[11:51:50.682] WARN  [f6_Brannoc] [0x21] move REJECTED seq=22; server says (2888,673,0) facing=3
[11:51:50.683] WARN  [f6_Brannoc] [bot] 0x20 resync; aborting path
[11:52:29.009] WARN  [f6_Brannoc] [0x21] move REJECTED seq=57; server says (2886,781,0) facing=1
[11:52:29.719] WARN  [f6_Brannoc] [0x21] move REJECTED seq=0; server says (2886,781,0) facing=1
[11:52:44.493] WARN  [f6_Brannoc] [bot] 0x20 resync; aborting path
[11:53:56.930] WARN  [f6_Brannoc] [0x21] move REJECTED seq=47; server says (2883,680,0) facing=5
[11:53:56.930] WARN  [f6_Brannoc] [bot] 0x20 resync; aborting path
[11:57:59.671] WARN  [f6_Brannoc] [0x21] move REJECTED seq=16; server says (2888,673,0) facing=3
[11:57:59.672] WARN  [f6_Brannoc] [bot] 0x20 resync; aborting path
[12:04:05.989] WARN  [f6_Brannoc] [0x21] move REJECTED seq=22; server says (2888,673,0) facing=3
[12:04:06.004] WARN  [f6_Brannoc] [bot] 0x20 resync; aborting path
[12:10:15.406] WARN  [f6_Brannoc] [0x21] move REJECTED seq=23; server says (2888,673,0) facing=3
[12:10:15.420] WARN  [f6_Brannoc] [bot] 0x20 resync; aborting path
