map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[11:09:21.046] WARN  [mk_Beleth] [bot] goal (535,867) is not walkable; skipping A* and stopping
[11:09:22.393] WARN  [mk_Beleth] [bot] goal (535,867) is not walkable; skipping A* and stopping
[11:09:23.679] WARN  [mk_Beleth] [bot] goal (535,867) is not walkable; skipping A* and stopping
[11:09:26.506] WARN  [mk_Beleth] [bot] goal (535,867) is not walkable; skipping A* and stopping
[11:09:27.857] WARN  [mk_Beleth] [bot] goal (535,867) is not walkable; skipping A* and stopping
[11:09:29.204] WARN  [mk_Beleth] [bot] goal (535,867) is not walkable; skipping A* and stopping
[11:09:33.582] WARN  [mk_Beleth] [bot] goal (535,867) is not walkable; skipping A* and stopping
[11:09:34.870] WARN  [mk_Beleth] [bot] goal (535,867) is not walkable; skipping A* and stopping
[11:09:36.157] WARN  [mk_Beleth] [bot] goal (535,867) is not walkable; skipping A* and stopping
[11:09:41.971] WARN  [mk_Beleth] [bot] goal (535,867) is not walkable; skipping A* and stopping
[11:09:43.262] WARN  [mk_Beleth] [bot] goal (535,867) is not walkable; skipping A* and stopping
[11:09:44.546] WARN  [mk_Beleth] [bot] goal (535,867) is not walkable; skipping A* and stopping
[11:09:44.608] WARN  [mk_Beleth] [travel] route exhausted at (568,904,0); trying to reach (552,888,0) to get somewhere routable (escape 1/3)
[11:09:50.990] WARN  [mk_Beleth] [bot] goal (535,867) is not walkable; skipping A* and stopping
[11:09:52.296] WARN  [mk_Beleth] [bot] goal (535,867) is not walkable; skipping A* and stopping
[11:09:53.652] WARN  [mk_Beleth] [bot] goal (535,867) is not walkable; skipping A* and stopping
[11:09:56.532] WARN  [mk_Beleth] [bot] goal (535,867) is not walkable; skipping A* and stopping
[11:09:57.858] WARN  [mk_Beleth] [bot] goal (535,867) is not walkable; skipping A* and stopping
[11:09:59.193] WARN  [mk_Beleth] [bot] goal (535,867) is not walkable; skipping A* and stopping
[11:10:03.563] WARN  [mk_Beleth] [bot] goal (535,867) is not walkable; skipping A* and stopping
[11:10:04.915] WARN  [mk_Beleth] [bot] goal (535,867) is not walkable; skipping A* and stopping
[11:10:06.246] WARN  [mk_Beleth] [bot] goal (535,867) is not walkable; skipping A* and stopping
[11:10:12.114] WARN  [mk_Beleth] [bot] goal (535,867) is not walkable; skipping A* and stopping
[11:10:13.427] WARN  [mk_Beleth] [bot] goal (535,867) is not walkable; skipping A* and stopping
[11:10:14.780] WARN  [mk_Beleth] [bot] goal (535,867) is not walkable; skipping A* and stopping
[11:10:14.841] WARN  [mk_Beleth] [travel] route exhausted at (552,888,0); trying to reach (536,872,0) to get somewhere routable (escape 2/3)
[11:10:21.394] WARN  [mk_Beleth] [bot] 0x20 resync; aborting path
