map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[11:08:54.880] WARN  [mk_Durnholde] [0x21] move REJECTED seq=2; server says (634,858,0) facing=2
[11:09:03.160] WARN  [mk_Durnholde] [0x21] move REJECTED seq=35; server says (661,856,0) facing=2
[11:09:04.269] WARN  [mk_Durnholde] [bot] no path to (664,856) avoiding 0 block(s); stopping (search 1103424.7us)
[11:09:04.269] WARN  [mk_Durnholde] [bot] start (661,856,0) exits: open=6 terrain=1 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 137 item(s), 14 mobile(s))
[11:09:31.793] WARN  [mk_Durnholde] [0x21] move REJECTED seq=63; server says (729,809,0) facing=7
[11:09:32.904] WARN  [mk_Durnholde] [bot] no path to (728,808) avoiding 0 block(s); stopping (search 1086300.5us)
[11:09:32.904] WARN  [mk_Durnholde] [bot] start (729,809,0) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 143 item(s), 14 mobile(s))
[11:09:48.050] WARN  [mk_Durnholde] [bot] no path to (776,760) avoiding 0 block(s); stopping (search 1197043.8us)
[11:09:48.050] WARN  [mk_Durnholde] [bot] start (760,776,0) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 144 item(s), 7 mobile(s))
[11:09:50.959] WARN  [mk_Durnholde] [bot] no path to (776,760) avoiding 0 block(s); stopping (search 1631323.5us)
[11:09:50.959] WARN  [mk_Durnholde] [bot] start (760,776,0) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 144 item(s), 10 mobile(s))
