map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[11:08:55.872] WARN  [mk_Ilyandra] [0x21] move REJECTED seq=4; server says (632,858,0) facing=4
[11:08:56.397] WARN  [mk_Ilyandra] [0x21] move REJECTED seq=0; server says (632,858,0) facing=4
[11:08:56.954] WARN  [mk_Ilyandra] [0x21] move REJECTED seq=0; server says (632,858,0) facing=4
[11:08:57.030] WARN  [mk_Ilyandra] [bot] no path to (664,856) avoiding 0 block(s); stopping (search 34387.9us)
[11:08:57.030] WARN  [mk_Ilyandra] [bot] start (632,858,0) exits: open=2 terrain=0 mobile=6 dynamic=0 door=0 blacklist=0 (overlay saw 130 item(s), 19 mobile(s))
[11:09:49.083] WARN  [mk_Ilyandra] [0x21] move REJECTED seq=57; server says (759,776,0) facing=2
[11:09:50.761] WARN  [mk_Ilyandra] [bot] no path to (760,776) avoiding 0 block(s); stopping (search 1634120.6us)
[11:09:50.761] WARN  [mk_Ilyandra] [bot] start (759,776,0) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 146 item(s), 10 mobile(s))
[11:09:52.372] WARN  [mk_Ilyandra] [bot] no path to (776,760) avoiding 0 block(s); stopping (search 1555386.1us)
[11:09:52.372] WARN  [mk_Ilyandra] [bot] start (759,776,0) exits: open=5 terrain=0 mobile=3 dynamic=0 door=0 blacklist=0 (overlay saw 146 item(s), 11 mobile(s))
[11:09:56.084] WARN  [mk_Ilyandra] [0x21] move REJECTED seq=11; server says (766,775,0) facing=1
[11:10:22.861] WARN  [mk_Ilyandra] [0x21] move REJECTED seq=47; server says (1335,1970,0) facing=0
