map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[11:08:55.888] WARN  [mk_Rhalvar] [0x21] move REJECTED seq=4; server says (632,858,0) facing=4
[11:09:00.916] WARN  [mk_Rhalvar] [0x21] move REJECTED seq=21; server says (641,859,0) facing=2
[11:09:26.245] WARN  [mk_Rhalvar] [0x21] move REJECTED seq=49; server says (693,842,0) facing=2
[11:09:27.749] WARN  [mk_Rhalvar] [bot] no path to (696,840) avoiding 0 block(s); stopping (search 1459256.3us)
[11:09:27.749] WARN  [mk_Rhalvar] [bot] start (693,842,0) exits: open=6 terrain=1 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 143 item(s), 10 mobile(s))
[11:09:57.104] WARN  [mk_Rhalvar] [0x21] move REJECTED seq=65; server says (759,777,0) facing=1
[11:09:58.198] WARN  [mk_Rhalvar] [bot] no path to (760,776) avoiding 0 block(s); stopping (search 1088683.0us)
[11:09:58.198] WARN  [mk_Rhalvar] [bot] start (759,777,0) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 144 item(s), 10 mobile(s))
[11:10:57.880] WARN  [mk_Rhalvar] [bot] 0x20 resync; aborting path
[11:11:00.951] WARN  [mk_Rhalvar] [bot] no path to (624,2162) avoiding 0 block(s); stopping (search 443926.0us)
[11:11:00.951] WARN  [mk_Rhalvar] [bot] start (630,2165,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 322 item(s), 7 mobile(s))
[11:11:02.707] WARN  [mk_Rhalvar] [bot] no path to (624,2162) avoiding 0 block(s); stopping (search 457169.8us)
[11:11:02.707] WARN  [mk_Rhalvar] [bot] start (630,2165,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 322 item(s), 7 mobile(s))
[11:11:04.409] WARN  [mk_Rhalvar] [bot] no path to (624,2162) avoiding 0 block(s); stopping (search 432800.8us)
[11:11:04.409] WARN  [mk_Rhalvar] [bot] start (630,2165,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 322 item(s), 8 mobile(s))
[11:11:07.733] WARN  [mk_Rhalvar] [bot] no path to (624,2162) avoiding 0 block(s); stopping (search 448398.9us)
[11:11:07.733] WARN  [mk_Rhalvar] [bot] start (630,2165,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 322 item(s), 9 mobile(s))
[11:11:09.499] WARN  [mk_Rhalvar] [bot] no path to (624,2162) avoiding 0 block(s); stopping (search 449972.0us)
[11:11:09.499] WARN  [mk_Rhalvar] [bot] start (630,2165,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 322 item(s), 9 mobile(s))
[11:11:11.194] WARN  [mk_Rhalvar] [bot] no path to (624,2162) avoiding 0 block(s); stopping (search 430633.0us)
[11:11:11.194] WARN  [mk_Rhalvar] [bot] start (630,2165,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 322 item(s), 9 mobile(s))
[11:11:15.941] WARN  [mk_Rhalvar] [bot] no path to (624,2162) avoiding 0 block(s); stopping (search 431623.8us)
[11:11:15.941] WARN  [mk_Rhalvar] [bot] start (630,2165,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 322 item(s), 9 mobile(s))
[11:11:17.667] WARN  [mk_Rhalvar] [bot] no path to (624,2162) avoiding 0 block(s); stopping (search 431498.4us)
[11:11:17.667] WARN  [mk_Rhalvar] [bot] start (630,2165,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 322 item(s), 9 mobile(s))
[11:11:19.465] WARN  [mk_Rhalvar] [bot] no path to (624,2162) avoiding 0 block(s); stopping (search 505072.0us)
[11:11:19.465] WARN  [mk_Rhalvar] [bot] start (630,2165,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 322 item(s), 9 mobile(s))
[11:11:25.929] WARN  [mk_Rhalvar] [bot] no path to (624,2162) avoiding 0 block(s); stopping (search 633692.2us)
[11:11:25.929] WARN  [mk_Rhalvar] [bot] start (630,2165,0) exits: open=6 terrain=1 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 322 item(s), 9 mobile(s))
[11:11:27.830] WARN  [mk_Rhalvar] [bot] no path to (624,2162) avoiding 0 block(s); stopping (search 612403.3us)
[11:11:27.830] WARN  [mk_Rhalvar] [bot] start (630,2165,0) exits: open=6 terrain=1 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 322 item(s), 9 mobile(s))
[11:11:57.146] WARN  [mk_Rhalvar] [0x21] move REJECTED seq=19; server says (635,2168,0) facing=5
[11:11:57.146] WARN  [mk_Rhalvar] [bot] 0x20 resync; aborting path
