map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[11:09:42.327] WARN  [mk_Sabelle] [0x21] move REJECTED seq=49; server says (755,780,0) facing=1
[11:11:11.424] WARN  [mk_Sabelle] [bot] 0x20 resync; aborting path
[11:11:15.306] WARN  [mk_Sabelle] [bot] no path to (4445,1089) avoiding 0 block(s); stopping (search 1251375.7us)
[11:11:15.306] WARN  [mk_Sabelle] [bot] start (4451,1086,0) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 423 item(s), 10 mobile(s))
[11:11:26.112] WARN  [mk_Sabelle] [bot] no path to (4444,1086) avoiding 0 block(s); stopping (search 1390710.6us)
[11:11:26.112] WARN  [mk_Sabelle] [bot] start (4445,1091,0) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 424 item(s), 13 mobile(s))
[11:11:29.168] WARN  [mk_Sabelle] [bot] no path to (4444,1086) avoiding 0 block(s); stopping (search 1757556.7us)
[11:11:29.168] WARN  [mk_Sabelle] [bot] start (4445,1091,0) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 424 item(s), 13 mobile(s))
[11:11:48.363] WARN  [mk_Sabelle] [bot] 0x20 resync; aborting path
[11:12:19.088] WARN  [mk_Sabelle] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1265864.9us)
[11:12:19.088] WARN  [mk_Sabelle] [bot] start (4456,1128,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 503 item(s), 3 mobile(s))
[11:12:21.891] WARN  [mk_Sabelle] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1498753.8us)
[11:12:21.891] WARN  [mk_Sabelle] [bot] start (4456,1128,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 503 item(s), 3 mobile(s))
[11:12:24.802] WARN  [mk_Sabelle] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1575923.3us)
[11:12:24.802] WARN  [mk_Sabelle] [bot] start (4456,1128,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 503 item(s), 3 mobile(s))
[11:12:28.976] WARN  [mk_Sabelle] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1306165.3us)
[11:12:28.977] WARN  [mk_Sabelle] [bot] start (4456,1128,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 503 item(s), 3 mobile(s))
[11:12:31.543] WARN  [mk_Sabelle] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1282621.7us)
[11:12:31.543] WARN  [mk_Sabelle] [bot] start (4456,1128,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 503 item(s), 3 mobile(s))
[11:12:34.133] WARN  [mk_Sabelle] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1304598.3us)
[11:12:34.133] WARN  [mk_Sabelle] [bot] start (4456,1128,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 503 item(s), 3 mobile(s))
[11:12:39.777] WARN  [mk_Sabelle] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1274843.9us)
[11:12:39.777] WARN  [mk_Sabelle] [bot] start (4456,1128,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 503 item(s), 3 mobile(s))
[11:12:42.349] WARN  [mk_Sabelle] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1285110.2us)
