map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[11:09:05.095] WARN  [mk_Tarath] [0x21] move REJECTED seq=48; server says (660,858,0) facing=2
[11:09:51.021] WARN  [mk_Tarath] [0x21] move REJECTED seq=58; server says (758,777,0) facing=1
[11:09:52.650] WARN  [mk_Tarath] [bot] no path to (760,776) avoiding 0 block(s); stopping (search 1601186.1us)
[11:09:52.650] WARN  [mk_Tarath] [bot] start (758,777,0) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 148 item(s), 11 mobile(s))
[11:10:22.358] WARN  [mk_Tarath] [0x21] move REJECTED seq=4; server says (1336,1957,0) facing=7
[11:10:23.062] WARN  [mk_Tarath] [0x21] move REJECTED seq=0; server says (1336,1957,0) facing=7
[11:12:22.908] WARN  [mk_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[11:12:24.230] WARN  [mk_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[11:12:25.438] WARN  [mk_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[11:12:28.222] WARN  [mk_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[11:12:29.450] WARN  [mk_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[11:12:30.774] WARN  [mk_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[11:12:35.074] WARN  [mk_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[11:12:36.400] WARN  [mk_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[11:12:37.755] WARN  [mk_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[11:12:43.559] WARN  [mk_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[11:12:44.914] WARN  [mk_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[11:12:46.273] WARN  [mk_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[11:12:46.336] WARN  [mk_Tarath] [travel] route exhausted at (1416,1624,22); trying to reach (1416,1640,20) to get somewhere routable (escape 1/3)
[11:12:52.381] WARN  [mk_Tarath] [travel] route exhausted at (1416,1640,20); trying to reach (1400,1624,28) to get somewhere routable (escape 2/3)
[11:13:02.532] WARN  [mk_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[11:13:03.824] WARN  [mk_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[11:13:05.113] WARN  [mk_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[11:13:07.933] WARN  [mk_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[11:13:09.285] WARN  [mk_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[11:13:10.580] WARN  [mk_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[11:13:14.902] WARN  [mk_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[11:13:16.253] WARN  [mk_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[11:13:17.543] WARN  [mk_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[11:13:23.377] WARN  [mk_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[11:13:24.672] WARN  [mk_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[11:13:25.995] WARN  [mk_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[11:13:26.056] WARN  [mk_Tarath] [travel] route exhausted at (1400,1624,28); trying to reach (1384,1608,30) to get somewhere routable (escape 3/3)
