start: Delwyn is a tailor and lives in Trinsic -> starting city index 4
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[17:30:07.283] WARN  [n10_Delwyn] [0x21] move REJECTED seq=4; server says (2032,2813,7) facing=5
[17:30:07.283] WARN  [n10_Delwyn] [bot] 0x20 resync; aborting path
[17:30:22.620] WARN  [n10_Delwyn] [bot] 0x20 resync; aborting path
[17:31:02.959] WARN  [n10_Delwyn] [0x21] move REJECTED seq=8; server says (2037,2845,0) facing=1
[17:31:02.960] WARN  [n10_Delwyn] [bot] 0x20 resync; aborting path
[17:31:16.270] WARN  [n10_Delwyn] [bot] 0x20 resync; aborting path
[17:36:47.263] WARN  [n10_Delwyn] [0x21] move REJECTED seq=28; server says (1999,2871,10) facing=7
[17:36:48.026] WARN  [n10_Delwyn] [0x21] move REJECTED seq=0; server says (1999,2871,10) facing=7
[17:36:49.346] WARN  [n10_Delwyn] [0x21] move REJECTED seq=4; server says (1997,2871,10) facing=0
[17:36:50.111] WARN  [n10_Delwyn] [0x21] move REJECTED seq=0; server says (1997,2871,10) facing=0
[17:37:40.123] WARN  [n10_Delwyn] [bot] 0x20 resync; aborting path
[17:38:01.074] WARN  [n10_Delwyn] [bot] 0x20 resync; aborting path
[17:38:04.091] WARN  [n10_Delwyn] [travel] route exhausted at (1986,2843,15); trying to reach (1976,2840,15) to get somewhere routable (escape 1/3)
[17:38:22.928] WARN  [n10_Delwyn] [0x21] move REJECTED seq=63; server says (1948,2848,7) facing=7
[17:38:23.668] WARN  [n10_Delwyn] [0x21] move REJECTED seq=0; server says (1948,2848,7) facing=7
[17:38:51.777] WARN  [n10_Delwyn] [travel] route exhausted at (1935,2796,0); trying to reach (1944,2792,2) to get somewhere routable (escape 1/3)
[17:38:55.892] WARN  [n10_Delwyn] [0x21] move REJECTED seq=17; server says (1942,2793,0) facing=1
[17:38:55.893] WARN  [n10_Delwyn] [bot] 0x20 resync; aborting path
[17:38:55.962] WARN  [n10_Delwyn] [travel] route exhausted at (1942,2793,0); trying to reach (1928,2792,0) to get somewhere routable (escape 2/3)
[17:39:01.763] WARN  [n10_Delwyn] [travel] route exhausted at (1928,2792,0); trying to reach (1912,2776,0) to get somewhere routable (escape 3/3)
[17:39:18.871] WARN  [n10_Delwyn] [travel] route exhausted at (1912,2776,0); trying to reach (1912,2784,0) to get somewhere routable (escape 1/3)
[17:39:21.001] WARN  [n10_Delwyn] [travel] route exhausted at (1912,2784,0); trying to reach (1912,2776,0) to get somewhere routable (escape 2/3)
[17:39:23.260] WARN  [n10_Delwyn] [travel] route exhausted at (1912,2776,0); trying to reach (1912,2760,0) to get somewhere routable (escape 3/3)
[17:42:14.579] WARN  [n10_Delwyn] [0x21] move REJECTED seq=14; server says (2688,2235,2) facing=1
[17:42:14.594] WARN  [n10_Delwyn] [bot] 0x20 resync; aborting path
[17:42:30.310] WARN  [n10_Delwyn] [bot] 0x20 resync; aborting path
[17:43:51.203] WARN  [n10_Delwyn] [bot] 0x20 resync; aborting path
[17:44:48.510] WARN  [n10_Delwyn] [0x21] move REJECTED seq=9; server says (2716,2104,0) facing=3
[17:44:48.511] WARN  [n10_Delwyn] [bot] 0x20 resync; aborting path
[17:45:16.906] WARN  [n10_Delwyn] [bot] 0x20 resync; aborting path
[17:46:09.905] WARN  [n10_Delwyn] [bot] 0x20 resync; aborting path
[17:46:18.694] WARN  [n10_Delwyn] [bot] 0x20 resync; aborting path
[17:46:48.048] WARN  [n10_Delwyn] [0x21] move REJECTED seq=24; server says (2654,2169,2) facing=3
[17:52:56.856] WARN  [n10_Delwyn] [bot] 0x20 resync; aborting path
[17:53:51.839] WARN  [n10_Delwyn] [0x21] move REJECTED seq=18; server says (2276,1204,0) facing=3
[17:53:51.854] WARN  [n10_Delwyn] [bot] 0x20 resync; aborting path
