start: Edrik is a full_crafter and lives in Yew -> starting city index 0
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[17:30:40.628] WARN  [n10_Edrik] [0x21] move REJECTED seq=4; server says (775,757,0) facing=0
[17:33:08.812] WARN  [n10_Edrik] [0x21] move REJECTED seq=32; server says (1423,1599,20) facing=7
[17:33:09.562] WARN  [n10_Edrik] [0x21] move REJECTED seq=0; server says (1423,1599,20) facing=7
[17:33:10.979] WARN  [n10_Edrik] [bot] no path to (1416,1592) avoiding 1 block(s); stopping (search 1360832.0us)
[17:33:10.986] WARN  [n10_Edrik] [bot] start (1423,1599,20) exits: open=6 terrain=0 mobile=0 dynamic=1 door=0 blacklist=1 (overlay saw 492 item(s), 6 mobile(s))
[17:33:13.974] WARN  [n10_Edrik] [bot] no path to (1416,1592) avoiding 0 block(s); stopping (search 1650884.4us)
[17:33:13.974] WARN  [n10_Edrik] [bot] start (1423,1599,20) exits: open=7 terrain=0 mobile=0 dynamic=1 door=0 blacklist=0 (overlay saw 492 item(s), 6 mobile(s))
[17:34:30.833] WARN  [n10_Edrik] [0x21] move REJECTED seq=37; server says (1418,1596,50) facing=3
[17:34:31.607] WARN  [n10_Edrik] [0x21] move REJECTED seq=0; server says (1418,1596,50) facing=3
[17:35:08.792] WARN  [n10_Edrik] [bot] 0x20 resync; aborting path
[17:35:31.415] WARN  [n10_Edrik] [0x21] move REJECTED seq=12; server says (1438,1693,0) facing=5
[17:35:31.430] WARN  [n10_Edrik] [bot] 0x20 resync; aborting path
[17:39:09.127] WARN  [n10_Edrik] [0x21] move REJECTED seq=40; server says (2000,2856,14) facing=7
[17:39:09.864] WARN  [n10_Edrik] [0x21] move REJECTED seq=0; server says (2000,2856,14) facing=7
[17:39:25.381] WARN  [n10_Edrik] [0x21] move REJECTED seq=31; server says (1948,2848,7) facing=7
[17:39:26.101] WARN  [n10_Edrik] [0x21] move REJECTED seq=0; server says (1948,2848,7) facing=7
[17:39:34.411] WARN  [n10_Edrik] [0x21] move REJECTED seq=33; server says (1947,2822,0) facing=1
[17:39:35.144] WARN  [n10_Edrik] [0x21] move REJECTED seq=0; server says (1947,2822,0) facing=1
[17:39:48.678] WARN  [n10_Edrik] [0x21] move REJECTED seq=38; server says (1952,2798,10) facing=7
[17:39:49.421] WARN  [n10_Edrik] [0x21] move REJECTED seq=0; server says (1952,2798,10) facing=7
[17:40:25.649] WARN  [n10_Edrik] [0x21] move REJECTED seq=38; server says (1912,2692,3) facing=7
[17:40:26.383] WARN  [n10_Edrik] [0x21] move REJECTED seq=0; server says (1912,2692,3) facing=7
[17:41:00.997] WARN  [n10_Edrik] [0x21] move REJECTED seq=99; server says (1872,2671,-10) facing=5
[17:41:01.764] WARN  [n10_Edrik] [0x21] move REJECTED seq=0; server says (1872,2671,-10) facing=5
[17:41:09.009] WARN  [n10_Edrik] [bot] 0x20 resync; aborting path
[17:41:56.947] WARN  [n10_Edrik] [0x21] move REJECTED seq=15; server says (1896,2664,0) facing=3
[17:41:56.948] WARN  [n10_Edrik] [bot] 0x20 resync; aborting path
[17:42:57.367] WARN  [n10_Edrik] [0x21] move REJECTED seq=37; server says (1946,2840,22) facing=3
[17:42:58.104] WARN  [n10_Edrik] [0x21] move REJECTED seq=0; server says (1946,2840,22) facing=3
[17:43:04.475] WARN  [n10_Edrik] [bot] goal (1990,2872) is not walkable; skipping A* and stopping
[17:43:05.859] WARN  [n10_Edrik] [bot] goal (1990,2872) is not walkable; skipping A* and stopping
[17:43:07.205] WARN  [n10_Edrik] [bot] goal (1990,2872) is not walkable; skipping A* and stopping
[17:45:51.997] WARN  [n10_Edrik] [0x21] move REJECTED seq=67; server says (1422,3856,0) facing=5
[17:45:52.702] WARN  [n10_Edrik] [0x21] move REJECTED seq=0; server says (1422,3856,0) facing=5
[17:46:11.440] WARN  [n10_Edrik] [ACTION_RESULT] use_skill server_failure (0ms) There is no such skill. Please tell support you saw this message.
[17:46:17.568] WARN  [n10_Edrik] [ACTION_RESULT] use_skill server_failure (14ms) There is no such skill. Please tell support you saw this message.
[17:46:23.674] WARN  [n10_Edrik] [ACTION_RESULT] use_skill server_failure (1ms) There is no such skill. Please tell support you saw this message.
