start: Rowan is a lumberjack_swordsman and lives in Skara Brae -> starting city index 7
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[17:35:30.449] WARN  [n10_Rowan] [0x21] move REJECTED seq=58; server says (2800,952,0) facing=3
[17:35:31.155] WARN  [n10_Rowan] [0x21] move REJECTED seq=0; server says (2800,952,0) facing=3
[17:36:41.214] WARN  [n10_Rowan] [bot] 0x20 resync; aborting path
[17:36:44.849] WARN  [n10_Rowan] [bot] no path to (2913,793) avoiding 0 block(s); stopping (search 1059615.6us)
[17:36:44.849] WARN  [n10_Rowan] [bot] start (2915,804,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 275 item(s), 5 mobile(s))
[17:36:47.216] WARN  [n10_Rowan] [bot] no path to (2913,793) avoiding 0 block(s); stopping (search 1034315.3us)
[17:36:47.216] WARN  [n10_Rowan] [bot] start (2915,804,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 275 item(s), 5 mobile(s))
[17:36:52.713] WARN  [n10_Rowan] [ACTION_RESULT] npc_train invalid_state (0ms) You already know as much as I can teach of Carpentry
[17:40:19.812] WARN  [n10_Rowan] [bot] 0x20 resync; aborting path
[17:40:23.054] WARN  [n10_Rowan] [bot] no path to (648,2162) avoiding 0 block(s); stopping (search 648339.3us)
[17:40:23.054] WARN  [n10_Rowan] [bot] start (646,2156,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 403 item(s), 12 mobile(s))
[17:40:25.038] WARN  [n10_Rowan] [bot] no path to (648,2162) avoiding 0 block(s); stopping (search 638539.8us)
[17:40:25.038] WARN  [n10_Rowan] [bot] start (646,2156,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 403 item(s), 12 mobile(s))
[17:40:27.014] WARN  [n10_Rowan] [bot] no path to (648,2162) avoiding 0 block(s); stopping (search 655710.4us)
