map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[15:25:35.606] WARN  [ilyana] [0x21] move REJECTED seq=4; server says (775,757,0) facing=0
[15:27:50.954] WARN  [ilyana] [0x21] move REJECTED seq=35; server says (1432,1666,10) facing=1
[15:27:51.705] WARN  [ilyana] [0x21] move REJECTED seq=0; server says (1432,1666,10) facing=1
[15:28:47.444] WARN  [ilyana] [bot] 0x20 resync; aborting path
[15:28:51.859] WARN  [ilyana] [bot] no path to (1484,1549) avoiding 0 block(s); stopping (search 1784285.3us)
[15:28:51.862] WARN  [ilyana] [bot] start (1490,1554,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 836 item(s), 6 mobile(s))
[15:28:56.465] WARN  [ilyana] [bot] no path to (1485,1546) avoiding 0 block(s); stopping (search 1558159.3us)
[15:28:56.465] WARN  [ilyana] [bot] start (1488,1551,30) exits: open=5 terrain=1 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 836 item(s), 6 mobile(s))
[15:28:56.527] WARN  [ilyana] [travel] reached (1488,1551,30) but the target is on another floor; not arrived
[15:28:59.379] WARN  [ilyana] [bot] no path to (1485,1546) avoiding 0 block(s); stopping (search 1568950.2us)
[15:28:59.379] WARN  [ilyana] [bot] start (1488,1551,30) exits: open=6 terrain=1 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 836 item(s), 6 mobile(s))
[15:29:00.743] WARN  [ilyana] [bot] goal (1485,1546) is not walkable; skipping A* and stopping
[15:29:03.618] WARN  [ilyana] [bot] goal (1485,1546) is not walkable; skipping A* and stopping
[15:29:05.886] WARN  [ilyana] [bot] no path to (1484,1549) avoiding 0 block(s); stopping (search 1957821.9us)
[15:29:05.886] WARN  [ilyana] [bot] start (1488,1551,30) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 836 item(s), 6 mobile(s))
[15:29:07.149] WARN  [ilyana] [bot] goal (1484,1549) is not walkable; skipping A* and stopping
[15:29:10.850] WARN  [ilyana] [bot] no path to (1487,1548) avoiding 0 block(s); stopping (search 1595193.7us)
[15:29:10.850] WARN  [ilyana] [bot] start (1486,1551,30) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 836 item(s), 6 mobile(s))
[15:29:30.930] WARN  [ilyana] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[15:29:33.852] WARN  [ilyana] [bot] no path to (1486,1547) avoiding 0 block(s); stopping (search 1890718.0us)
[15:29:33.852] WARN  [ilyana] [bot] start (1486,1551,30) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 836 item(s), 6 mobile(s))
[15:29:38.368] WARN  [ilyana] [bot] no path to (1489,1548) avoiding 0 block(s); stopping (search 1626844.0us)
[15:29:38.368] WARN  [ilyana] [bot] start (1486,1551,30) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 836 item(s), 5 mobile(s))
[15:29:42.886] WARN  [ilyana] [bot] no path to (1488,1551) avoiding 0 block(s); stopping (search 1761065.9us)
[15:29:42.887] WARN  [ilyana] [bot] start (1486,1551,30) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 836 item(s), 5 mobile(s))
[15:29:46.418] WARN  [ilyana] [bot] no path to (1490,1554) avoiding 0 block(s); stopping (search 2084972.6us)
[15:29:46.418] WARN  [ilyana] [bot] start (1486,1551,30) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 836 item(s), 5 mobile(s))
[15:29:57.793] WARN  [ilyana] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[15:30:04.362] WARN  [ilyana] [bot] no path to (1490,1547) avoiding 0 block(s); stopping (search 3329692.1us)
[15:30:04.363] WARN  [ilyana] [bot] start (1490,1554,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 836 item(s), 6 mobile(s))
[15:30:16.018] WARN  [ilyana] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[15:30:25.044] WARN  [ilyana] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[15:30:34.094] WARN  [ilyana] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[15:30:43.045] WARN  [ilyana] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[15:30:52.103] WARN  [ilyana] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[15:30:54.812] WARN  [ilyana] [bot] no path to (1485,1548) avoiding 0 block(s); stopping (search 1569434.6us)
[15:30:54.812] WARN  [ilyana] [bot] start (1490,1547,35) exits: open=7 terrain=0 mobile=0 dynamic=1 door=0 blacklist=0 (overlay saw 838 item(s), 6 mobile(s))
[15:30:54.874] WARN  [ilyana] [travel] reached (1490,1547,35) but the target is on another floor; not arrived
[15:31:05.948] WARN  [ilyana] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[15:31:15.992] WARN  [ilyana] [policy] REFUSED NPC purchase of unmapped item (0x0EFA): graphic is not in the audited vendor matrix; refusing and recording an authenticity gap [UNKNOWN]
[15:31:15.992] WARN  [ilyana] [policy] AUTHENTICITY GAP: no Revolution evidence either way for whether an NPC sold this item
[15:31:15.992] WARN  [ilyana] [ACTION_RESULT] vendor_buy rejected (0ms) Revolution vendor policy refuses this NPC purchase
[15:31:25.018] WARN  [ilyana] [policy] REFUSED NPC purchase of unmapped item (0x0EFA): graphic is not in the audited vendor matrix; refusing and recording an authenticity gap [UNKNOWN]
[15:31:25.018] WARN  [ilyana] [policy] AUTHENTICITY GAP: no Revolution evidence either way for whether an NPC sold this item
[15:31:25.018] WARN  [ilyana] [ACTION_RESULT] vendor_buy rejected (0ms) Revolution vendor policy refuses this NPC purchase
[15:31:34.037] WARN  [ilyana] [policy] REFUSED NPC purchase of unmapped item (0x0EFA): graphic is not in the audited vendor matrix; refusing and recording an authenticity gap [UNKNOWN]
[15:31:34.037] WARN  [ilyana] [policy] AUTHENTICITY GAP: no Revolution evidence either way for whether an NPC sold this item
[15:31:34.037] WARN  [ilyana] [ACTION_RESULT] vendor_buy rejected (0ms) Revolution vendor policy refuses this NPC purchase
[15:31:43.058] WARN  [ilyana] [policy] REFUSED NPC purchase of unmapped item (0x0EFA): graphic is not in the audited vendor matrix; refusing and recording an authenticity gap [UNKNOWN]
[15:31:43.058] WARN  [ilyana] [policy] AUTHENTICITY GAP: no Revolution evidence either way for whether an NPC sold this item
[15:31:43.058] WARN  [ilyana] [ACTION_RESULT] vendor_buy rejected (0ms) Revolution vendor policy refuses this NPC purchase
[15:32:00.065] WARN  [ilyana] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[15:32:01.091] WARN  [ilyana] [policy] REFUSED NPC purchase of unmapped item (0x0EFA): graphic is not in the audited vendor matrix; refusing and recording an authenticity gap [UNKNOWN]
[15:32:01.091] WARN  [ilyana] [policy] AUTHENTICITY GAP: no Revolution evidence either way for whether an NPC sold this item
[15:32:01.091] WARN  [ilyana] [ACTION_RESULT] vendor_buy rejected (1ms) Revolution vendor policy refuses this NPC purchase
[15:32:10.119] WARN  [ilyana] [policy] REFUSED NPC purchase of unmapped item (0x0EFA): graphic is not in the audited vendor matrix; refusing and recording an authenticity gap [UNKNOWN]
[15:32:10.119] WARN  [ilyana] [policy] AUTHENTICITY GAP: no Revolution evidence either way for whether an NPC sold this item
[15:32:10.119] WARN  [ilyana] [ACTION_RESULT] vendor_buy rejected (0ms) Revolution vendor policy refuses this NPC purchase
[15:32:19.155] WARN  [ilyana] [policy] REFUSED NPC purchase of unmapped item (0x0EFA): graphic is not in the audited vendor matrix; refusing and recording an authenticity gap [UNKNOWN]
[15:32:19.155] WARN  [ilyana] [policy] AUTHENTICITY GAP: no Revolution evidence either way for whether an NPC sold this item
[15:32:19.155] WARN  [ilyana] [ACTION_RESULT] vendor_buy rejected (0ms) Revolution vendor policy refuses this NPC purchase
[15:32:28.193] WARN  [ilyana] [policy] REFUSED NPC purchase of unmapped item (0x0EFA): graphic is not in the audited vendor matrix; refusing and recording an authenticity gap [UNKNOWN]
[15:32:28.193] WARN  [ilyana] [policy] AUTHENTICITY GAP: no Revolution evidence either way for whether an NPC sold this item
[15:32:28.194] WARN  [ilyana] [ACTION_RESULT] vendor_buy rejected (0ms) Revolution vendor policy refuses this NPC purchase
[15:32:45.303] WARN  [ilyana] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[15:32:54.268] WARN  [ilyana] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[15:33:03.321] WARN  [ilyana] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[15:33:04.334] WARN  [ilyana] [policy] REFUSED NPC purchase of unmapped item (0x0EFA): graphic is not in the audited vendor matrix; refusing and recording an authenticity gap [UNKNOWN]
[15:33:04.334] WARN  [ilyana] [policy] AUTHENTICITY GAP: no Revolution evidence either way for whether an NPC sold this item
[15:33:04.334] WARN  [ilyana] [ACTION_RESULT] vendor_buy rejected (0ms) Revolution vendor policy refuses this NPC purchase
[15:33:21.395] WARN  [ilyana] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[15:33:30.402] WARN  [ilyana] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[15:33:31.401] WARN  [ilyana] [policy] REFUSED NPC purchase of unmapped item (0x0EFA): graphic is not in the audited vendor matrix; refusing and recording an authenticity gap [UNKNOWN]
[15:33:31.401] WARN  [ilyana] [policy] AUTHENTICITY GAP: no Revolution evidence either way for whether an NPC sold this item
[15:33:31.401] WARN  [ilyana] [ACTION_RESULT] vendor_buy rejected (0ms) Revolution vendor policy refuses this NPC purchase
[15:33:40.429] WARN  [ilyana] [policy] REFUSED NPC purchase of unmapped item (0x0EFA): graphic is not in the audited vendor matrix; refusing and recording an authenticity gap [UNKNOWN]
[15:33:40.429] WARN  [ilyana] [policy] AUTHENTICITY GAP: no Revolution evidence either way for whether an NPC sold this item
[15:33:40.429] WARN  [ilyana] [ACTION_RESULT] vendor_buy rejected (0ms) Revolution vendor policy refuses this NPC purchase
[15:33:57.468] WARN  [ilyana] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[15:34:06.530] WARN  [ilyana] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[15:34:07.555] WARN  [ilyana] [policy] REFUSED NPC purchase of unmapped item (0x0EFA): graphic is not in the audited vendor matrix; refusing and recording an authenticity gap [UNKNOWN]
[15:34:07.555] WARN  [ilyana] [policy] AUTHENTICITY GAP: no Revolution evidence either way for whether an NPC sold this item
[15:34:07.555] WARN  [ilyana] [ACTION_RESULT] vendor_buy rejected (0ms) Revolution vendor policy refuses this NPC purchase
[15:34:24.638] WARN  [ilyana] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[15:34:25.618] WARN  [ilyana] [policy] REFUSED NPC purchase of unmapped item (0x0EFA): graphic is not in the audited vendor matrix; refusing and recording an authenticity gap [UNKNOWN]
[15:34:25.618] WARN  [ilyana] [policy] AUTHENTICITY GAP: no Revolution evidence either way for whether an NPC sold this item
[15:34:25.618] WARN  [ilyana] [ACTION_RESULT] vendor_buy rejected (0ms) Revolution vendor policy refuses this NPC purchase
[15:34:42.667] WARN  [ilyana] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[15:34:43.679] WARN  [ilyana] [policy] REFUSED NPC purchase of unmapped item (0x0EFA): graphic is not in the audited vendor matrix; refusing and recording an authenticity gap [UNKNOWN]
[15:34:43.679] WARN  [ilyana] [policy] AUTHENTICITY GAP: no Revolution evidence either way for whether an NPC sold this item
[15:34:43.679] WARN  [ilyana] [ACTION_RESULT] vendor_buy rejected (0ms) Revolution vendor policy refuses this NPC purchase
[15:34:52.737] WARN  [ilyana] [policy] REFUSED NPC purchase of unmapped item (0x0EFA): graphic is not in the audited vendor matrix; refusing and recording an authenticity gap [UNKNOWN]
[15:34:52.737] WARN  [ilyana] [policy] AUTHENTICITY GAP: no Revolution evidence either way for whether an NPC sold this item
[15:34:52.737] WARN  [ilyana] [ACTION_RESULT] vendor_buy rejected (0ms) Revolution vendor policy refuses this NPC purchase
[15:35:01.740] WARN  [ilyana] [policy] REFUSED NPC purchase of unmapped item (0x0EFA): graphic is not in the audited vendor matrix; refusing and recording an authenticity gap [UNKNOWN]
[15:35:01.740] WARN  [ilyana] [policy] AUTHENTICITY GAP: no Revolution evidence either way for whether an NPC sold this item
[15:35:01.740] WARN  [ilyana] [ACTION_RESULT] vendor_buy rejected (0ms) Revolution vendor policy refuses this NPC purchase
[15:35:10.784] WARN  [ilyana] [policy] REFUSED NPC purchase of unmapped item (0x0EFA): graphic is not in the audited vendor matrix; refusing and recording an authenticity gap [UNKNOWN]
[15:35:10.784] WARN  [ilyana] [policy] AUTHENTICITY GAP: no Revolution evidence either way for whether an NPC sold this item
[15:35:10.784] WARN  [ilyana] [ACTION_RESULT] vendor_buy rejected (0ms) Revolution vendor policy refuses this NPC purchase
