map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[15:51:11.450] WARN  [n10_Halric] [0x21] move REJECTED seq=4; server says (633,857,0) facing=2
[15:51:12.216] WARN  [n10_Halric] [0x21] move REJECTED seq=1; server says (633,857,0) facing=4
[15:51:26.429] WARN  [n10_Halric] [0x21] move REJECTED seq=59; server says (663,856,0) facing=2
[15:51:27.566] WARN  [n10_Halric] [bot] no path to (664,856) avoiding 0 block(s); stopping (search 1110645.5us)
[15:51:27.567] WARN  [n10_Halric] [bot] start (663,856,0) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 143 item(s), 9 mobile(s))
[15:53:54.099] WARN  [n10_Halric] [0x21] move REJECTED seq=40; server says (2800,952,0) facing=3
[15:53:54.835] WARN  [n10_Halric] [0x21] move REJECTED seq=0; server says (2800,952,0) facing=3
[15:54:18.298] WARN  [n10_Halric] [0x21] move REJECTED seq=100; server says (2828,890,0) facing=7
[15:54:19.019] WARN  [n10_Halric] [0x21] move REJECTED seq=0; server says (2828,890,0) facing=7
[15:55:03.181] WARN  [n10_Halric] [bot] 0x20 resync; aborting path
[15:55:07.125] WARN  [n10_Halric] [bot] no path to (2832,801) avoiding 0 block(s); stopping (search 1354022.9us)
[15:55:07.125] WARN  [n10_Halric] [bot] start (2840,803,0) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 411 item(s), 8 mobile(s))
[15:55:09.609] WARN  [n10_Halric] [bot] no path to (2832,801) avoiding 0 block(s); stopping (search 1140836.9us)
[15:55:09.610] WARN  [n10_Halric] [bot] start (2840,803,0) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 411 item(s), 8 mobile(s))
[15:55:12.064] WARN  [n10_Halric] [bot] no path to (2832,801) avoiding 0 block(s); stopping (search 1104591.6us)
[15:55:12.064] WARN  [n10_Halric] [bot] start (2840,803,0) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 411 item(s), 8 mobile(s))
[15:55:16.413] WARN  [n10_Halric] [bot] no path to (2832,801) avoiding 0 block(s); stopping (search 1496206.7us)
[15:55:16.413] WARN  [n10_Halric] [bot] start (2840,803,0) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 411 item(s), 8 mobile(s))
[15:55:19.852] WARN  [n10_Halric] [bot] no path to (2835,801) avoiding 0 block(s); stopping (search 1242158.0us)
[15:55:19.852] WARN  [n10_Halric] [bot] start (2837,803,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 411 item(s), 4 mobile(s))
[15:55:48.987] WARN  [n10_Halric] [bot] no path to (2834,809) avoiding 0 block(s); stopping (search 1952788.4us)
[15:55:48.987] WARN  [n10_Halric] [bot] start (2835,801,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 412 item(s), 4 mobile(s))
[15:55:51.992] WARN  [n10_Halric] [bot] no path to (2834,806) avoiding 0 block(s); stopping (search 1162462.4us)
[15:55:51.992] WARN  [n10_Halric] [bot] start (2835,802,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 412 item(s), 4 mobile(s))
[15:55:58.864] WARN  [n10_Halric] [bot] no path to (2834,809) avoiding 0 block(s); stopping (search 1717811.8us)
[15:55:58.864] WARN  [n10_Halric] [bot] start (2834,806,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 412 item(s), 5 mobile(s))
[15:56:11.802] WARN  [n10_Halric] [ACTION_RESULT] npc_train invalid_state (1ms) You already know as much as I can teach of Tactics
[15:56:47.964] WARN  [n10_Halric] [ACTION_RESULT] npc_train invalid_state (15ms) You already know as much as I can teach of Tactics
[15:56:54.653] WARN  [n10_Halric] [0x21] move REJECTED seq=9; server says (2840,803,0) facing=3
[15:56:54.669] WARN  [n10_Halric] [bot] 0x20 resync; aborting path
[15:57:22.581] WARN  [n10_Halric] [bot] 0x20 resync; aborting path
[15:57:26.327] WARN  [n10_Halric] [bot] no path to (2865,849) avoiding 0 block(s); stopping (search 1141002.0us)
[15:57:26.327] WARN  [n10_Halric] [bot] start (2861,853,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 421 item(s), 4 mobile(s))
[15:57:28.934] WARN  [n10_Halric] [bot] no path to (2865,849) avoiding 0 block(s); stopping (search 1243296.8us)
[15:57:28.934] WARN  [n10_Halric] [bot] start (2861,853,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 421 item(s), 4 mobile(s))
[15:57:31.414] WARN  [n10_Halric] [bot] no path to (2865,849) avoiding 0 block(s); stopping (search 1159879.6us)
[15:57:31.414] WARN  [n10_Halric] [bot] start (2861,853,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 421 item(s), 4 mobile(s))
[15:57:36.280] WARN  [n10_Halric] [ACTION_RESULT] npc_train invalid_state (0ms) You already know as much as I can teach of Tactics
[15:57:40.825] WARN  [n10_Halric] [ACTION_RESULT] npc_train invalid_state (16ms) You already know as much as I can teach of Tactics
[15:57:43.427] WARN  [n10_Halric] [travel] route exhausted at (2869,851,0); trying to reach (2858,840,1) to get somewhere routable (escape 1/3)
[15:57:55.528] WARN  [n10_Halric] [travel] route exhausted at (2858,840,1); trying to reach (2872,838,1) to get somewhere routable (escape 2/3)
[15:58:01.455] WARN  [n10_Halric] [travel] route exhausted at (2872,838,1); trying to reach (2882,848,0) to get somewhere routable (escape 3/3)
[16:04:10.042] WARN  [n10_Halric] [0x21] move REJECTED seq=27; server says (2839,516,11) facing=3
[16:04:53.201] WARN  [n10_Halric] [0x21] move REJECTED seq=24; server says (2943,623,0) facing=3
[16:04:53.934] WARN  [n10_Halric] [0x21] move REJECTED seq=0; server says (2943,623,0) facing=3
[16:05:08.396] WARN  [n10_Halric] [bot] 0x20 resync; aborting path
[16:12:03.006] WARN  [n10_Halric] [0x21] move REJECTED seq=52; server says (2880,856,7) facing=3
[16:12:03.750] WARN  [n10_Halric] [0x21] move REJECTED seq=0; server says (2880,856,7) facing=3
[16:15:21.430] WARN  [n10_Halric] [0x21] move REJECTED seq=51; server says (2649,663,0) facing=6
