map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[15:54:18.219] WARN  [n10_Maribel] [0x21] move REJECTED seq=35; server says (1432,1666,10) facing=1
[15:54:18.957] WARN  [n10_Maribel] [0x21] move REJECTED seq=0; server says (1432,1666,10) facing=1
[15:54:48.210] WARN  [n10_Maribel] [bot] 0x20 resync; aborting path
[15:54:52.459] WARN  [n10_Maribel] [bot] no path to (1468,1611) avoiding 0 block(s); stopping (search 1644730.4us)
[15:54:52.459] WARN  [n10_Maribel] [bot] start (1475,1612,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 663 item(s), 2 mobile(s))
[15:54:55.417] WARN  [n10_Maribel] [bot] no path to (1468,1611) avoiding 0 block(s); stopping (search 1602313.3us)
[15:54:55.417] WARN  [n10_Maribel] [bot] start (1475,1612,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 663 item(s), 3 mobile(s))
[15:54:58.284] WARN  [n10_Maribel] [bot] no path to (1468,1611) avoiding 0 block(s); stopping (search 1555411.5us)
[15:54:58.284] WARN  [n10_Maribel] [bot] start (1475,1612,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 663 item(s), 4 mobile(s))
[15:55:02.628] WARN  [n10_Maribel] [bot] no path to (1468,1611) avoiding 0 block(s); stopping (search 1469463.7us)
[15:55:02.628] WARN  [n10_Maribel] [bot] start (1475,1612,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 663 item(s), 3 mobile(s))
[15:55:05.408] WARN  [n10_Maribel] [bot] no path to (1468,1611) avoiding 0 block(s); stopping (search 1506155.5us)
[15:55:05.408] WARN  [n10_Maribel] [bot] start (1475,1612,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 663 item(s), 2 mobile(s))
[15:55:08.381] WARN  [n10_Maribel] [bot] no path to (1468,1611) avoiding 0 block(s); stopping (search 1652623.1us)
[15:55:08.381] WARN  [n10_Maribel] [bot] start (1475,1612,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 663 item(s), 2 mobile(s))
[15:55:14.117] WARN  [n10_Maribel] [bot] no path to (1468,1611) avoiding 0 block(s); stopping (search 1432850.2us)
[15:55:14.117] WARN  [n10_Maribel] [bot] start (1475,1612,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 663 item(s), 2 mobile(s))
[15:55:17.560] WARN  [n10_Maribel] [bot] no path to (1468,1611) avoiding 0 block(s); stopping (search 2088594.1us)
[15:55:17.561] WARN  [n10_Maribel] [bot] start (1475,1612,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 663 item(s), 3 mobile(s))
[15:55:25.394] WARN  [n10_Maribel] [bot] no path to (1468,1611) avoiding 0 block(s); stopping (search 1959884.1us)
[15:55:25.394] WARN  [n10_Maribel] [bot] start (1475,1612,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 663 item(s), 3 mobile(s))
[15:55:28.444] WARN  [n10_Maribel] [bot] no path to (1468,1611) avoiding 0 block(s); stopping (search 1749203.8us)
[15:55:28.444] WARN  [n10_Maribel] [bot] start (1475,1612,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 663 item(s), 3 mobile(s))
[15:55:28.505] WARN  [n10_Maribel] [travel] route exhausted at (1475,1612,20); trying to reach (1464,1608,20) to get somewhere routable (escape 1/3)
[15:55:38.239] WARN  [n10_Maribel] [bot] no path to (1468,1611) avoiding 0 block(s); stopping (search 1639053.0us)
[15:55:38.239] WARN  [n10_Maribel] [bot] start (1464,1608,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 682 item(s), 4 mobile(s))
[15:55:40.954] WARN  [n10_Maribel] [bot] no path to (1468,1611) avoiding 0 block(s); stopping (search 1388937.6us)
[15:55:40.954] WARN  [n10_Maribel] [bot] start (1464,1608,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 682 item(s), 4 mobile(s))
[15:55:45.675] WARN  [n10_Maribel] [bot] no path to (1468,1611) avoiding 0 block(s); stopping (search 1809144.4us)
[15:55:45.675] WARN  [n10_Maribel] [bot] start (1464,1608,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 682 item(s), 4 mobile(s))
[15:55:48.770] WARN  [n10_Maribel] [bot] no path to (1471,1610) avoiding 0 block(s); stopping (search 2346820.3us)
[15:55:48.770] WARN  [n10_Maribel] [bot] start (1464,1608,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 682 item(s), 4 mobile(s))
[15:56:01.067] WARN  [n10_Maribel] [bot] no path to (1472,1608) avoiding 0 block(s); stopping (search 1779865.0us)
[15:56:01.067] WARN  [n10_Maribel] [bot] start (1471,1610,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 682 item(s), 3 mobile(s))
[15:56:05.892] WARN  [n10_Maribel] [bot] no path to (1472,1608) avoiding 0 block(s); stopping (search 1971794.9us)
[15:56:05.893] WARN  [n10_Maribel] [bot] start (1471,1610,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 682 item(s), 3 mobile(s))
[16:00:00.266] WARN  [n10_Maribel] [bot] 0x20 resync; aborting path
[16:00:10.830] WARN  [n10_Maribel] [ACTION_RESULT] npc_train timeout (no server confirmation)
[16:00:20.136] WARN  [n10_Maribel] [bot] no path to (1485,1584) avoiding 0 block(s); stopping (search 2482697.6us)
[16:00:20.136] WARN  [n10_Maribel] [bot] start (1485,1587,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 739 item(s), 5 mobile(s))
[16:00:31.506] WARN  [n10_Maribel] [ACTION_RESULT] npc_train timeout (no server confirmation)
[16:00:41.699] WARN  [n10_Maribel] [ACTION_RESULT] npc_train timeout (no server confirmation)
[16:00:50.329] WARN  [n10_Maribel] [bot] no path to (1484,1588) avoiding 0 block(s); stopping (search 1850816.3us)
[16:00:50.329] WARN  [n10_Maribel] [bot] start (1485,1584,20) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 741 item(s), 5 mobile(s))
[16:00:53.304] WARN  [n10_Maribel] [bot] no path to (1484,1588) avoiding 0 block(s); stopping (search 1638045.0us)
[16:00:53.304] WARN  [n10_Maribel] [bot] start (1485,1584,20) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 741 item(s), 5 mobile(s))
[16:00:58.023] WARN  [n10_Maribel] [bot] no path to (1484,1588) avoiding 0 block(s); stopping (search 1836310.8us)
[16:00:58.024] WARN  [n10_Maribel] [bot] start (1485,1584,20) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 741 item(s), 4 mobile(s))
[16:01:01.047] WARN  [n10_Maribel] [bot] no path to (1484,1588) avoiding 0 block(s); stopping (search 1707470.9us)
[16:01:01.047] WARN  [n10_Maribel] [bot] start (1485,1584,20) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 741 item(s), 4 mobile(s))
