map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[16:00:02.470] WARN  [n10_Nessa] [bot] 0x20 resync; aborting path
[16:00:06.601] WARN  [n10_Nessa] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1526135.3us)
[16:00:06.601] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 228 item(s), 6 mobile(s))
[16:00:09.536] WARN  [n10_Nessa] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1647362.1us)
[16:00:09.536] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 228 item(s), 6 mobile(s))
[16:00:12.343] WARN  [n10_Nessa] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1537873.4us)
[16:00:12.343] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 228 item(s), 7 mobile(s))
[16:00:16.509] WARN  [n10_Nessa] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1298856.8us)
[16:00:16.509] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 228 item(s), 6 mobile(s))
[16:00:19.908] WARN  [n10_Nessa] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 2114402.0us)
[16:00:19.908] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 228 item(s), 6 mobile(s))
[16:00:25.858] WARN  [n10_Nessa] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1597180.1us)
[16:00:25.859] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 228 item(s), 5 mobile(s))
