map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[15:51:11.451] WARN  [n10_Ovid] [0x21] move REJECTED seq=4; server says (633,857,0) facing=2
[15:51:12.216] WARN  [n10_Ovid] [0x21] move REJECTED seq=1; server says (633,857,0) facing=4
[15:51:12.981] WARN  [n10_Ovid] [0x21] move REJECTED seq=1; server says (633,857,0) facing=5
[15:51:13.751] WARN  [n10_Ovid] [0x21] move REJECTED seq=1; server says (633,857,0) facing=2
[15:53:37.450] WARN  [n10_Ovid] [bot] 0x20 resync; aborting path
[15:53:41.243] WARN  [n10_Ovid] [bot] no path to (4445,1088) avoiding 0 block(s); stopping (search 1212942.0us)
[15:53:41.243] WARN  [n10_Ovid] [bot] start (4453,1086,0) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 428 item(s), 11 mobile(s))
[15:53:43.784] WARN  [n10_Ovid] [bot] no path to (4445,1088) avoiding 0 block(s); stopping (search 1234674.4us)
[15:53:43.784] WARN  [n10_Ovid] [bot] start (4453,1086,0) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 428 item(s), 11 mobile(s))
[15:54:03.202] WARN  [n10_Ovid] [ACTION_RESULT] npc_train invalid_state (2ms) You already know as much as I can teach of Meditation
[15:54:11.113] WARN  [n10_Ovid] [bot] no path to (4448,1096) avoiding 0 block(s); stopping (search 3159756.4us)
[15:54:11.113] WARN  [n10_Ovid] [bot] start (4445,1088,0) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 429 item(s), 11 mobile(s))
[15:54:26.193] WARN  [n10_Ovid] [bot] no path to (4445,1086) avoiding 0 block(s); stopping (search 1299046.7us)
[15:54:26.193] WARN  [n10_Ovid] [bot] start (4448,1096,0) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 429 item(s), 11 mobile(s))
[15:54:28.755] WARN  [n10_Ovid] [bot] no path to (4445,1086) avoiding 0 block(s); stopping (search 1289524.7us)
[15:54:28.755] WARN  [n10_Ovid] [bot] start (4448,1096,0) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 429 item(s), 11 mobile(s))
[15:54:42.415] WARN  [n10_Ovid] [policy] REFUSED NPC purchase of unmapped item (0x0EFA): graphic is not in the audited vendor matrix; refusing and recording an authenticity gap [UNKNOWN]
[15:54:42.415] WARN  [n10_Ovid] [policy] AUTHENTICITY GAP: no Revolution evidence either way for whether an NPC sold this item
[15:54:42.415] WARN  [n10_Ovid] [ACTION_RESULT] vendor_buy rejected (0ms) Revolution vendor policy refuses this NPC purchase
[15:54:51.425] WARN  [n10_Ovid] [policy] REFUSED NPC purchase of unmapped item (0x0EFA): graphic is not in the audited vendor matrix; refusing and recording an authenticity gap [UNKNOWN]
[15:54:51.425] WARN  [n10_Ovid] [policy] AUTHENTICITY GAP: no Revolution evidence either way for whether an NPC sold this item
[15:54:51.425] WARN  [n10_Ovid] [ACTION_RESULT] vendor_buy rejected (0ms) Revolution vendor policy refuses this NPC purchase
[15:55:00.469] WARN  [n10_Ovid] [policy] REFUSED NPC purchase of unmapped item (0x0EFA): graphic is not in the audited vendor matrix; refusing and recording an authenticity gap [UNKNOWN]
[15:55:00.469] WARN  [n10_Ovid] [policy] AUTHENTICITY GAP: no Revolution evidence either way for whether an NPC sold this item
[15:55:00.469] WARN  [n10_Ovid] [ACTION_RESULT] vendor_buy rejected (0ms) Revolution vendor policy refuses this NPC purchase
[15:55:09.485] WARN  [n10_Ovid] [policy] REFUSED NPC purchase of unmapped item (0x0EFA): graphic is not in the audited vendor matrix; refusing and recording an authenticity gap [UNKNOWN]
[15:55:09.485] WARN  [n10_Ovid] [policy] AUTHENTICITY GAP: no Revolution evidence either way for whether an NPC sold this item
[15:55:09.485] WARN  [n10_Ovid] [ACTION_RESULT] vendor_buy rejected (0ms) Revolution vendor policy refuses this NPC purchase
[15:55:18.512] WARN  [n10_Ovid] [policy] REFUSED NPC purchase of unmapped item (0x0EFA): graphic is not in the audited vendor matrix; refusing and recording an authenticity gap [UNKNOWN]
